rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.72705476059257,86.15842783451025,603333,尚纬股份,bottom_area,2025-06-30,7.48,2025-06-23,7.23,3.457814661134163,7.1922544951590535,28.838582677165352,True,1.355,2.3784,5,5,5,100.0,21.03357667686099,47.19626168224298,6.542185338865838,3.457814661134163,历史5/5次成功; 当前距低点3.46%; 最新日涨幅1.35%; 状态bottom_area; 底部已确认
2,83.38055529356345,80.2873703242372,605198,安德利,bottom_area,2025-06-30,40.31,2025-06-20,39.13,3.015589062100689,5.877843087145405,29.748653500897664,False,0.0248,0.9075,1,1,1,100.0,43.241469816272954,43.241469816272954,6.9844109378993116,3.015589062100689,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
3,82.89678424642648,79.38565174337427,002041,登海种业,bottom_area,2025-06-30,9.79,2025-06-23,9.53,2.728226652675759,3.147953830010501,29.719764011799416,False,0.1022,0.6206,2,2,2,100.0,18.2043468358871,21.395106715252467,7.271773347324241,2.728226652675759,历史2/2次成功; 当前距低点2.73%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
4,82.6707706785463,82.15871173101348,605136,丽人丽妆,bottom_area,2025-06-30,10.75,2025-06-26,10.27,4.67380720545278,4.77117818889971,29.318651066758434,False,1.7029,4.7914,4,4,4,100.0,23.62899010454739,52.667814113597245,5.32619279454722,4.67380720545278,历史4/4次成功; 当前距低点4.67%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
5,82.05170653318304,78.45213785512439,002155,湖南黄金,bottom_area,2025-06-30,17.85,2025-06-30,17.39,2.645198389879246,2.702702702702696,29.28019520130134,False,0.9615,2.1918,1,1,1,100.0,28.834355828220854,28.834355828220854,7.354801610120755,2.645198389879246,历史1/1次成功; 当前距低点2.65%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
6,80.26027739012889,76.33205691403401,603139,康惠股份,bottom_area,2025-06-30,21.2,2025-06-20,20.71,2.3660067600193067,5.5528730082085875,31.42384105960264,False,2.0703,3.7371,3,4,3,75.0,18.180388854183054,29.315476190476186,7.633993239980693,2.3660067600193067,历史3/4次成功; 当前距低点2.37%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
7,79.7592275106157,76.15309222423147,688556,高测股份,bottom_area,2025-06-30,7.18,2025-06-27,7.0,2.571428571428567,4.142857142857143,31.10236220472441,False,2.5714,1.9667,1,1,1,100.0,15.569620253164562,15.569620253164562,7.428571428571433,2.571428571428567,历史1/1次成功; 当前距低点2.57%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
8,79.5244,72.29490909090909,300849,锦盛新材,bottom_area,2025-06-30,13.18,2025-06-30,13.18,0.0,7.435508345978759,31.318394997394485,False,-20.0243,18.2055,1,1,1,100.0,48.090909090909086,48.090909090909086,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.02%; 状态bottom_area; 底部未确认
9,77.52089332980225,73.57181781474603,000999,华润三九,bottom_area,2025-06-30,31.28,2025-06-23,30.59,2.255639097744365,4.347826086956528,29.645814167433297,False,-0.8872,0.4791,1,1,1,100.0,20.293951384963254,20.293951384963254,7.744360902255636,2.255639097744365,历史1/1次成功; 当前距低点2.26%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
10,77.11611589192444,77.07846153846157,001230,劲旅环境,bottom_area,2025-06-30,20.47,2025-06-23,19.5,4.974358974358969,6.9230769230769305,30.629669156883672,False,0.6886,4.1076,1,1,1,100.0,84.69119579500656,84.69119579500656,5.025641025641031,4.974358974358969,历史1/1次成功; 当前距低点4.97%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
11,76.63265526356429,75.74844608665484,300703,创源股份,bottom_area,2025-06-30,21.16,2025-06-26,20.27,4.390725209669466,5.722742969906267,31.404399323181053,False,3.2699,14.4793,2,2,2,100.0,19.02849228333993,20.914127423822727,5.609274790330535,4.390725209669466,历史2/2次成功; 当前距低点4.39%; 最新日涨幅3.27%; 状态bottom_area; 底部未确认
