rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.10162593546248,82.5191351857858,300342,天银机电,bottom_area,2023-08-10,10.87,2023-08-10,10.76,1.0223048327137494,2.6951672862453617,30.625402965828496,False,-0.6399,3.1153,3,3,3,100.0,19.9461838944793,26.68539325842696,13.97769516728625,1.0223048327137494,历史3/3次成功; 当前距低点1.02%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
2,87.33942465806487,80.27400008120966,688328,深科达,bottom_area,2023-08-10,23.24,2023-08-10,22.57,2.9685423128046,3.5445281346920723,28.280902446774704,False,2.109,3.6395,2,2,2,100.0,25.92621803443088,29.170984455958543,12.0314576871954,2.9685423128046,历史2/2次成功; 当前距低点2.97%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
3,87.13714673535954,78.37703667043937,688300,联瑞新材,bottom_area,2023-08-10,42.74,2023-08-08,41.98,1.8103858980467014,6.479275845640796,28.239316239316242,False,-1.019,0.2806,2,2,2,100.0,24.003852247235756,26.809910956252438,13.189614101953298,1.8103858980467014,历史2/2次成功; 当前距低点1.81%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
4,83.97104522694474,74.94575236257748,300633,开立医疗,bottom_area,2023-08-10,42.89,2023-08-08,42.3,1.3947990543735305,3.3096926713948127,32.44969658256148,False,-0.6946,0.6371,1,1,1,100.0,17.12846347607052,17.12846347607052,13.60520094562647,1.3947990543735305,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
5,82.75551712643578,74.89209951986032,688143,长盈通,bottom_area,2023-08-10,29.62,2023-08-09,29.0,2.137931034482762,3.6896551724137945,30.605407992342666,False,-0.437,1.8117,1,1,1,100.0,25.949367088607595,25.949367088607595,12.862068965517237,2.137931034482762,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
6,82.44080254271026,74.76888832214617,002045,国光电器,bottom_area,2023-08-10,13.61,2023-07-28,13.31,2.2539444027047253,6.536438767843721,27.937195452084456,False,-0.8017,0.8869,3,4,3,75.0,30.875707313510432,33.77563329312426,12.746055597295275,2.2539444027047253,历史3/4次成功; 当前距低点2.25%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
7,80.68441556106855,76.13811103100217,600935,华塑股份,bottom_area,2023-08-10,3.81,2023-06-27,3.65,4.383561643835621,7.671232876712336,28.571428571428577,True,0.5277,0.2675,1,1,1,100.0,28.50877192982458,28.50877192982458,10.616438356164378,4.383561643835621,历史1/1次成功; 当前距低点4.38%; 最新日涨幅0.53%; 状态bottom_area; 底部已确认
8,78.00995857773438,70.55902564973333,002829,星网宇达,bottom_area,2023-08-10,30.99,2023-08-10,30.35,2.1087314662273378,2.9654036243822026,32.209068572704936,False,0.8461,1.5433,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,12.891268533772662,2.1087314662273378,历史2/3次成功; 当前距低点2.11%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
9,77.20078508377458,73.60263639845411,002755,奥赛康,bottom_area,2023-08-10,8.08,2023-08-08,7.7,4.935064935064934,6.363636363636354,31.00358422939068,False,0.0,0.3241,1,1,1,100.0,30.831099195710454,30.831099195710454,10.064935064935066,4.935064935064934,历史1/1次成功; 当前距低点4.94%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,74.78419139468981,69.89250428218557,002864,盘龙药业,bottom_area,2023-08-10,35.47,2023-08-08,34.15,3.8653001464128853,7.349926793557827,27.340425531914896,True,-3.0079,6.9058,1,1,1,100.0,21.26553019358567,21.26553019358567,11.134699853587113,3.8653001464128853,历史1/1次成功; 当前距低点3.87%; 最新日涨幅-3.01%; 状态bottom_area; 底部已确认
11,73.63229612620404,69.45245515659684,002219,新里程,bottom_area,2023-08-10,3.83,2023-08-07,3.67,4.359673024523165,5.449591280653956,29.42307692307693,False,-0.2604,0.3642,1,1,1,100.0,23.938223938223942,23.938223938223942,10.640326975476835,4.359673024523165,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
