rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.72334709825675,79.70891810795399,688023,安恒信息,bottom_area,2023-10-27,118.28,2023-10-24,116.98,1.1113010771071954,4.804240041032647,29.021297251380375,False,-2.6021,1.4199,1,1,1,100.0,39.261744966442954,39.261744966442954,18.888698922892804,1.1113010771071954,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
2,87.9900570823897,76.08802037559302,000938,紫光股份,bottom_area,2023-10-27,19.69,2023-10-23,19.3,2.020725388601039,4.041450777202059,28.011935844834014,False,-0.9059,1.6681,1,1,1,100.0,30.942334739803094,30.942334739803094,17.979274611398964,2.020725388601039,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
3,83.20923546686119,75.73117774782871,601155,新城控股,bottom_area,2023-10-27,11.95,2023-10-20,11.4,4.8245614035087625,5.263157894736839,27.06333973128599,False,1.2712,0.5722,2,2,2,100.0,24.2536438055306,24.642857142857142,15.175438596491238,4.8245614035087625,历史2/2次成功; 当前距低点4.82%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
4,81.29761306177758,73.8023516110797,688337,普源精电,bottom_area,2023-10-27,39.78,2023-10-26,38.0,4.684210526315793,5.973684210526324,27.61904761904762,False,2.5522,1.8269,1,1,1,100.0,28.829847371396255,28.829847371396255,15.315789473684207,4.684210526315793,历史1/1次成功; 当前距低点4.68%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
5,79.31055904925189,72.21005785339788,002708,光洋股份,bottom_area,2023-10-27,7.79,2023-10-23,7.43,4.845222072678335,9.01749663526245,29.439696106362774,True,-2.625,8.3181,1,1,1,100.0,35.522388059701484,35.522388059701484,15.154777927321666,4.845222072678335,历史1/1次成功; 当前距低点4.85%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
6,69.20761768509722,60.28911025145067,603326,我乐家居,bottom_area,2023-10-27,10.14,2023-10-23,9.9,2.4242424242424265,3.8383838383838285,30.76923076923077,False,1.1976,2.2523,1,2,1,50.0,20.141843971631218,20.141843971631218,17.575757575757574,2.4242424242424265,历史1/2次成功; 当前距低点2.42%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
7,66.52873397882912,58.10031495589409,300454,深信服,bottom_area,2023-10-27,82.5,2023-10-27,80.44,2.560914967677775,2.9711586275484843,27.150878464046375,False,0.3405,1.2126,1,3,1,33.33333333333333,29.49391262831224,29.49391262831224,17.439085032322225,2.560914967677775,历史1/3次成功; 当前距低点2.56%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
8,65.53161784651918,59.11395656684417,600328,中盐化工,bottom_area,2023-10-27,7.94,2023-10-26,7.61,4.336399474375821,4.599211563731926,28.207547169811313,False,1.7949,0.8797,1,2,1,50.0,37.26315789473683,37.26315789473683,15.66360052562418,4.336399474375821,历史1/2次成功; 当前距低点4.34%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
9,64.59258807439988,56.82838125300209,600408,安泰集团,bottom_area,2023-10-27,2.43,2023-10-23,2.36,2.9661016949152663,7.203389830508472,30.99415204678363,True,-0.8163,1.7705,1,2,1,50.0,21.457489878542503,21.457489878542503,17.033898305084737,2.9661016949152663,历史1/2次成功; 当前距低点2.97%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
10,63.786020625206795,57.0604907787513,000014,沙河股份,bottom_area,2023-10-27,11.25,2023-10-23,10.83,3.8781163434903037,5.909510618651899,31.671924290220822,False,1.0782,2.3521,1,2,1,50.0,20.605355064027936,20.605355064027936,16.1218836565097,3.8781163434903037,历史1/2次成功; 当前距低点3.88%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
11,61.646602239774886,55.07943842729026,002080,中材科技,bottom_area,2023-10-27,17.16,2023-10-26,16.53,3.8112522686025345,5.081669691470053,27.244718309859145,False,2.0821,0.8196,1,3,1,33.33333333333333,28.579356270810223,28.579356270810223,16.18874773139747,3.8112522686025345,历史1/3次成功; 当前距低点3.81%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
12,60.79589365532169,54.07201530991593,603129,春风动力,bottom_area,2023-10-27,103.53,2023-10-26,99.97,3.561068320496151,4.9714914474342295,32.48919502971368,False,1.3807,0.97,1,3,1,33.33333333333333,20.09633197480549,20.09633197480549,16.43893167950385,3.561068320496151,历史1/3次成功; 当前距低点3.56%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
13,57.525091113724045,52.4615407119841,000721,西安饮食,bottom_area,2023-10-27,10.63,2023-10-23,10.13,4.935834155972358,8.588351431391898,30.521262002743477,True,2.0154,3.4149,1,4,1,25.0,20.485175202156327,20.485175202156327,15.064165844027643,4.935834155972358,历史1/4次成功; 当前距低点4.94%; 最新日涨幅2.02%; 状态bottom_area; 底部已确认
