rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.1372603783672,86.97799425002503,688298,东方生物,bottom_area,2022-06-16,133.15,2022-06-16,131.09,1.5714394690670548,5.26355938668091,31.865904365904367,False,2.3365,2.9322,4,4,4,100.0,11.510087309128625,15.470039788586028,6.428560530932945,1.5714394690670548,历史4/4次成功; 当前距低点1.57%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
2,83.03613804173354,76.88531300160513,002339,积成电子,bottom_area,2022-06-16,5.55,2022-06-16,5.55,0.0,3.2432432432432545,30.100755667506302,False,-2.8021,8.6777,2,2,2,100.0,45.88877957852225,82.94930875576038,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
3,81.7248539288959,77.29816140680148,000521,长虹美菱,bottom_area,2022-06-16,3.66,2022-06-16,3.62,1.1049723756906087,3.0386740331491677,27.599999999999998,False,-1.6129,4.5841,2,2,2,100.0,9.556443136430524,9.859154929577464,6.895027624309391,1.1049723756906087,历史2/2次成功; 当前距低点1.10%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
4,81.66076499186302,75.769123482148,002568,百润股份,confirmed_rebound,2022-06-16,27.83,2022-06-16,27.8,0.10791366906473951,8.776978417266179,29.97481108312343,False,0.9797,2.4568,2,2,2,100.0,16.69444434201939,21.848739495798313,7.8920863309352605,0.10791366906473951,历史2/2次成功; 当前距低点0.11%; 最新日涨幅0.98%; 状态confirmed_rebound; 底部未确认
5,80.37316075427401,75.91272297214876,603203,快克智能,bottom_area,2022-06-16,23.5,2022-06-16,23.26,1.0318142734307756,3.6973344797936347,30.129167918293774,False,-1.4675,0.5163,1,1,1,100.0,17.877739331026522,17.877739331026522,6.968185726569224,1.0318142734307756,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
6,79.11736693237157,77.02286641820652,002802,洪汇新材,bottom_area,2022-06-16,14.18,2022-06-08,13.82,2.6049204052098367,6.078147612156294,30.726817042606513,False,0.4961,0.7523,1,1,1,100.0,20.65637065637066,20.65637065637066,5.395079594790164,2.6049204052098367,历史1/1次成功; 当前距低点2.60%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
7,75.9961892513455,71.08933687002653,600960,渤海汽车,bottom_area,2022-06-16,3.79,2022-06-14,3.77,0.5305039787798413,7.161803713527852,32.072072072072075,True,-2.5707,4.0432,1,1,1,100.0,16.445623342175058,16.445623342175058,7.469496021220159,0.5305039787798413,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.57%; 状态bottom_area; 底部已确认
8,75.68699223415281,75.41668154760227,605266,健之佳,bottom_area,2022-06-16,44.64,2022-06-14,43.0,3.8139534883720945,4.069767441860465,29.91035044824776,False,1.1099,0.4421,2,2,2,100.0,10.174706995110995,12.038497948879776,4.1860465116279055,3.8139534883720945,历史2/2次成功; 当前距低点3.81%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
9,75.45338821409261,75.32379888268156,002663,普邦股份,bottom_area,2022-06-16,1.86,2022-06-14,1.79,3.9106145251396685,6.145251396648037,31.939163498098853,False,-0.5348,1.4653,1,1,1,100.0,66.45569620253163,66.45569620253163,4.0893854748603315,3.9106145251396685,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
10,74.25519461578833,73.38896421845575,603183,建研院,bottom_area,2022-06-16,4.88,2022-06-14,4.72,3.3898305084745797,4.872881355932213,27.38461538461539,False,0.0,1.9877,1,1,1,100.0,10.74074074074074,10.74074074074074,4.61016949152542,3.3898305084745797,历史1/1次成功; 当前距低点3.39%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,71.81269099101054,67.52453495665007,600081,东风科技,bottom_area,2022-06-16,12.61,2022-06-16,12.51,0.7993605115907246,2.55795363709033,28.514285714285712,False,-0.3949,3.8753,1,1,1,100.0,9.769230769230766,9.769230769230766,7.2006394884092755,0.7993605115907246,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
