rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.00500000000002,74.55000000000001,300580,贝斯特,bottom_area,2024-04-08,24.56,2024-04-03,24.56,0.0,4.600977198697079,27.444608567208277,False,-2.501,1.3932,1,1,1,100.0,53.89266817838245,53.89266817838245,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
2,81.18827275490469,74.23699088145898,002611,东方精工,bottom_area,2024-04-08,6.6,2024-04-08,6.58,0.30395136778114856,3.7993920972644375,29.09482758620689,False,-3.0837,5.575,1,1,1,100.0,145.12534818941506,145.12534818941506,9.696048632218853,0.30395136778114856,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
3,81.14456818075824,76.91038187762615,300426,华智数媒,bottom_area,2024-04-08,8.41,2024-04-08,8.23,2.187120291616035,4.617253948967181,27.168141592920353,False,-0.2372,2.0636,2,2,2,100.0,20.736645927476964,25.936811168258643,7.812879708383965,2.187120291616035,历史2/2次成功; 当前距低点2.19%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
4,80.5840877796902,73.25826161790017,002657,中科金财,bottom_area,2024-04-08,13.91,2024-04-08,13.91,0.0,3.5226455787203466,27.096436058700203,False,-3.6036,3.4413,2,2,2,100.0,36.60355708548481,56.540447504302946,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.60%; 状态bottom_area; 底部未确认
5,80.48188892094883,73.31320028722925,603178,圣龙股份,bottom_area,2024-04-08,28.4,2024-04-08,28.37,0.10574550581599429,3.8068382093760955,27.256410256410252,False,-2.1365,2.3459,4,5,4,80.0,25.72204322843939,44.66270354096666,9.894254494184006,0.10574550581599429,历史4/5次成功; 当前距低点0.11%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
6,80.31985527936843,73.13498604710279,688327,云从科技,bottom_area,2024-04-08,11.94,2024-04-08,11.93,0.08382229673092864,3.9396479463537353,28.175797712221552,False,-5.4632,3.2107,6,7,6,85.71428571428571,22.329267423613754,53.56783919597991,9.916177703269073,0.08382229673092864,历史6/7次成功; 当前距低点0.08%; 最新日涨幅-5.46%; 状态bottom_area; 底部未确认
7,78.11672681124142,71.70333349899718,688322,奥比中光,bottom_area,2024-04-08,27.85,2024-04-08,27.71,0.5052327679538093,3.2840129916997483,28.729423868312757,False,-1.9366,1.5803,4,5,4,80.0,21.963786074902533,28.749462827675128,9.494767232046192,0.5052327679538093,历史4/5次成功; 当前距低点0.51%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
8,77.00436430394673,70.03972903874107,688220,翱捷科技,bottom_area,2024-04-08,37.39,2024-04-08,37.38,0.026752273943279854,4.0395933654360565,31.033210332103323,False,-3.634,1.4774,3,4,3,75.0,28.20281840500936,45.103092783505154,9.973247726056721,0.026752273943279854,历史3/4次成功; 当前距低点0.03%; 最新日涨幅-3.63%; 状态bottom_area; 底部未确认
9,76.6478983678805,70.67567355459549,300548,长芯博创,bottom_area,2024-04-08,24.39,2024-04-08,24.21,0.7434944237918204,3.7174721189591016,27.73134328358209,False,-0.9744,5.2798,1,1,1,100.0,26.026026026026024,26.026026026026024,9.25650557620818,0.7434944237918204,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
10,76.36539208878601,69.54893702837471,603079,圣达生物,bottom_area,2024-04-08,10.55,2024-04-08,10.54,0.09487666034157081,6.261859582542696,32.043842682140564,False,-5.2962,4.8955,1,1,1,100.0,22.232558139534888,22.232558139534888,9.905123339658429,0.09487666034157081,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
11,76.32350569922552,70.34009505316668,300757,罗博特科,bottom_area,2024-04-08,112.48,2024-04-08,111.68,0.7163323782234932,7.091690544412596,31.62309434886426,False,-8.3964,11.5964,4,5,4,80.0,27.437273524280858,74.11052233156698,9.283667621776507,0.7163323782234932,历史4/5次成功; 当前距低点0.72%; 最新日涨幅-8.40%; 状态bottom_area; 底部未确认
12,74.78992378301545,68.71968494610914,603106,恒银科技,bottom_area,2024-04-08,5.4,2024-04-08,5.37,0.5586592178770996,5.586592178770947,27.235772357723576,False,-4.9296,2.937,3,4,3,75.0,27.625956789617884,34.60144927536232,9.4413407821229,0.5586592178770996,历史3/4次成功; 当前距低点0.56%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
13,74.77310611320289,68.17860742327603,688048,长光华芯,bottom_area,2024-04-08,38.46,2024-04-08,38.4,0.15625000000000594,5.208333333333334,32.690622261174404,False,-4.8726,3.2082,3,4,3,75.0,19.78417969503248,23.810089020771517,9.843749999999995,0.15625000000000594,历史3/4次成功; 当前距低点0.16%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
14,73.82338447498992,71.24386521712836,002857,三晖电气,bottom_area,2024-04-08,12.18,2024-03-28,11.81,3.132938187976284,8.806096528365783,29.785969084423304,True,-3.6392,1.5618,1,1,1,100.0,19.55357142857144,19.55357142857144,6.867061812023717,3.132938187976284,历史1/1次成功; 当前距低点3.13%; 最新日涨幅-3.64%; 状态bottom_area; 底部已确认
15,70.6486459835409,64.22604180321899,603037,凯众股份,bottom_area,2024-04-08,21.36,2024-04-08,21.36,0.0,6.226591760299635,30.423452768729643,False,-9.9874,16.874,2,3,2,66.66666666666666,43.59879105673294,47.48743718592965,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
16,70.33848365434383,67.6257400880732,002238,天威视讯,bottom_area,2024-04-08,10.52,2024-04-08,10.22,2.935420743639911,5.479452054794508,28.028169014084497,False,1.0567,2.204,2,3,2,66.66666666666666,13.074369445728676,15.169902912621358,7.06457925636009,2.935420743639911,历史2/3次成功; 当前距低点2.94%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
17,67.07320672519782,64.52509705572712,688039,当虹科技,bottom_area,2024-04-08,27.07,2024-04-08,26.29,2.966907569418034,4.602510460251049,28.90751757706868,False,-1.2404,3.0158,3,5,3,60.0,17.04110921505497,17.31207289293849,7.033092430581966,2.966907569418034,历史3/5次成功; 当前距低点2.97%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
