rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.45620562766784,81.0993798565594,002829,星网宇达,bottom_area,2023-08-07,30.87,2023-08-02,30.48,1.27952755905512,2.6574803149606256,31.918695555059195,False,-0.8989,1.4674,3,3,3,100.0,15.4661435011025,21.628131021194598,6.72047244094488,1.27952755905512,历史3/3次成功; 当前距低点1.28%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
2,83.93720638022799,81.32001063563291,688300,联瑞新材,bottom_area,2023-08-07,43.5,2023-08-02,42.5,2.3529411764705883,5.5764705882352885,27.350427350427353,False,0.4851,0.403,2,2,2,100.0,24.003852247235756,26.809910956252438,5.647058823529412,2.3529411764705883,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,83.77865446320298,78.87285626695424,603033,三维股份,bottom_area,2023-08-07,15.19,2023-08-07,15.06,0.8632138114209761,1.5936254980079694,30.180806675938804,False,0.1318,0.1471,3,3,3,100.0,15.757977188140112,24.922480620155024,7.136786188579023,0.8632138114209761,历史3/3次成功; 当前距低点0.86%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
4,82.2228144762253,78.3555427528788,688287,退市观典,bottom_area,2023-08-07,10.86,2023-08-07,10.7,1.4953271028037398,1.9626168224299148,28.475935828877013,False,0.277,0.564,1,1,1,100.0,14.219830899308223,14.219830899308223,6.504672897196261,1.4953271028037398,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
5,81.16506223034655,78.80366044651957,600081,东风科技,bottom_area,2023-08-07,11.64,2023-07-28,11.36,2.4647887323943762,4.5774647887324065,31.27646702964308,False,0.0,0.0,2,2,2,100.0,11.84612234612234,13.923013923013915,5.535211267605624,2.4647887323943762,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,80.46648770141033,77.1596457410784,300375,鹏翎股份,bottom_area,2023-08-07,4.48,2023-08-07,4.4,1.8181818181818195,3.1818181818181746,28.455284552845526,False,0.2237,10.9067,1,1,1,100.0,11.74785100286532,11.74785100286532,6.181818181818181,1.8181818181818195,历史1/1次成功; 当前距低点1.82%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
7,80.33725761936624,77.98122899855872,002219,新里程,bottom_area,2023-08-07,3.76,2023-08-07,3.67,2.452316076294274,2.724795640326978,29.42307692307693,False,0.0,0.7754,1,1,1,100.0,23.938223938223942,23.938223938223942,5.547683923705726,2.452316076294274,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,79.03363319519084,79.3846256679195,300342,天银机电,bottom_area,2023-08-07,11.58,2023-07-28,11.11,4.230423042304237,5.220522052205221,28.368794326241137,False,2.4779,6.1321,3,3,3,100.0,19.9461838944793,26.68539325842696,3.769576957695764,4.230423042304237,历史3/3次成功; 当前距低点4.23%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
9,76.07096061354937,70.78295179734091,002755,奥赛康,bottom_area,2023-08-07,7.86,2023-08-07,7.84,0.2551020408163324,5.484693877551017,29.749103942652333,False,-4.7273,0.8548,1,1,1,100.0,30.831099195710454,30.831099195710454,7.7448979591836675,0.2551020408163324,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
10,75.64105761549922,72.62192445118765,300565,科信技术,bottom_area,2023-08-07,16.78,2023-08-03,16.47,1.8822100789314042,3.7037037037037006,27.636203866432346,False,-1.0029,3.1125,1,1,1,100.0,10.60948081264109,10.60948081264109,6.117789921068597,1.8822100789314042,历史1/1次成功; 当前距低点1.88%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
11,75.57804783291078,74.3169123505976,600990,四创电子,bottom_area,2023-08-07,23.43,2023-07-24,22.72,3.125000000000004,3.521126760563384,29.199127454035533,False,0.1282,0.5845,1,1,1,100.0,12.483399734395755,12.483399734395755,4.8749999999999964,3.125000000000004,历史1/1次成功; 当前距低点3.13%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
