rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.40251046904736,84.63088532410922,000411,英特集团,bottom_area,2023-01-05,11.74,2023-01-05,11.54,1.7331022530329383,2.166377816291161,31.675547661338076,False,0.0853,1.8136,2,2,2,100.0,34.206228285076975,47.98426745329401,6.266897746967063,1.7331022530329383,历史2/2次成功; 当前距低点1.73%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
2,87.17751888669126,86.2922256761595,688075,安旭生物,bottom_area,2023-01-05,86.79,2022-12-30,83.88,3.4692417739628167,3.7792083929423006,29.441453566621806,False,0.5096,3.8315,4,4,4,100.0,31.086542584917854,40.134529147982065,4.530758226037183,3.4692417739628167,历史4/4次成功; 当前距低点3.47%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
3,77.31192618971473,71.58511684232845,000153,丰原药业,bottom_area,2023-01-05,10.98,2023-01-05,10.98,0.0,3.8251366120218573,30.899937067337945,False,-10.0,15.8063,2,2,2,100.0,27.608155066281913,39.18305597579423,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
4,76.26370924551527,76.47677887821081,002395,双象股份,bottom_area,2023-01-05,10.05,2023-01-03,9.65,4.145077720207258,4.663212435233153,29.355783308931183,False,0.6006,1.267,1,1,1,100.0,36.59976387249114,36.59976387249114,3.854922279792742,4.145077720207258,历史1/1次成功; 当前距低点4.15%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
5,75.75345813229592,74.59691678676468,002838,道恩股份,bottom_area,2023-01-05,18.06,2022-12-30,17.5,3.1999999999999926,4.285714285714286,30.223285486443373,False,-0.8237,1.7215,2,2,2,100.0,20.71460638045511,24.95606326889279,4.800000000000008,3.1999999999999926,历史2/2次成功; 当前距低点3.20%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
6,74.23403202221971,74.10031716417909,000919,金陵药业,bottom_area,2023-01-05,7.98,2022-12-29,7.68,3.9062500000000098,4.947916666666677,31.12107623318386,False,0.1255,2.0808,1,1,1,100.0,20.8955223880597,20.8955223880597,4.09374999999999,3.9062500000000098,历史1/1次成功; 当前距低点3.91%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
7,73.29927361254217,72.68148102383955,000650,仁和药业,bottom_area,2023-01-05,6.4,2022-12-27,6.18,3.559870550161823,7.281553398058256,27.20848056537103,False,-0.156,3.1284,2,2,2,100.0,14.827881065637138,17.19038817005545,4.440129449838177,3.559870550161823,历史2/2次成功; 当前距低点3.56%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
8,72.44298438492864,67.96121760249392,002420,毅昌科技,bottom_area,2023-01-05,7.4,2023-01-05,7.35,0.680272108843547,1.6326530612244914,31.24415341440599,False,-0.6711,4.8817,1,1,1,100.0,10.657193605683846,10.657193605683846,7.319727891156454,0.680272108843547,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
9,72.33951921422816,73.15777681270197,002769,普路通,bottom_area,2023-01-05,8.44,2022-12-30,8.07,4.584882280049556,7.558859975216846,27.817531305903394,True,0.9569,2.7594,1,1,1,100.0,14.953271028037399,14.953271028037399,3.4151177199504437,4.584882280049556,历史1/1次成功; 当前距低点4.58%; 最新日涨幅0.96%; 状态bottom_area; 底部已确认
10,69.62647625120714,70.74008308270473,600158,中体产业,bottom_area,2023-01-05,8.69,2022-12-23,8.29,4.825090470446326,6.031363088057902,29.626485568760614,False,0.0,2.0185,1,1,1,100.0,14.092953523238386,14.092953523238386,3.1749095295536747,4.825090470446326,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,68.80989908812901,70.06527694610779,000059,华锦股份,bottom_area,2023-01-05,7.01,2022-12-23,6.68,4.940119760479043,5.688622754491016,27.233115468409586,False,0.2861,1.3035,1,1,1,100.0,11.874999999999996,11.874999999999996,3.0598802395209566,4.940119760479043,历史1/1次成功; 当前距低点4.94%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
12,68.65276599329846,69.8833373868365,603318,水发燃气,bottom_area,2023-01-05,8.95,2022-12-30,8.53,4.9237983587338805,6.916764361078545,30.819140308191407,False,1.9362,6.7803,1,1,1,100.0,10.696761530912658,10.696761530912658,3.07620164126612,4.9237983587338805,历史1/1次成功; 当前距低点4.92%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
