rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.34790390283425,74.27658131454002,688083,中望软件,bottom_area,2022-08-26,182.08,2022-08-26,182.0,0.04395604395605083,6.219780219780216,29.721589373286488,False,-2.5111,1.1287,2,2,2,100.0,20.144091907310933,21.52777777777778,14.956043956043949,0.04395604395605083,历史2/2次成功; 当前距低点0.04%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
2,84.91689690463258,75.40720988077881,600248,陕建股份,bottom_area,2022-08-26,4.5,2022-08-03,4.45,1.1235955056179736,5.393258426966296,28.2258064516129,False,-1.7467,0.9938,1,1,1,100.0,16.28498727735369,16.28498727735369,13.876404494382024,1.1235955056179736,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
3,84.01795014120718,75.0520403668626,688259,创耀科技,bottom_area,2022-08-26,78.15,2022-08-25,77.04,1.4408099688473512,10.462097611630305,27.709486722342113,False,-0.7115,5.8112,1,1,1,100.0,18.26390911739005,18.26390911739005,13.55919003115265,1.4408099688473512,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
4,82.44290944055946,72.16120000000001,002471,中超控股,bottom_area,2022-08-26,2.86,2022-08-26,2.85,0.3508771929824486,4.210526315789477,31.980906921241054,False,-2.0548,5.4417,1,1,1,100.0,29.2,29.2,14.64912280701755,0.3508771929824486,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
5,81.76590307524539,71.35488549618321,002110,三钢闽光,bottom_area,2022-08-26,5.25,2022-08-25,5.24,0.19083969465648445,2.099236641221363,29.47510094212651,False,-0.9434,0.3026,1,1,1,100.0,22.90322580645161,22.90322580645161,14.809160305343516,0.19083969465648445,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
6,80.5136534012901,74.15439685799032,000715,中兴商业,bottom_area,2022-08-26,5.02,2022-08-03,4.87,3.080082135523603,7.802874743326487,27.421758569299552,True,-1.7613,1.385,1,1,1,100.0,24.33862433862435,24.33862433862435,11.919917864476396,3.080082135523603,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
7,80.12561208984448,70.69415341882393,688160,步科股份,bottom_area,2022-08-26,40.18,2022-08-26,39.87,0.7775269626285485,5.818911462252322,32.02046035805627,False,-2.7119,6.0997,1,1,1,100.0,26.542553191489354,26.542553191489354,14.222473037371449,0.7775269626285485,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
8,79.176,68.84869565217392,002671,龙泉股份,bottom_area,2022-08-26,4.55,2022-08-26,4.55,0.0,2.857142857142855,27.316293929712458,False,-2.9851,2.1286,1,1,1,100.0,19.347826086956534,19.347826086956534,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
9,78.70740774173417,69.2410070435475,603289,泰瑞机器,bottom_area,2022-08-26,11.33,2022-08-26,11.26,0.6216696269982263,5.417406749555945,27.588424437299043,False,-3.7383,2.754,1,1,1,100.0,27.034482758620705,27.034482758620705,14.378330373001774,0.6216696269982263,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
10,78.70128683892204,68.53438699962355,002119,康强电子,bottom_area,2022-08-26,13.01,2022-08-26,13.0,0.07692307692307529,6.153846153846159,28.49284928492849,False,-5.313,8.3561,1,1,1,100.0,16.557911908646,16.557911908646,14.923076923076925,0.07692307692307529,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-5.31%; 状态bottom_area; 底部未确认
11,75.07293240460189,69.64616744957169,688058,宝兰德,bottom_area,2022-08-26,43.25,2022-08-26,41.8,3.4688995215311076,8.851674641148332,29.152542372881364,False,-15.8233,9.9981,1,1,1,100.0,24.27558257345491,24.27558257345491,11.531100478468892,3.4688995215311076,历史1/1次成功; 当前距低点3.47%; 最新日涨幅-15.82%; 状态bottom_area; 底部未确认
