rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.86728232172413,78.76127526379335,603186,华正新材,bottom_area,2022-04-20,22.51,2022-04-20,22.15,1.625282167042903,4.108352144469527,27.018121911037902,False,0.3567,2.0449,1,1,1,100.0,17.994186046511643,17.994186046511643,13.374717832957097,1.625282167042903,历史1/1次成功; 当前距低点1.63%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
2,86.98892482468027,77.25865629420085,002530,金财互联,bottom_area,2022-04-20,7.15,2022-04-18,7.07,1.1315417256011324,8.769448373408771,27.78345250255362,True,-2.3224,5.5141,1,1,1,100.0,17.142857142857135,17.142857142857135,13.868458274398868,1.1315417256011324,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-2.32%; 状态bottom_area; 底部已确认
3,85.22537441040488,76.14264465511604,300386,飞天诚信,bottom_area,2022-04-20,11.2,2022-04-18,11.04,1.449275362318842,7.065217391304358,27.368421052631582,True,-1.9264,2.1772,1,1,1,100.0,15.037593984962406,15.037593984962406,13.550724637681158,1.449275362318842,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
4,83.63342714370957,73.28644300565463,002603,以岭药业,confirmed_rebound,2022-04-20,29.27,2022-04-19,29.15,0.4116638078902264,16.295025728987994,27.10677669417355,True,-9.6884,10.4659,2,2,2,100.0,30.564712299163222,39.661898569570866,14.588336192109775,0.4116638078902264,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-9.69%; 状态confirmed_rebound; 底部已确认
5,82.92919478693487,76.24402985074626,000889,中嘉博创,bottom_area,2022-04-20,3.45,2022-04-18,3.35,2.9850746268656745,8.358208955223875,32.86573146292585,True,-1.9886,3.0404,1,1,1,100.0,34.408602150537625,34.408602150537625,12.014925373134325,2.9850746268656745,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
6,82.86069286852984,74.75144942410768,002825,纳尔股份,bottom_area,2022-04-20,14.5,2022-04-20,14.22,1.969057665260192,6.39943741209564,32.70231897775674,False,-2.815,4.6809,1,1,1,100.0,23.123123123123136,23.123123123123136,13.030942334739807,1.969057665260192,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
7,82.7343500609612,72.85999009301433,600338,西藏珠峰,bottom_area,2022-04-20,22.28,2022-04-20,22.13,0.677812923633087,7.6818798011748735,27.442622950819672,False,-7.5135,4.249,2,2,2,100.0,30.512922359665453,31.213191990577155,14.322187076366912,0.677812923633087,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-7.51%; 状态bottom_area; 底部未确认
8,82.65143489013252,74.71574064449062,002235,安妮股份,bottom_area,2022-04-20,4.91,2022-04-18,4.81,2.07900207900209,6.6528066528066585,28.101644245142015,False,-2.1912,6.0892,1,1,1,100.0,24.27884615384615,24.27884615384615,12.920997920997909,2.07900207900209,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
9,79.58739745775938,69.29082587355263,300663,科蓝软件,bottom_area,2022-04-20,15.35,2022-04-20,15.34,0.06518904823989431,6.779661016949147,27.811764705882354,False,-3.0322,3.5941,1,1,1,100.0,20.480951094298856,20.480951094298856,14.934810951760106,0.06518904823989431,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
10,78.85723364923366,69.08199485199486,002482,广田集团,bottom_area,2022-04-20,2.53,2022-04-20,2.52,0.39682539682538837,5.55555555555556,31.521739130434785,False,-4.5283,2.4614,1,1,1,100.0,23.423423423423422,23.423423423423422,14.603174603174612,0.39682539682538837,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
11,78.1432181363478,70.82570145414347,000856,冀东装备,bottom_area,2022-04-20,8.29,2022-04-20,8.11,2.219482120838468,6.905055487053027,29.04636920384952,False,-3.1542,5.4668,1,1,1,100.0,15.301724137931036,15.301724137931036,12.780517879161533,2.219482120838468,历史1/1次成功; 当前距低点2.22%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
