rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.56125907969634,77.70831963951778,301687,新广益,bottom_area,2026-01-23,63.41,88.3,2026-01-14,61.3,3.442088091353996,4.159869494290382,30.577576443941112,28.187995469988675,False,1.3425,15.5384,1,1,1,100.0,34.60365853658537,34.60365853658537,16.557911908646005,3.442088091353996,历史1/1次成功; 当前距低点3.44%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
2,87.54511282896894,74.64068460950817,300155,安居宝,bottom_area,2026-01-23,5.68,8.08,2026-01-23,5.61,1.2477718360071193,10.338680926916222,30.56930693069307,29.702970297029708,False,-6.8852,18.9064,1,1,1,100.0,23.90109890109889,23.90109890109889,18.752228163992882,1.2477718360071193,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-6.89%; 状态bottom_area; 底部未确认
3,86.15610939893612,76.68045955779873,000735,罗牛山,bottom_area,2026-01-23,8.06,11.38,2026-01-21,7.78,3.5989717223650417,3.856041131105396,31.634446397188054,29.173989455184536,False,1.7677,3.3566,3,4,3,75.0,35.16728540210225,44.303797468354425,16.40102827763496,3.5989717223650417,历史3/4次成功; 当前距低点3.60%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
4,76.95289655748756,68.54161865052465,301489,思泉新材,bottom_area,2026-01-23,173.08,231.5,2026-01-20,167.0,3.640718562874259,7.341317365269455,27.861771058315334,25.235421166306686,False,0.7451,6.0793,2,4,2,50.0,46.08847835418263,71.56118143459918,16.35928143712574,3.640718562874259,历史2/4次成功; 当前距低点3.64%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
5,76.51579157676956,65.31995183265285,688115,思林杰,bottom_area,2026-01-23,50.0,73.3,2026-01-23,49.35,1.3171225937183355,6.727456940222898,32.67394270122782,31.78717598908595,False,-4.1595,6.092,4,8,4,50.0,32.97307175446581,53.58819584171696,18.682877406281666,1.3171225937183355,历史4/8次成功; 当前距低点1.32%; 最新日涨幅-4.16%; 状态bottom_area; 底部未确认
6,67.47684553947148,60.824301086328035,600161,天坛生物,bottom_area,2026-01-23,16.75,22.08,2025-12-24,16.06,4.296388542963894,9.464508094645078,27.264492753623188,24.13949275362318,True,0.4799,0.5434,1,2,1,50.0,36.77455357142857,36.77455357142857,15.703611457036107,4.296388542963894,历史1/2次成功; 当前距低点4.30%; 最新日涨幅0.48%; 状态bottom_area; 底部已确认
7,66.41264723316898,59.802857698114245,600325,华发股份,bottom_area,2026-01-23,4.18,5.74,2026-01-19,4.01,4.23940149625935,5.486284289276824,30.13937282229966,27.177700348432065,False,-0.7126,1.6417,2,4,2,50.0,28.917704890244938,32.553606237816766,15.760598503740653,4.23940149625935,历史2/4次成功; 当前距低点4.24%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
8,66.34523940764576,59.508810573862725,603069,海汽集团,bottom_area,2026-01-23,23.52,31.58,2026-01-21,22.61,4.024767801857585,4.643962848297217,28.404053198226727,25.52248258391387,False,1.0743,2.4027,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,15.975232198142416,4.024767801857585,历史2/7次成功; 当前距低点4.02%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
