rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.92341879716597,87.90096700178279,300563,神宇股份,bottom_area,2025-10-20,37.35,2025-10-17,36.79,1.5221527589018817,7.039956509921183,28.563106796116504,False,1.5222,3.59,4,4,4,100.0,15.86814673160799,20.477137176938378,8.477847241098118,1.5221527589018817,历史4/4次成功; 当前距低点1.52%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
2,90.45542740678668,84.83292411507237,002674,兴业科技,bottom_area,2025-10-20,13.7,2025-10-20,13.48,1.6320474777447986,2.8189910979228414,27.52688172043011,False,0.4399,1.6082,2,2,2,100.0,34.05372238887374,36.52849740932641,8.367952522255202,1.6320474777447986,历史2/2次成功; 当前距低点1.63%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
3,88.95365531206,82.89447708167963,603305,旭升集团,bottom_area,2025-10-20,14.83,2025-10-17,14.64,1.29781420765027,5.669398907103825,27.881773399014776,False,0.3383,3.4756,5,6,5,83.33333333333334,22.312688934349005,32.41061130334487,8.70218579234973,1.29781420765027,历史5/6次成功; 当前距低点1.30%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
4,86.1249048405275,81.78604401599326,688603,天承科技,bottom_area,2025-10-20,66.2,2025-10-17,64.72,2.2867737948084117,6.242274412855387,27.976852882261294,False,1.5182,3.7905,1,1,1,100.0,42.364990689013034,42.364990689013034,7.71322620519159,2.2867737948084117,历史1/1次成功; 当前距低点2.29%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
5,84.45349918559451,81.51197991056121,002269,美邦服饰,bottom_area,2025-10-20,2.3,2025-10-13,2.23,3.1390134529147913,8.520179372197308,30.529595015576323,True,1.3216,4.3653,6,8,6,75.0,46.3114547484244,173.50993377483442,6.86098654708521,3.1390134529147913,历史6/8次成功; 当前距低点3.14%; 最新日涨幅1.32%; 状态bottom_area; 底部已确认
6,84.1335867862729,81.61854237288136,688621,阳光诺和,bottom_area,2025-10-20,61.01,2025-10-14,59.0,3.4067796610169463,8.322033898305078,31.355439208842352,True,1.5141,3.0866,1,1,1,100.0,46.0,46.0,6.5932203389830555,3.4067796610169463,历史1/1次成功; 当前距低点3.41%; 最新日涨幅1.51%; 状态bottom_area; 底部已确认
7,84.06304623293556,80.16049578046552,300056,中创环保,bottom_area,2025-10-20,10.64,2025-10-15,10.38,2.5048169556840056,8.188824662813097,29.001367989056074,True,0.0,1.8811,1,1,1,100.0,27.10472279260781,27.10472279260781,7.495183044315995,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
8,84.02399191642247,79.67678804858744,300049,福瑞医科,bottom_area,2025-10-20,66.55,2025-10-13,65.11,2.211641836891411,8.692981108892637,28.19805910895457,True,0.0601,1.804,1,1,1,100.0,20.910384068278802,20.910384068278802,7.78835816310859,2.211641836891411,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.06%; 状态bottom_area; 底部已确认
9,83.36297109139622,79.55100529303213,000096,广聚能源,bottom_area,2025-10-20,11.29,2025-09-23,11.01,2.5431425976385045,6.176203451407809,28.039215686274517,False,1.4376,1.1448,2,2,2,100.0,16.82457212713937,21.149144254278735,7.4568574023614955,2.5431425976385045,历史2/2次成功; 当前距低点2.54%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
10,82.54271997207671,79.3952377996429,600706,曲江文旅,bottom_area,2025-10-20,10.09,2025-10-13,9.8,2.959183673469379,4.59183673469387,31.420573827851634,False,2.4365,4.1021,2,2,2,100.0,21.086970834156286,24.578313253012034,7.040816326530622,2.959183673469379,历史2/2次成功; 当前距低点2.96%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
11,82.33211447949093,80.60046388814409,300757,罗博特科,bottom_area,2025-10-20,215.04,2025-10-17,207.0,3.8840579710144887,7.8164251207729505,31.606423048965844,True,3.2605,3.9158,7,8,7,87.5,23.46030140890924,74.11052233156698,6.115942028985512,3.8840579710144887,历史7/8次成功; 当前距低点3.88%; 最新日涨幅3.26%; 状态bottom_area; 底部已确认
