rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.89565176460708,83.22110461193661,002520,日发精机,bottom_area,2023-04-18,6.11,2023-04-06,6.04,1.1589403973509982,7.284768211920537,27.316486161251508,True,-1.6103,2.0158,3,3,3,100.0,16.201552246757505,30.752212389380546,6.841059602649002,1.1589403973509982,历史3/3次成功; 当前距低点1.16%; 最新日涨幅-1.61%; 状态bottom_area; 底部已确认
2,86.07682370743288,82.9615334709719,002006,精工科技,bottom_area,2023-04-18,22.05,2023-04-11,21.6,2.08333333333333,5.601851851851839,29.938371715861166,False,-1.7817,0.9093,3,3,3,100.0,35.330825112752166,61.48648648648647,5.91666666666667,2.08333333333333,历史3/3次成功; 当前距低点2.08%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
3,83.33757191671293,78.26022636484686,300586,美联新材,bottom_area,2023-04-18,15.13,2023-04-13,15.02,0.7323568575233104,3.9946737683089193,27.087378640776706,False,-2.0712,1.3248,2,2,2,100.0,69.69134206257787,124.33414043583537,7.2676431424766905,0.7323568575233104,历史2/2次成功; 当前距低点0.73%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
4,83.21848501215231,78.19285714285715,000678,襄阳轴承,bottom_area,2023-04-18,5.29,2023-04-18,5.25,0.7619047619047626,1.904761904761898,27.685950413223136,False,-0.7505,0.8948,2,2,2,100.0,68.2777295253666,121.62162162162164,7.238095238095238,0.7619047619047626,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
5,83.204787418929,79.33923664122138,002397,梦洁股份,bottom_area,2023-04-18,3.99,2023-04-18,3.93,1.5267175572519098,2.7989821882951618,27.087198515769938,False,-0.9926,1.0134,1,1,1,100.0,42.36641221374045,42.36641221374045,6.473282442748091,1.5267175572519098,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
6,78.38973137589699,77.9218348227782,300763,锦浪科技,bottom_area,2023-04-18,127.9,2023-04-14,123.35,3.688690717470621,5.115524929063643,30.14893255563736,False,1.7583,2.9543,2,2,2,100.0,22.10779386350115,35.693617021276594,4.311309282529379,3.688690717470621,历史2/2次成功; 当前距低点3.69%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
7,78.05682170333982,77.38540764024107,000887,中鼎股份,bottom_area,2023-04-18,12.54,2023-04-06,12.11,3.550784475639965,6.853839801816681,28.512396694214885,False,0.885,1.0015,2,2,2,100.0,17.53331314354936,23.84615384615385,4.449215524360035,3.550784475639965,历史2/2次成功; 当前距低点3.55%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
8,77.52986302982788,72.95783848478156,002347,泰尔股份,bottom_area,2023-04-18,4.8,2023-04-18,4.76,0.8403361344537823,2.7310924369747878,32.76836158192091,False,-1.8405,2.3264,2,2,2,100.0,22.816155222237516,29.585798816568047,7.159663865546218,0.8403361344537823,历史2/2次成功; 当前距低点0.84%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
9,75.90640488126975,71.17674495586381,002329,皇氏集团,bottom_area,2023-04-18,6.14,2023-04-18,6.1,0.6557377049180334,2.6229508196721336,31.22886133032694,False,-1.4446,3.0295,1,1,1,100.0,27.644230769230756,27.644230769230756,7.344262295081967,0.6557377049180334,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
10,75.44421369415866,70.60704590818364,002385,大北农,bottom_area,2023-04-18,7.24,2023-04-17,7.2,0.555555555555556,1.388888888888884,27.19919110212336,False,-0.6859,0.9257,1,1,1,100.0,23.353293413173663,23.353293413173663,7.444444444444444,0.555555555555556,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
11,75.28870431049707,70.53542897546772,300530,领湃科技,bottom_area,2023-04-18,23.09,2023-04-06,22.95,0.6100217864923773,6.753812636165581,28.393135725429016,False,-1.4511,0.2434,3,4,3,75.0,27.802573379948058,34.07510431154381,7.389978213507622,0.6100217864923773,历史3/4次成功; 当前距低点0.61%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
12,75.26700738323011,76.18200844986657,300393,中来股份,bottom_area,2023-04-18,14.92,2023-03-20,14.26,4.628330995792427,7.8541374474053365,27.61421319796954,True,-0.1339,2.7242,3,3,3,100.0,20.884963012222048,23.89610389610389,3.371669004207573,4.628330995792427,历史3/3次成功; 当前距低点4.63%; 最新日涨幅-0.13%; 状态bottom_area; 底部已确认
13,75.01886378240174,69.79671365026253,001299,美能能源,bottom_area,2023-04-18,16.06,2023-04-18,16.02,0.249687890137323,2.871410736579281,29.11504424778762,False,-2.0732,3.4815,1,1,1,100.0,15.247322794492616,15.247322794492616,7.750312109862676,0.249687890137323,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
14,74.57795895542073,71.84588235294117,000546,金圆股份,bottom_area,2023-04-18,8.92,2023-04-17,8.74,2.0594965675057177,6.75057208237986,29.629629629629626,False,-2.938,3.1514,1,1,1,100.0,8.610400682011933,8.610400682011933,5.940503432494283,2.0594965675057177,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
15,74.54113254853996,73.59156398104265,001227,兰州银行,bottom_area,2023-04-18,3.1,2023-04-11,3.0,3.333333333333336,4.0000000000000036,28.571428571428577,False,0.3236,1.2523,1,1,1,100.0,11.137440758293856,11.137440758293856,4.666666666666664,3.333333333333336,历史1/1次成功; 当前距低点3.33%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
