rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.4554843284726,88.37860906504172,688095,福昕软件,bottom_area,2024-06-07,45.71,2024-06-06,45.03,1.510104374861203,8.261159227181876,27.951999999999998,False,0.3513,1.7729,4,4,4,100.0,18.288424944759377,31.679509356817103,8.489895625138798,1.510104374861203,历史4/4次成功; 当前距低点1.51%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
2,90.7322529467517,84.67312418609625,688356,键凯科技,bottom_area,2024-06-07,63.5,2024-06-06,62.64,1.3729246487867168,4.885057471264371,27.717516732056307,False,1.0503,0.7463,3,3,3,100.0,13.351571964139552,15.625,8.627075351213284,1.3729246487867168,历史3/3次成功; 当前距低点1.37%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
3,90.61468039494198,86.67491168211845,002761,浙江建投,bottom_area,2024-06-07,8.47,2024-06-06,8.25,2.6666666666666745,4.4848484848484755,28.26086956521739,False,1.8029,2.2909,6,6,6,100.0,23.305976785583134,43.73730534867976,7.333333333333327,2.6666666666666745,历史6/6次成功; 当前距低点2.67%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
4,89.53215784862478,84.2822095793513,688023,安恒信息,bottom_area,2024-06-07,42.88,2024-06-06,42.11,1.828544288767521,8.216575635241037,28.359986389928547,False,1.6355,2.3322,2,2,2,100.0,33.50156213839389,39.261744966442954,8.171455711232479,1.828544288767521,历史2/2次成功; 当前距低点1.83%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
5,89.51029373702718,86.55081428096825,688159,有方科技,bottom_area,2024-06-07,32.55,2024-06-06,31.53,3.235014272121776,9.705042816365374,31.15720524017467,False,2.4551,2.1505,4,4,4,100.0,29.60562807207472,61.150808574652125,6.7649857278782255,3.235014272121776,历史4/4次成功; 当前距低点3.24%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
6,86.84907090812155,82.77294117647058,000420,吉林化纤,bottom_area,2024-06-07,3.31,2024-06-06,3.23,2.4767801857585163,5.26315789473684,29.321663019693663,False,1.5337,1.5861,1,1,1,100.0,53.9249146757679,53.9249146757679,7.523219814241484,2.4767801857585163,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
7,86.28346039492583,82.87664906438256,301393,昊帆生物,bottom_area,2024-06-07,40.65,2024-06-06,39.51,2.885345482156418,7.061503416856491,29.547075606276753,False,1.7013,4.4845,2,2,2,100.0,38.899122385479515,58.59438845001361,7.114654517843583,2.885345482156418,历史2/2次成功; 当前距低点2.89%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
8,86.14597068328351,81.34246048211143,002805,丰元股份,bottom_area,2024-06-07,10.77,2024-06-07,10.56,1.9886363636363549,3.4090909090909034,31.025473546701498,False,0.4664,1.8639,4,5,4,80.0,29.658878447324323,50.09389671361502,8.011363636363646,1.9886363636363549,历史4/5次成功; 当前距低点1.99%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
9,85.08532888188428,82.59519765739385,300720,海川智能,bottom_area,2024-06-07,14.13,2024-06-07,13.66,3.4407027818448075,6.002928257686679,29.768637532133674,False,-1.1888,2.7173,3,3,3,100.0,57.75229601757511,75.69193742478939,6.559297218155194,3.4407027818448075,历史3/3次成功; 当前距低点3.44%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
10,84.3890801586775,80.13604959365131,605177,东亚药业,bottom_area,2024-06-07,21.48,2024-06-07,21.0,2.285714285714288,3.0952380952380882,28.69269949066214,False,0.7505,0.8331,2,2,2,100.0,16.81439873698852,21.452513966480446,7.714285714285713,2.285714285714288,历史2/2次成功; 当前距低点2.29%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
11,83.98694887415324,80.21908286098575,688315,诺禾致源,bottom_area,2024-06-07,11.88,2024-06-06,11.58,2.5906735751295398,8.462867012089815,29.775621588841716,False,1.1925,0.7037,3,4,3,75.0,41.83235813054352,86.2826357231662,7.409326424870461,2.5906735751295398,历史3/4次成功; 当前距低点2.59%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
