rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.72391629220624,81.30384974507182,002179,中航光电,bottom_area,2023-06-05,41.35,2023-06-05,40.93,1.0261421939897426,3.322746151966771,28.743036211699163,False,-1.4538,0.3809,1,1,1,100.0,46.79276315789475,46.79276315789475,13.973857806010257,1.0261421939897426,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
2,90.74904715530987,81.40442363439637,600009,上海机场,bottom_area,2023-06-05,45.8,2023-06-01,45.05,1.6648168701442843,3.1076581576026765,29.477144646211656,False,-0.4131,0.3308,3,3,3,100.0,21.829065044759854,27.704918032786885,13.335183129855716,1.6648168701442843,历史3/3次成功; 当前距低点1.66%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
3,89.57969871594625,78.38939271146175,002795,永和智控,bottom_area,2023-06-05,8.9,2023-06-05,8.87,0.33821871476889676,3.0439684329199705,32.803030303030305,False,-0.5587,2.2889,3,3,3,100.0,29.196405274918448,31.302270011947446,14.6617812852311,0.33821871476889676,历史3/3次成功; 当前距低点0.34%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
4,87.42082745294815,80.28637472283813,000890,法尔胜,bottom_area,2023-06-05,4.22,2023-05-19,4.1,2.926829268292686,7.56097560975611,27.689594356261026,True,0.716,1.1851,1,1,1,100.0,32.954545454545446,32.954545454545446,12.073170731707314,2.926829268292686,历史1/1次成功; 当前距低点2.93%; 最新日涨幅0.72%; 状态bottom_area; 底部已确认
5,85.68702575683787,75.97993416750643,001201,东瑞股份,bottom_area,2023-06-05,23.2,2023-06-01,22.96,1.04529616724738,2.700348432055738,32.4308416715715,False,-0.3436,0.9378,1,1,1,100.0,18.4043517679057,18.4043517679057,13.95470383275262,1.04529616724738,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
6,83.75594397730302,75.39698432514913,688289,圣湘生物,bottom_area,2023-06-05,18.13,2023-05-29,17.8,1.8539325842696532,3.8202247191011214,27.789046653144013,False,-0.7663,0.4729,1,1,1,100.0,25.182530200451346,25.182530200451346,13.146067415730345,1.8539325842696532,历史1/1次成功; 当前距低点1.85%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
7,83.37332182151121,77.2153480218336,603327,福蓉科技,bottom_area,2023-06-05,11.63,2023-06-01,11.25,3.3777777777777844,3.8222222222222197,27.419354838709676,False,1.6608,0.361,3,4,3,75.0,35.33162018906968,52.609776304888165,11.622222222222215,3.3777777777777844,历史3/4次成功; 当前距低点3.38%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
8,83.15905669321457,75.29954214805306,600935,华塑股份,bottom_area,2023-06-05,3.77,2023-05-31,3.69,2.168021680216804,3.2520325203252063,27.788649706457928,False,-0.7895,0.1984,1,1,1,100.0,28.50877192982458,28.50877192982458,12.831978319783193,2.168021680216804,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
9,81.83153958133457,74.51924320615184,300753,爱朋医疗,bottom_area,2023-06-05,19.48,2023-06-05,19.01,2.472382956338763,4.576538663861112,30.519005847953206,False,-1.3671,28.2043,1,1,1,100.0,28.044496487119456,28.044496487119456,12.527617043661238,2.472382956338763,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
10,81.70208841720012,75.076040901749,300363,博腾股份,bottom_area,2023-06-05,31.34,2023-05-30,30.44,2.9566360052562373,5.946123521681993,27.01989930472309,False,-2.1237,1.1912,1,1,1,100.0,36.97403760071621,36.97403760071621,12.043363994743762,2.9566360052562373,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
11,80.82812905260617,76.69167387650127,601598,中国外运,bottom_area,2023-06-05,4.7,2023-05-25,4.49,4.677060133630288,7.34966592427617,27.110389610389607,True,0.0,0.5769,2,2,2,100.0,18.41597301708783,18.82640586797067,10.322939866369712,4.677060133630288,历史2/2次成功; 当前距低点4.68%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
12,80.74246997238893,75.69320190352202,601111,中国国航,bottom_area,2023-06-05,8.26,2023-06-02,7.94,4.030226700251881,4.408060453400488,29.920564872021178,False,1.3497,0.5526,1,1,1,100.0,30.97913322632423,30.97913322632423,10.969773299748118,4.030226700251881,历史1/1次成功; 当前距低点4.03%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
13,80.09990901347282,73.06948984903696,002041,登海种业,bottom_area,2023-06-05,15.59,2023-05-30,15.2,2.565789473684214,3.552631578947375,28.30188679245283,False,-0.574,0.2818,1,1,1,100.0,21.395106715252467,21.395106715252467,12.434210526315786,2.565789473684214,历史1/1次成功; 当前距低点2.57%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
14,78.83188122452493,73.56527622225022,600955,维远股份,bottom_area,2023-06-05,18.92,2023-06-01,18.23,3.784969829950638,4.552934722984083,28.453689167974883,False,-0.578,0.2416,2,2,2,100.0,22.33874964805201,25.969084423305596,11.215030170049362,3.784969829950638,历史2/2次成功; 当前距低点3.78%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
15,78.64072709674008,74.00898787207085,688075,安旭生物,bottom_area,2023-06-05,67.39,2023-05-10,64.65,4.2382057231245085,7.764887857695276,30.37906525953047,True,-0.8533,1.6155,4,5,4,80.0,31.086542584917854,40.134529147982065,10.761794276875492,4.2382057231245085,历史4/5次成功; 当前距低点4.24%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
16,78.36855018677258,74.41782111901836,300762,上海瀚讯,bottom_area,2023-06-05,11.98,2023-05-10,11.44,4.720279720279728,6.6433566433566416,27.50316856780735,False,0.8418,1.0527,1,1,1,100.0,32.580961727183514,32.580961727183514,10.279720279720273,4.720279720279728,历史1/1次成功; 当前距低点4.72%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
17,76.59824487030056,68.29840552356296,600984,建设机械,bottom_area,2023-06-05,4.53,2023-06-01,4.47,1.342281879194642,4.697986577181208,28.480000000000004,False,-2.3707,0.9881,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,13.657718120805356,1.342281879194642,历史2/3次成功; 当前距低点1.34%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
