rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.14324077599187,77.67138543227088,002130,沃尔核材,bottom_area,2024-09-20,10.73,2024-09-19,10.59,1.3220018885741318,3.3994334277620344,27.416038382453735,False,-0.6481,3.4216,1,1,1,100.0,30.89005235602093,30.89005235602093,13.677998111425868,1.3220018885741318,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
2,85.69914653418446,77.56236102039675,601808,中海油服,bottom_area,2024-09-20,13.35,2024-09-18,13.07,2.1423106350420764,3.519510328997698,30.25613660618996,False,0.3759,0.2425,1,1,1,100.0,17.88617886178861,17.88617886178861,12.857689364957922,2.1423106350420764,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
3,84.7110982924389,76.3836323970548,002674,兴业科技,bottom_area,2024-09-20,7.87,2024-09-18,7.72,1.9430051813471552,3.367875647668403,32.16168717047452,False,-0.8816,0.3911,1,1,1,100.0,31.578947368421055,31.578947368421055,13.056994818652845,1.9430051813471552,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
4,83.79053420989004,76.58345990671083,301386,未来电器,bottom_area,2024-09-20,17.31,2024-09-18,16.86,2.6690391459074694,4.626334519572961,28.224776500638566,False,-0.9725,0.8671,2,2,2,100.0,24.88639332999926,27.880184331797242,12.330960854092531,2.6690391459074694,历史2/2次成功; 当前距低点2.67%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
5,82.16442782948766,72.21004829105915,301456,盘古智能,bottom_area,2024-09-20,17.7,2024-09-20,17.6,0.568181818181806,5.113636363636355,29.599999999999994,False,-4.3243,3.2586,1,1,1,100.0,42.34141309953585,42.34141309953585,14.431818181818192,0.568181818181806,历史1/1次成功; 当前距低点0.57%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
6,81.95778714782891,74.7470946368296,300761,立华股份,bottom_area,2024-09-20,17.27,2024-09-20,16.84,2.553444180522564,3.50356294536817,32.369477911646584,False,-1.0882,0.7765,1,1,1,100.0,30.263157894736853,30.263157894736853,12.446555819477435,2.553444180522564,历史1/1次成功; 当前距低点2.55%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
7,81.45603527276862,73.89855295116972,603079,圣达生物,bottom_area,2024-09-20,10.36,2024-09-18,10.13,2.270483711747272,4.6396841066140055,30.616438356164377,False,-1.8009,0.8753,1,1,1,100.0,22.232558139534888,22.232558139534888,12.729516288252729,2.270483711747272,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
8,77.58404283304546,71.63204414429252,688009,中国通号,bottom_area,2024-09-20,4.82,2024-09-18,4.67,3.211991434689515,4.282655246252681,28.153846153846157,False,-0.6186,0.2146,1,1,1,100.0,21.588089330024815,21.588089330024815,11.788008565310484,3.211991434689515,历史1/1次成功; 当前距低点3.21%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
9,76.89708376477995,70.76589339409325,300521,爱司凯,bottom_area,2024-09-20,10.18,2024-09-18,9.88,3.0364372469635517,4.048582995951403,28.920863309352512,False,-0.3914,0.7742,4,6,4,66.66666666666666,37.001632529588655,73.27586206896554,11.963562753036449,3.0364372469635517,历史4/6次成功; 当前距低点3.04%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
10,76.53035776329007,72.25146542217674,001286,陕西能源,bottom_area,2024-09-20,9.0,2024-09-11,8.62,4.408352668213467,6.380510440835276,31.749802058590664,False,0.1112,1.4927,1,1,1,100.0,17.110266159695826,17.110266159695826,10.591647331786533,4.408352668213467,历史1/1次成功; 当前距低点4.41%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
11,75.13981607910594,67.50666716751225,300473,德尔股份,bottom_area,2024-09-20,15.72,2024-09-18,15.45,1.7475728155339894,4.919093851132696,29.612756264236907,False,-1.3802,5.5161,2,3,2,66.66666666666666,20.34659419496271,21.37137137137137,13.25242718446601,1.7475728155339894,历史2/3次成功; 当前距低点1.75%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
