rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.74464559828101,70.35613719648353,300683,海特生物,bottom_area,2023-11-24,36.69,2023-11-24,36.65,0.10914051841746016,2.537517053206002,29.027885360185905,False,-1.977,1.3978,1,1,1,100.0,16.532137518684582,16.532137518684582,14.890859481582538,0.10914051841746016,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
2,77.60420434005513,73.49903060221897,600048,保利发展,bottom_area,2023-11-24,11.19,2023-10-30,10.7,4.579439252336451,6.448598130841134,28.139691067830768,False,-0.0893,0.5581,2,2,2,100.0,31.721247836269217,31.987577639751546,10.420560747663549,4.579439252336451,历史2/2次成功; 当前距低点4.58%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
3,73.52494796077592,67.0050899441514,000928,中钢国际,bottom_area,2023-11-24,6.12,2023-10-23,5.97,2.5125628140703578,7.705192629815745,31.06235565819862,True,-1.9231,1.6059,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,12.487437185929643,2.5125628140703578,历史2/3次成功; 当前距低点2.51%; 最新日涨幅-1.92%; 状态bottom_area; 底部已确认
4,67.93010216685119,60.76925960777607,300337,银邦股份,bottom_area,2023-11-24,8.69,2023-11-24,8.56,1.5186915887850352,3.2710280373831697,28.607172643869887,False,-2.6876,5.6328,1,2,1,50.0,34.09610983981694,34.09610983981694,13.481308411214965,1.5186915887850352,历史1/2次成功; 当前距低点1.52%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
5,66.79687299653202,61.888859030837004,002366,融发核电,bottom_area,2023-11-24,5.17,2023-10-23,5.0,3.399999999999999,9.2,28.469241773962807,True,-1.5238,0.8679,2,4,2,50.0,20.64977973568282,25.0,11.600000000000001,3.399999999999999,历史2/4次成功; 当前距低点3.40%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
6,66.3748460925498,60.223418587974365,002786,银宝山新,bottom_area,2023-11-24,12.13,2023-11-24,11.86,2.2765598650927603,6.9139966273187206,31.40543666859456,False,-7.8967,23.9208,2,4,2,50.0,17.33319935691319,18.75000000000001,12.723440134907237,2.2765598650927603,历史2/4次成功; 当前距低点2.28%; 最新日涨幅-7.90%; 状态bottom_area; 底部未确认
7,60.21786228642051,55.73099836333879,603326,我乐家居,bottom_area,2023-11-24,10.21,2023-11-02,9.88,3.340080971659919,9.00809716599189,30.909090909090907,True,-2.2031,3.7134,1,2,1,50.0,20.141843971631218,20.141843971631218,11.659919028340079,3.340080971659919,历史1/2次成功; 当前距低点3.34%; 最新日涨幅-2.20%; 状态bottom_area; 底部已确认
8,58.456017059379214,51.143222155328125,605086,龙高股份,bottom_area,2023-11-24,27.59,2023-11-24,27.5,0.3272727272727267,4.9090909090909145,30.95656540296259,False,-3.6662,15.8321,1,2,1,50.0,17.79249448123621,17.79249448123621,14.672727272727274,0.3272727272727267,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
9,57.40944742815583,53.299093599704065,002080,中材科技,bottom_area,2023-11-24,17.11,2023-10-26,16.53,3.508771929824551,9.074410163339381,27.244718309859145,True,-1.2695,0.3165,1,3,1,33.33333333333333,28.579356270810223,28.579356270810223,11.491228070175449,3.508771929824551,历史1/3次成功; 当前距低点3.51%; 最新日涨幅-1.27%; 状态bottom_area; 底部已确认
