rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.28786537987322,83.73739963533502,603289,泰瑞机器,bottom_area,2025-03-31,8.75,2025-03-31,8.51,2.8202115158636922,3.5252643948296205,27.512776831345832,False,0.4592,4.6536,3,3,3,100.0,26.061730599485188,40.702947845804985,7.179788484136308,2.8202115158636922,历史3/3次成功; 当前距低点2.82%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
2,87.2224713349651,81.99195036350042,000736,中交地产,bottom_area,2025-03-31,5.22,2025-03-25,5.13,1.7543859649122777,7.992202729044837,29.822161422708614,True,-2.6119,2.6026,3,3,3,100.0,16.892206255378625,19.029126213592225,8.245614035087723,1.7543859649122777,历史3/3次成功; 当前距低点1.75%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
3,85.98048056882374,78.16407324438521,002553,南方精工,bottom_area,2025-03-31,20.38,2025-03-31,20.38,0.0,4.95583905789991,28.94002789400279,False,-9.9823,31.8838,8,8,8,100.0,29.64555507733978,83.5926449787836,10.0,0.0,历史8/8次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
4,85.79366122741071,81.50555467580179,001202,炬申股份,bottom_area,2025-03-31,15.51,2025-03-31,15.16,2.3087071240105517,6.926121372031667,32.109270040304516,False,-1.2102,7.6885,6,6,6,100.0,13.598961927665792,15.531135531135526,7.691292875989449,2.3087071240105517,历史6/6次成功; 当前距低点2.31%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
5,85.36910593446571,80.30211918103008,603028,赛福天,bottom_area,2025-03-31,6.26,2025-03-31,6.15,1.7886178861788524,5.040650406504058,32.713347921225385,False,-3.096,8.4082,3,3,3,100.0,27.635311621063757,43.67816091954023,8.211382113821147,1.7886178861788524,历史3/3次成功; 当前距低点1.79%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
6,84.99152923445305,81.98227666785056,600203,福日电子,bottom_area,2025-03-31,9.29,2025-03-31,9.01,3.1076581576026565,3.329633740288576,32.50936329588015,False,0.0,4.6864,3,3,3,100.0,20.149125092390385,24.045801526717554,6.892341842397344,3.1076581576026565,历史3/3次成功; 当前距低点3.11%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,84.68285282732772,79.0607547143101,600097,开创国际,bottom_area,2025-03-31,9.45,2025-03-31,9.32,1.3948497854077146,3.1115879828326087,27.751937984496124,False,-1.357,3.7235,2,2,2,100.0,22.586087231396153,30.552291421856637,8.605150214592285,1.3948497854077146,历史2/2次成功; 当前距低点1.39%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
8,84.43357957250663,79.6491247985244,002725,跃岭股份,bottom_area,2025-03-31,11.57,2025-03-31,11.35,1.938325991189433,3.87665198237885,29.10680824484698,False,-1.7827,2.7056,3,3,3,100.0,15.744666980840336,18.562874251497018,8.061674008810568,1.938325991189433,历史3/3次成功; 当前距低点1.94%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
9,84.13410164021374,81.47165474125318,300720,海川智能,bottom_area,2025-03-31,20.9,2025-03-28,20.23,3.3119130004943065,3.80622837370242,31.423728813559322,False,2.001,3.2363,4,5,4,80.0,46.57428162569997,75.69193742478939,6.6880869995056935,3.3119130004943065,历史4/5次成功; 当前距低点3.31%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
10,83.80216771750479,77.92191970735655,603163,圣晖集成,bottom_area,2025-03-31,24.82,2025-03-31,24.53,1.1822258459029724,2.5682837342030127,27.05917335712162,False,-1.3514,5.5485,1,1,1,100.0,30.52362707535122,30.52362707535122,8.817774154097028,1.1822258459029724,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
11,81.65529664972306,77.5611592132467,605228,神通科技,bottom_area,2025-03-31,10.23,2025-03-31,10.0,2.3000000000000043,8.800000000000008,27.79783393501805,False,-5.5402,2.6756,3,3,3,100.0,19.167522651864033,20.32967032967033,7.699999999999996,2.3000000000000043,历史3/3次成功; 当前距低点2.30%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
