rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.22329057462822,80.88739758721218,002178,延华智能,bottom_area,2022-09-28,3.94,2022-09-26,3.89,1.2853470437017949,5.398457583547545,28.623853211009177,False,-2.716,1.0022,3,3,3,100.0,14.397789499205718,17.359413202933986,6.714652956298206,1.2853470437017949,历史3/3次成功; 当前距低点1.29%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
2,85.0749788833244,80.90631498727797,603033,三维股份,bottom_area,2022-09-28,16.07,2022-09-26,15.85,1.388012618296534,6.246056782334387,32.83898305084747,False,-1.411,0.2942,3,3,3,100.0,15.757977188140112,24.922480620155024,6.611987381703466,1.388012618296534,历史3/3次成功; 当前距低点1.39%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
3,83.45031068701364,77.5983512334646,300648,星云股份,bottom_area,2022-09-28,36.28,2022-09-28,36.2,0.22099447513811685,5.4696132596685,28.046114092625718,False,-4.1226,2.1139,5,5,5,100.0,17.054938907416574,26.78362573099414,7.7790055248618835,0.22099447513811685,历史5/5次成功; 当前距低点0.22%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
4,83.23425150526822,79.20433494335055,002343,慈文传媒,bottom_area,2022-09-28,5.0,2022-09-27,4.93,1.4198782961460505,4.0567951318458455,29.470672389127333,False,-1.9608,1.9664,1,1,1,100.0,40.33149171270718,40.33149171270718,6.58012170385395,1.4198782961460505,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
5,82.95750367104971,76.81250339912009,300437,清水源,bottom_area,2022-09-28,16.66,2022-09-28,16.66,0.0,4.9219687875150075,32.35891189606171,False,-4.3628,2.4123,6,6,6,100.0,22.379050532903687,30.330330330330323,8.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
6,82.58025754233648,78.46929954830155,002157,正邦科技,bottom_area,2022-09-28,4.52,2022-09-27,4.46,1.345291479820619,5.156950672645749,28.52564102564103,False,-3.6247,1.5642,3,3,3,100.0,12.347118937056795,13.751169317118809,6.654708520179381,1.345291479820619,历史3/3次成功; 当前距低点1.35%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
7,80.18251229481034,74.63330645049145,601919,中远海控,bottom_area,2022-09-28,11.05,2022-09-28,11.02,0.2722323049001918,3.357531760435581,27.212681638044923,False,-2.5573,0.7725,2,2,2,100.0,24.8601941164725,40.45881126173098,7.727767695099809,0.2722323049001918,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
8,79.97320008673384,76.75719504536598,300560,中富通,bottom_area,2022-09-28,12.01,2022-09-26,11.79,1.8659881255301158,4.071246819338426,28.76132930513596,False,-1.9592,1.049,2,2,2,100.0,15.976601997713122,20.94196804037006,6.134011874469884,1.8659881255301158,历史2/2次成功; 当前距低点1.87%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
9,79.54846106927768,73.6559824715534,002600,领益智造,bottom_area,2022-09-28,4.48,2022-09-28,4.48,0.0,3.348214285714274,27.62520193861066,False,-3.6559,0.3731,3,3,3,100.0,22.07517457824405,38.381201044386415,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
10,79.52371657573893,74.13140105078809,002202,金风科技,bottom_area,2022-09-28,11.46,2022-09-28,11.42,0.3502626970227752,4.640980735551658,27.53807106598985,False,-3.7783,0.6938,1,1,1,100.0,55.172413793103445,55.172413793103445,7.649737302977225,0.3502626970227752,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
11,79.5013295083968,73.61234213740444,002245,蔚蓝锂芯,bottom_area,2022-09-28,14.26,2022-09-28,14.26,0.0,5.329593267882187,29.61500493583416,False,-5.3121,2.1945,3,3,3,100.0,21.840549125830286,25.653923541247494,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.31%; 状态bottom_area; 底部未确认
12,79.45733654147925,76.30426763110307,002616,长青集团,bottom_area,2022-09-28,4.84,2022-09-27,4.75,1.8947368421052602,6.947368421052633,28.678678678678683,False,-1.2245,3.5427,1,1,1,100.0,30.560578661844474,30.560578661844474,6.10526315789474,1.8947368421052602,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
13,79.43144871452817,73.70998073116667,688018,乐鑫科技,bottom_area,2022-09-28,78.7,2022-09-28,78.61,0.11448925073146343,3.0403256583131926,32.81196581196581,False,-2.5628,0.6486,1,1,1,100.0,34.629119477604306,34.629119477604306,7.885510749268537,0.11448925073146343,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
14,79.38950397687641,75.27490131997925,603192,汇得科技,bottom_area,2022-09-28,18.88,2022-09-26,18.65,1.2332439678284206,5.093833780160874,29.59607399018498,False,-2.9805,0.5617,1,1,1,100.0,16.917728852838945,16.917728852838945,6.766756032171579,1.2332439678284206,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
15,79.18180505957373,74.10061970815724,300538,同益股份,bottom_area,2022-09-28,10.92,2022-09-26,10.86,0.5524861878453085,3.7753222836095777,29.019607843137262,False,-2.7605,0.6608,2,2,2,100.0,25.431657077658826,30.150753768844226,7.447513812154692,0.5524861878453085,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
16,79.11082542025862,73.25076427801724,601778,晶科科技,bottom_area,2022-09-28,4.49,2022-09-28,4.49,0.0,3.7861915367483276,27.463651050080777,False,-2.603,0.8965,2,2,2,100.0,26.348195043103452,42.344827586206904,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
17,78.9870958895613,74.99360905354143,688171,纬德信息,bottom_area,2022-09-28,19.44,2022-09-26,19.19,1.3027618551328815,4.168837936425207,29.13589364844903,False,-2.3606,1.0027,1,1,1,100.0,16.257559587335468,16.257559587335468,6.697238144867118,1.3027618551328815,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
18,78.81070557413162,75.5545482681247,603356,华菱精工,bottom_area,2022-09-28,12.4,2022-09-26,12.18,1.8062397372742254,5.1724137931034555,27.153110047846884,False,-1.5873,1.3668,1,1,1,100.0,25.445026178010465,25.445026178010465,6.193760262725775,1.8062397372742254,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
19,78.72755553631787,73.13421144602931,601686,友发集团,bottom_area,2022-09-28,5.91,2022-09-28,5.9,0.1694915254237252,2.8813559322033884,30.832356389214528,False,-2.4752,0.6237,2,2,2,100.0,15.541140451588205,22.923076923076927,7.830508474576275,0.1694915254237252,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
