rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.0282780268304,84.7608307312589,688036,传音控股,bottom_area,2025-10-28,75.78,2025-10-23,73.84,2.627302275189596,5.647345612134346,29.609151572926596,False,1.0939,0.7004,4,4,4,100.0,12.5326877348988,19.148936170212753,5.372697724810404,2.627302275189596,历史4/4次成功; 当前距低点2.63%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
2,83.05733785643127,78.71508481923864,002453,华软科技,bottom_area,2025-10-28,6.7,2025-10-23,6.62,1.2084592145015116,6.495468277945616,32.17213114754098,False,-1.6153,5.7484,2,2,2,100.0,18.44285929194665,28.60169491525425,6.791540785498489,1.2084592145015116,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
3,83.0548778877901,81.3424061787635,603305,旭升集团,bottom_area,2025-10-28,14.82,2025-10-23,14.4,2.916666666666666,5.416666666666662,29.064039408867,False,-1.5282,3.8124,6,6,6,100.0,20.174226767545644,32.41061130334487,5.083333333333334,2.916666666666666,历史6/6次成功; 当前距低点2.92%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
4,80.80139589931267,76.37963090720051,300141,和顺电气,bottom_area,2025-10-28,11.29,2025-10-23,11.17,1.0743061772605123,6.266786034019689,27.935483870967744,False,-3.2562,7.5986,1,1,1,100.0,31.123919308357333,31.123919308357333,6.925693822739489,1.0743061772605123,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
5,79.080086637401,78.45516240010149,002269,美邦服饰,confirmed_rebound,2025-10-28,2.31,2025-10-13,2.23,3.587443946188344,8.520179372197308,30.529595015576323,True,-1.2821,3.8513,7,8,7,87.5,40.978680631241446,173.50993377483442,4.412556053811656,3.587443946188344,历史7/8次成功; 当前距低点3.59%; 最新日涨幅-1.28%; 状态confirmed_rebound; 底部已确认
6,77.0162663389715,77.43247856361671,300563,神宇股份,bottom_area,2025-10-28,38.25,2025-10-23,36.68,4.280261723009816,6.27044711014176,28.776699029126213,False,-0.4684,3.903,4,4,4,100.0,15.86814673160799,20.477137176938378,3.7197382769901846,4.280261723009816,历史4/4次成功; 当前距低点4.28%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
7,74.03037784673921,71.91740626445606,300459,汤姆猫,bottom_area,2025-10-28,4.52,2025-10-17,4.41,2.4943310657596243,4.988662131519268,29.326923076923077,False,0.2217,2.0965,4,6,4,66.66666666666666,14.074271116781395,19.047619047619044,5.505668934240377,2.4943310657596243,历史4/6次成功; 当前距低点2.49%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
8,74.00556501086024,73.28542620420477,301498,乖宝宠物,bottom_area,2025-10-28,72.62,2025-10-28,70.17,3.4915205928459496,4.246829129257524,30.901033973412105,False,3.0363,3.612,1,1,1,100.0,11.430608365019017,11.430608365019017,4.50847940715405,3.4915205928459496,历史1/1次成功; 当前距低点3.49%; 最新日涨幅3.04%; 状态bottom_area; 底部未确认
9,70.33485835607712,68.49661065790959,002123,梦网科技,bottom_area,2025-10-28,12.52,2025-10-17,12.2,2.6229508196721336,4.0983606557377055,29.68299711815563,False,-0.6349,1.5292,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,5.377049180327867,2.6229508196721336,历史2/3次成功; 当前距低点2.62%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
10,69.51334639273774,70.82080745341617,301009,可靠股份,confirmed_rebound,2025-10-28,13.52,2025-09-23,12.88,4.968944099378873,9.627329192546572,30.566037735849054,True,-3.2212,4.1343,1,1,1,100.0,53.96648044692738,53.96648044692738,3.0310559006211277,4.968944099378873,历史1/1次成功; 当前距低点4.97%; 最新日涨幅-3.22%; 状态confirmed_rebound; 底部已确认
11,69.15341661935564,67.60448334930007,002617,露笑科技,bottom_area,2025-10-28,8.38,2025-10-23,8.15,2.822085889570557,4.907975460122704,30.341880341880334,False,-0.5931,2.9828,4,6,4,66.66666666666666,17.377271563732705,36.60589060308556,5.177914110429444,2.822085889570557,历史4/6次成功; 当前距低点2.82%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
