rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.56015531467243,84.69879121982929,688322,奥比中光,bottom_area,2023-07-28,33.85,2023-07-28,33.29,1.6821868428957714,2.1327726043857043,27.6304347826087,False,0.3558,1.4361,3,3,3,100.0,17.28052269694434,28.749462827675128,6.317813157104229,1.6821868428957714,历史3/3次成功; 当前距低点1.68%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
2,88.15543981574011,84.75283520132012,002045,国光电器,bottom_area,2023-07-28,13.57,2023-07-28,13.31,1.9534184823441005,2.404207362885051,27.937195452084456,False,-0.2939,2.6743,4,4,4,100.0,26.70230828529398,33.77563329312426,6.046581517655899,1.9534184823441005,历史4/4次成功; 当前距低点1.95%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
3,87.33989264855576,83.8751340637541,002829,星网宇达,bottom_area,2023-07-28,31.18,2023-07-28,30.6,1.8954248366013016,2.7450980392156854,31.6506589233862,False,0.225,1.947,3,3,3,100.0,15.4661435011025,21.628131021194598,6.104575163398699,1.8954248366013016,历史3/3次成功; 当前距低点1.90%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
4,86.35281113488556,83.37115073232539,688027,国盾量子,bottom_area,2023-07-28,139.65,2023-07-28,136.68,2.1729587357330984,2.6338893766461764,27.096223597183695,False,0.1291,0.9297,3,3,3,100.0,16.15858413869275,26.382393397524062,5.827041264266902,2.1729587357330984,历史3/3次成功; 当前距低点2.17%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
5,85.45816694200694,79.81593558743722,603033,三维股份,bottom_area,2023-07-28,15.64,2023-07-28,15.57,0.4495825305073878,1.220295439948616,27.816411682892905,False,0.0,0.1456,3,3,3,100.0,15.757977188140112,24.922480620155024,7.550417469492612,0.4495825305073878,历史3/3次成功; 当前距低点0.45%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,85.07705776063766,82.46425308676206,002403,爱仕达,bottom_area,2023-07-28,8.61,2023-07-28,8.41,2.378121284185485,2.378121284185485,32.61217948717949,False,1.4134,1.859,3,3,3,100.0,13.797686100564366,21.63892445582587,5.621878715814516,2.378121284185485,历史3/3次成功; 当前距低点2.38%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
7,84.09009847395262,79.46606725809546,000037,深南电A,bottom_area,2023-07-28,10.49,2023-07-28,10.38,1.05973025048169,1.6377649325626198,29.769959404600804,False,-0.7569,4.9876,5,6,5,83.33333333333334,23.435047827206347,45.16765285996055,6.94026974951831,1.05973025048169,历史5/6次成功; 当前距低点1.06%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
8,82.14644778623436,78.99598477331634,300515,三德科技,bottom_area,2023-07-28,13.48,2023-07-28,13.22,1.9667170953101345,2.7231467473524917,27.162534435261698,False,0.6721,1.7683,1,1,1,100.0,23.441396508728182,23.441396508728182,6.033282904689866,1.9667170953101345,历史1/1次成功; 当前距低点1.97%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
9,82.1421962162754,81.23161036638933,300342,天银机电,bottom_area,2023-07-28,11.49,2023-07-28,11.11,3.4203420342034274,3.600360036003604,28.368794326241137,False,1.0554,5.7466,3,3,3,100.0,19.9461838944793,26.68539325842696,4.579657965796573,3.4203420342034274,历史3/3次成功; 当前距低点3.42%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
10,81.70298020777842,77.4073834362359,301386,未来电器,bottom_area,2023-07-28,27.16,2023-07-28,26.84,1.1922503725782425,2.2727272727272707,28.13922356091031,False,-0.8035,11.0888,1,1,1,100.0,27.880184331797242,27.880184331797242,6.807749627421758,1.1922503725782425,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
11,81.62040245610847,77.21825880708062,688143,长盈通,bottom_area,2023-07-28,30.76,2023-07-28,30.42,1.1176857330703478,3.6489151873767236,27.20746590093323,False,-0.2594,1.7011,1,1,1,100.0,25.949367088607595,25.949367088607595,6.882314266929653,1.1176857330703478,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
