rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.17073807437221,78.79170274310772,300382,斯莱克,bottom_area,2023-03-23,15.41,2023-03-23,15.37,0.2602472348731355,3.188028627195837,30.199818346957315,False,-2.7146,1.6187,3,3,3,100.0,30.403583003325068,49.70059880239522,14.739752765126864,0.2602472348731355,历史3/3次成功; 当前距低点0.26%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
2,85.35742599740114,75.64790530948176,688348,昱能科技,bottom_area,2023-03-23,341.64,2023-03-23,338.2,1.0171496156120632,4.606741573033704,27.929079827814007,False,-2.9432,6.9612,1,1,1,100.0,16.27422813482398,16.27422813482398,13.982850384387934,1.0171496156120632,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
3,80.49609794518894,74.56268933348754,002347,泰尔股份,bottom_area,2023-03-23,5.19,2023-03-20,5.02,3.386454183266949,4.581673306772918,29.09604519774012,False,-0.3839,1.8876,2,2,2,100.0,22.816155222237516,29.585798816568047,11.613545816733051,3.386454183266949,历史2/2次成功; 当前距低点3.39%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
4,78.89323481096842,72.06053412942343,605128,上海沿浦,bottom_area,2023-03-23,41.69,2023-03-20,40.62,2.6341703594288535,6.893156080748411,31.731092436974794,False,-1.7903,1.6829,1,1,1,100.0,16.80883090817863,16.80883090817863,12.365829640571146,2.6341703594288535,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
5,78.42546924948996,69.06144137415984,002645,华宏科技,bottom_area,2023-03-23,14.92,2023-03-20,14.82,0.6747638326585671,4.588394062078271,29.22636103151863,False,-2.6745,2.2234,1,1,1,100.0,16.50485436893203,16.50485436893203,14.325236167341432,0.6747638326585671,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
6,77.41555672907488,72.58809597719356,002660,茂硕电源,bottom_area,2023-03-23,9.27,2023-03-20,8.91,4.040404040404034,4.938271604938266,28.31858407079646,False,-0.7495,2.3352,2,2,2,100.0,20.21622144792876,24.71428571428572,10.959595959595966,4.040404040404034,历史2/2次成功; 当前距低点4.04%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
7,76.36088305961454,72.84006720187084,600152,维科技术,bottom_area,2023-03-23,11.42,2023-03-20,10.88,4.963235294117639,7.536764705882339,28.842380640941784,True,-0.6092,4.7615,2,2,2,100.0,23.6894821099949,24.87644151565074,10.036764705882362,4.963235294117639,历史2/2次成功; 当前距低点4.96%; 最新日涨幅-0.61%; 状态bottom_area; 底部已确认
8,76.35559889955164,71.86791889608564,002708,光洋股份,bottom_area,2023-03-23,6.63,2023-03-20,6.36,4.245283018867918,5.18867924528302,31.759656652360512,False,-0.3008,1.9189,1,1,1,100.0,35.522388059701484,35.522388059701484,10.75471698113208,4.245283018867918,历史1/1次成功; 当前距低点4.25%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
9,75.94227996524484,66.11055503444993,605117,德业股份,bottom_area,2023-03-23,251.25,2023-03-23,251.1,0.05973715651135232,3.4647550776583103,27.143478891629186,False,-3.3654,3.5203,3,5,3,60.0,39.98255780266574,59.18895599654874,14.940262843488647,0.05973715651135232,历史3/5次成功; 当前距低点0.06%; 最新日涨幅-3.37%; 状态bottom_area; 底部未确认
10,72.8319702110903,69.4141746011414,300473,德尔股份,bottom_area,2023-03-23,17.71,2023-03-20,16.88,4.917061611374419,7.642180094786746,31.935483870967747,True,-1.7203,2.5066,1,1,1,100.0,21.37137137137137,21.37137137137137,10.082938388625582,4.917061611374419,历史1/1次成功; 当前距低点4.92%; 最新日涨幅-1.72%; 状态bottom_area; 底部已确认
11,68.2891698994241,64.52669427028194,688221,前沿生物,bottom_area,2023-03-23,13.6,2023-03-20,13.02,4.454685099846391,8.525345622119824,30.00000000000001,True,-1.2346,1.3045,3,5,3,60.0,26.09342095662206,34.87394957983194,10.545314900153608,4.454685099846391,历史3/5次成功; 当前距低点4.45%; 最新日涨幅-1.23%; 状态bottom_area; 底部已确认
12,61.68515206945634,57.66380045696877,000887,中鼎股份,bottom_area,2023-03-23,12.59,2023-03-20,12.12,3.8778877887788834,6.600660066006607,28.45336481700119,False,0.0,0.9306,1,2,1,50.0,23.84615384615385,23.84615384615385,11.122112211221117,3.8778877887788834,历史1/2次成功; 当前距低点3.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,53.916010669068974,50.485064175880034,002824,和胜股份,bottom_area,2023-03-23,31.71,2023-03-21,30.5,3.9672131147541014,7.409836065573764,28.904428904428904,True,-1.5829,2.3469,1,3,1,33.33333333333333,19.06976744186047,19.06976744186047,11.0327868852459,3.9672131147541014,历史1/3次成功; 当前距低点3.97%; 最新日涨幅-1.58%; 状态bottom_area; 底部已确认
