rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.57529358392169,77.49506284241056,002795,永和智控,bottom_area,2022-12-26,8.8,2022-12-23,8.56,2.803738317757012,2.9205607476635516,30.40650406504065,False,1.9699,2.6431,1,1,1,100.0,25.632183908045985,25.632183908045985,12.196261682242987,2.803738317757012,历史1/1次成功; 当前距低点2.80%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
2,83.01413237626448,74.54158844966203,002423,中粮资本,bottom_area,2022-12-26,7.1,2022-12-23,6.98,1.7191977077363783,2.8653295128939726,28.41025641025641,False,-0.5602,0.8367,1,1,1,100.0,18.932038834951456,18.932038834951456,13.28080229226362,1.7191977077363783,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
3,81.98731344279216,77.77785007072136,002388,新亚制程,bottom_area,2022-12-26,7.4,2022-12-23,7.07,4.6676096181046685,6.364922206506354,32.666666666666664,False,3.2078,3.4699,1,1,1,100.0,50.505050505050505,50.505050505050505,10.332390381895332,4.6676096181046685,历史1/1次成功; 当前距低点4.67%; 最新日涨幅3.21%; 状态bottom_area; 底部未确认
4,81.8816827884548,76.8766159290274,688167,炬光科技,bottom_area,2022-12-26,96.49,2022-12-26,92.68,4.110919292188161,7.682347863616734,27.423649177760375,False,2.6489,3.6676,2,2,2,100.0,21.66404255492686,23.41569581359622,10.889080707811837,4.110919292188161,历史2/2次成功; 当前距低点4.11%; 最新日涨幅2.65%; 状态bottom_area; 底部未确认
5,81.01690912407639,76.4010144981467,002534,西子洁能,bottom_area,2022-12-26,14.4,2022-12-23,13.8,4.347826086956519,4.347826086956519,29.375639713408386,False,3.4483,0.7011,2,2,2,100.0,22.01106438928788,26.532951289398277,10.65217391304348,4.347826086956519,历史2/2次成功; 当前距低点4.35%; 最新日涨幅3.45%; 状态bottom_area; 底部未确认
6,80.58735466760895,75.89927152287524,300542,新晨科技,bottom_area,2022-12-26,11.94,2022-12-23,11.45,4.279475982532753,4.716157205240183,27.89672544080605,False,1.7036,1.6304,2,2,2,100.0,18.47568152177371,21.587301587301592,10.720524017467248,4.279475982532753,历史2/2次成功; 当前距低点4.28%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
7,78.76794840811206,74.93678684951412,002395,双象股份,bottom_area,2022-12-26,10.22,2022-12-20,9.75,4.8205128205128265,5.230769230769228,28.62371888726208,False,1.996,1.0404,1,1,1,100.0,36.59976387249114,36.59976387249114,10.179487179487174,4.8205128205128265,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
8,78.55336519075439,69.42902046430363,000919,金陵药业,bottom_area,2022-12-26,8.1,2022-12-26,8.03,0.8717310087173138,2.9887920298879234,27.982062780269068,False,-0.978,2.6417,1,1,1,100.0,20.8955223880597,20.8955223880597,14.128268991282686,0.8717310087173138,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
9,77.99501626984551,73.80827773868168,603289,泰瑞机器,bottom_area,2022-12-26,9.22,2022-12-23,8.82,4.535147392290254,4.535147392290254,29.888712241653415,False,3.3632,1.5563,1,1,1,100.0,27.034482758620705,27.034482758620705,10.464852607709746,4.535147392290254,历史1/1次成功; 当前距低点4.54%; 最新日涨幅3.36%; 状态bottom_area; 底部未确认
10,65.1126534916259,60.92989831032267,002316,亚联发展,bottom_area,2022-12-26,3.7,2022-12-23,3.56,3.9325842696629247,7.865168539325837,27.64227642276423,True,-1.0695,3.0192,2,4,2,50.0,22.022529275022272,24.890829694323134,11.067415730337075,3.9325842696629247,历史2/4次成功; 当前距低点3.93%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
11,62.499823378863816,57.76894769520786,688115,思林杰,bottom_area,2022-12-26,39.46,2022-12-23,38.21,3.27139492279508,4.108872023030621,31.375718390804597,False,2.175,1.147,1,2,1,50.0,16.977032898820603,16.977032898820603,11.72860507720492,3.27139492279508,历史1/2次成功; 当前距低点3.27%; 最新日涨幅2.17%; 状态bottom_area; 底部未确认
12,59.384651198743214,55.72432771179214,002786,银宝山新,bottom_area,2022-12-26,7.14,2022-12-22,6.86,4.081632653061215,5.685131195335272,31.05527638190954,False,0.8475,3.5288,1,2,1,50.0,15.916398713826371,15.916398713826371,10.918367346938783,4.081632653061215,历史1/2次成功; 当前距低点4.08%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
13,55.03872659329698,48.55268137186467,002116,中国海诚,bottom_area,2022-12-26,10.48,2022-12-26,10.4,0.7692307692307698,2.2115384615384657,27.627000695894218,False,-1.2253,1.6589,1,3,1,33.33333333333333,18.51179673321235,18.51179673321235,14.23076923076923,0.7692307692307698,历史1/3次成功; 当前距低点0.77%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
14,49.532253860474846,45.86260347400071,688298,东方生物,bottom_area,2022-12-26,85.71,2022-12-23,82.92,3.3646888567293676,7.16353111432706,30.307614725163894,False,-1.8887,2.891,1,6,1,16.666666666666664,15.470039788586028,15.470039788586028,11.635311143270632,3.3646888567293676,历史1/6次成功; 当前距低点3.36%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
