rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.29594396656938,84.95004912084399,603356,华菱精工,bottom_area,2023-03-31,12.26,2023-03-31,12.09,1.4061207609594701,2.0678246484698097,28.672566371681413,False,0.4095,2.8304,2,2,2,100.0,31.91400245070737,38.38297872340427,6.59387923904053,1.4061207609594701,历史2/2次成功; 当前距低点1.41%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
2,86.75422301795413,82.83033873587802,002347,泰尔股份,bottom_area,2023-03-31,5.1,2023-03-20,5.02,1.5936254980079698,6.175298804780887,29.09604519774012,False,0.5917,1.3135,2,2,2,100.0,22.816155222237516,29.585798816568047,6.406374501992031,1.5936254980079698,历史2/2次成功; 当前距低点1.59%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
3,86.26657590134876,82.00496991749613,603051,鹿山新材,bottom_area,2023-03-31,48.23,2023-03-31,47.58,1.366120218579232,2.71122320302648,28.985074626865675,False,0.4373,6.0107,2,2,2,100.0,15.58991406374611,18.738110336081178,6.6338797814207675,1.366120218579232,历史2/2次成功; 当前距低点1.37%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
4,86.06881106216103,82.14225851872715,002708,光洋股份,bottom_area,2023-03-31,6.46,2023-03-20,6.36,1.5723270440251518,6.132075471698108,31.759656652360512,False,0.78,1.4184,1,1,1,100.0,35.522388059701484,35.522388059701484,6.427672955974849,1.5723270440251518,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
5,82.52477605804313,79.51606026426035,002374,中锐股份,bottom_area,2023-03-31,4.44,2023-03-30,4.35,2.0689655172413968,2.7586206896551753,29.611650485436897,False,1.8349,1.5736,2,2,2,100.0,10.82420238478892,12.068965517241388,5.931034482758603,2.0689655172413968,历史2/2次成功; 当前距低点2.07%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
6,81.04271449827624,78.04360265536569,603315,福鞍股份,bottom_area,2023-03-31,14.51,2023-03-31,14.22,2.039381153305198,2.67229254571026,28.398791540785496,False,-0.0689,0.8895,1,1,1,100.0,41.68490153172865,41.68490153172865,5.9606188466948025,2.039381153305198,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
7,80.99341879647922,80.01344951254706,002660,茂硕电源,bottom_area,2023-03-31,9.21,2023-03-20,8.91,3.367003367003375,7.519640852974185,28.31858407079646,True,1.3201,1.7842,2,2,2,100.0,20.21622144792876,24.71428571428572,4.632996632996625,3.367003367003375,历史2/2次成功; 当前距低点3.37%; 最新日涨幅1.32%; 状态bottom_area; 底部已确认
8,80.4110635281901,75.42193086670585,300699,光威复材,bottom_area,2023-03-31,51.06,2023-03-30,50.72,0.6703470031545808,2.917981072555213,30.767130767130773,False,-1.1614,2.2464,2,2,2,100.0,33.98022598870056,49.6271186440678,7.329652996845419,0.6703470031545808,历史2/2次成功; 当前距低点0.67%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
9,78.22886020808997,76.10270130627927,001299,美能能源,bottom_area,2023-03-31,16.78,2023-03-31,16.36,2.5672371638141915,3.3007334963325135,27.610619469026553,False,1.1453,2.9194,1,1,1,100.0,15.247322794492616,15.247322794492616,5.432762836185809,2.5672371638141915,历史1/1次成功; 当前距低点2.57%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
10,78.12845277415256,75.71157712481539,300767,震安科技,bottom_area,2023-03-31,41.1,2023-03-28,40.15,2.3661270236612775,4.109589041095886,28.9128895184136,False,0.612,0.5867,1,1,1,100.0,10.679283541737075,10.679283541737075,5.633872976338723,2.3661270236612775,历史1/1次成功; 当前距低点2.37%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
11,75.4097010231343,70.6498568963742,002192,融捷股份,bottom_area,2023-03-31,75.77,2023-03-31,75.31,0.61080865754879,3.9436993759128915,28.4669452887538,False,-3.1941,4.5329,2,2,2,100.0,17.809143202072256,25.707231766279197,7.38919134245121,0.61080865754879,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-3.19%; 状态bottom_area; 底部未确认
12,73.97663670129117,75.38256945968422,300393,中来股份,bottom_area,2023-03-31,14.97,2023-03-20,14.26,4.978962131837314,7.8541374474053365,27.61421319796954,True,-0.6636,2.3393,3,3,3,100.0,20.884963012222048,23.89610389610389,3.0210378681626864,4.978962131837314,历史3/3次成功; 当前距低点4.98%; 最新日涨幅-0.66%; 状态bottom_area; 底部已确认
13,73.66099388567416,70.85975107883246,688357,建龙微纳,bottom_area,2023-03-31,94.06,2023-03-30,92.23,1.9841700097582113,4.065922151143879,27.108195684817826,False,0.9336,1.2152,2,3,2,66.66666666666666,18.801032443088825,26.291618828932272,6.015829990241789,1.9841700097582113,历史2/3次成功; 当前距低点1.98%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
14,73.27548870758766,74.05815496522756,600418,江淮汽车,confirmed_rebound,2023-03-31,13.55,2023-03-20,12.96,4.552469135802468,10.339506172839505,27.55729457797652,True,-1.4545,3.5541,3,3,3,100.0,18.751530079877334,24.365079365079367,3.4475308641975317,4.552469135802468,历史3/3次成功; 当前距低点4.55%; 最新日涨幅-1.45%; 状态confirmed_rebound; 底部已确认
