rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.47358554635173,86.24337288749604,002219,新里程,bottom_area,2024-06-25,1.88,2024-06-24,1.86,1.0752688172042901,5.376344086021498,28.735632183908038,False,0.0,0.6083,2,2,2,100.0,34.81175156302061,45.685279187817265,18.92473118279571,1.0752688172042901,历史2/2次成功; 当前距低点1.08%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,100.26311743667893,85.13812732307602,301332,德尔玛,bottom_area,2024-06-25,8.86,2024-06-24,8.77,1.0262257696693258,4.332953249714946,30.507131537242472,False,0.6818,1.019,1,1,1,100.0,44.935064935064936,44.935064935064936,18.973774230330676,1.0262257696693258,历史1/1次成功; 当前距低点1.03%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
3,97.22983311938384,83.97121951219513,002687,乔治白,bottom_area,2024-06-25,4.18,2024-06-24,4.1,1.9512195121951237,2.926829268292686,29.914529914529915,False,1.2107,1.25,1,1,1,100.0,64.00000000000001,64.00000000000001,18.048780487804876,1.9512195121951237,历史1/1次成功; 当前距低点1.95%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
4,94.07149993827825,80.80163751681721,600231,凌钢股份,bottom_area,2024-06-25,1.23,2024-06-25,1.21,1.6528925619834725,3.305785123966945,31.25,False,0.0,0.37,1,1,1,100.0,29.302325581395344,29.302325581395344,18.34710743801653,1.6528925619834725,历史1/1次成功; 当前距低点1.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,93.91140102364474,80.5884375,002315,焦点科技,bottom_area,2024-06-25,26.01,2024-06-25,25.6,1.6015625000000004,5.156250000000001,27.60180995475113,False,-2.4381,2.7847,1,1,1,100.0,57.129586623316285,57.129586623316285,18.3984375,1.6015625000000004,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
6,93.0531054561072,80.70736999798336,002483,润邦股份,bottom_area,2024-06-25,4.21,2024-06-24,4.12,2.1844660194174725,3.6407766990291135,29.452054794520542,False,1.6908,1.2421,1,1,1,100.0,35.31157270029672,35.31157270029672,17.81553398058253,2.1844660194174725,历史1/1次成功; 当前距低点2.18%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
7,92.51406584021301,80.90064449064447,001218,丽臣实业,bottom_area,2024-06-25,14.81,2024-06-24,14.43,2.633402633402639,5.959805959805956,27.121212121212125,False,1.3689,1.1254,2,2,2,100.0,25.18711018711019,29.999999999999993,17.36659736659736,2.633402633402639,历史2/2次成功; 当前距低点2.63%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
8,91.22022880043478,78.79338618003993,603180,金牌家居,bottom_area,2024-06-25,19.25,2024-06-24,18.88,1.95974576271187,4.661016949152557,28.403488813045136,False,1.6904,0.4537,3,4,3,75.0,26.433368381844026,31.366822429906527,18.04025423728813,1.95974576271187,历史3/4次成功; 当前距低点1.96%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
9,91.14068257056057,78.31974097324101,001212,中旗新材,bottom_area,2024-06-25,20.0,2024-06-25,19.67,1.6776817488561173,3.8129130655821046,31.103327495621713,False,-0.448,1.9008,3,4,3,75.0,42.90244817544601,82.06521739130437,18.322318251143884,1.6776817488561173,历史3/4次成功; 当前距低点1.68%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
10,91.07270986235655,78.87437078439966,300755,华致酒行,bottom_area,2024-06-25,14.07,2024-06-24,13.78,2.104499274310602,4.354136429608138,27.05134992059291,False,1.005,0.4126,1,1,1,100.0,24.47650069799908,24.47650069799908,17.895500725689402,2.104499274310602,历史1/1次成功; 当前距低点2.10%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
11,91.04559214498732,80.298831268457,600162,香江控股,bottom_area,2024-06-25,1.33,2024-06-24,1.29,3.1007751937984525,4.651162790697678,32.81249999999999,False,3.1008,0.5685,2,2,2,100.0,27.68063822751323,28.90624999999999,16.89922480620155,3.1007751937984525,历史2/2次成功; 当前距低点3.10%; 最新日涨幅3.10%; 状态bottom_area; 底部未确认
