rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.70250912597758,79.31077701078291,688037,芯源微,bottom_area,2022-04-08,137.79,2022-04-08,133.47,3.2366824005394417,5.649209560200788,27.854054054054057,False,0.1381,2.7111,2,2,2,100.0,24.034477871036746,27.322614278658854,16.76331759946056,3.2366824005394417,历史2/2次成功; 当前距低点3.24%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
2,88.60157494196584,75.72197600255794,002474,榕基软件,bottom_area,2022-04-08,6.62,2022-04-08,6.53,1.3782542113323102,3.828483920367534,27.685492801771865,False,-1.194,2.2455,1,1,1,100.0,21.0989010989011,21.0989010989011,18.621745788667692,1.3782542113323102,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
3,83.0251762178583,69.81897336445778,603215,比依股份,bottom_area,2022-04-08,16.22,2022-04-08,16.14,0.49566294919453713,5.328376703841385,28.425720620842572,False,-3.9668,12.7797,1,1,1,100.0,28.59723058398555,28.59723058398555,19.504337050805464,0.49566294919453713,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
4,82.35415856250253,74.11066084574563,688117,圣诺生物,bottom_area,2022-04-08,36.68,2022-04-08,35.2,4.204545454545445,5.397727272727268,28.860145513338715,False,2.6014,9.8052,1,1,1,100.0,24.6076585059636,24.6076585059636,15.795454545454557,4.204545454545445,历史1/1次成功; 当前距低点4.20%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
5,81.80300847653366,71.96700614423992,300471,厚普股份,bottom_area,2022-04-08,18.76,2022-04-08,18.22,2.963776070252485,5.92755214050495,27.09083633453381,False,-1.367,2.8703,1,1,1,100.0,20.346320346320343,20.346320346320343,17.036223929747514,2.963776070252485,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
6,66.70942456651348,58.06690802348338,002309,中利集团,bottom_area,2022-04-08,5.59,2022-04-08,5.46,2.380952380952379,3.663003663003666,32.59259259259259,False,-1.0619,3.5471,1,2,1,50.0,30.136986301369873,30.136986301369873,17.619047619047624,2.380952380952379,历史1/2次成功; 当前距低点2.38%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
7,65.51011812262558,56.906635907398396,603351,威尔药业,bottom_area,2022-04-08,26.14,2022-04-08,25.56,2.2691705790297414,5.00782472613459,27.40698665151946,False,-1.3957,1.1617,1,2,1,50.0,22.528735632183903,22.528735632183903,17.73082942097026,2.2691705790297414,历史1/2次成功; 当前距低点2.27%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
