rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.82779982521615,85.51178113910044,300604,长川科技,bottom_area,2023-08-18,35.35,2023-08-17,34.91,1.2603838441707387,4.726439415640234,29.716126434467494,False,-1.9417,1.976,4,4,4,100.0,22.28739948284786,36.28082648300379,8.739616155829262,1.2603838441707387,历史4/4次成功; 当前距低点1.26%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
2,90.16453107540622,83.89299798981298,688248,南网科技,bottom_area,2023-08-18,30.78,2023-08-17,30.41,1.216705031239727,4.406445248273593,29.246161005118655,False,-2.0057,1.858,3,3,3,100.0,29.715513231395445,49.406593406593416,8.783294968760273,1.216705031239727,历史3/3次成功; 当前距低点1.22%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
3,86.23814612755211,80.03540243856347,688300,联瑞新材,bottom_area,2023-08-18,42.0,2023-08-14,41.55,1.0830324909747362,3.9470517448856817,28.974358974358978,False,-0.3559,0.4407,2,2,2,100.0,24.003852247235756,26.809910956252438,8.916967509025264,1.0830324909747362,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
4,86.0794821831491,78.50947199404466,603348,文灿股份,bottom_area,2023-08-18,41.08,2023-08-18,41.01,0.17069007559131988,5.2913923433309,30.112474437627817,False,-4.9074,1.8451,4,4,4,100.0,21.33680304512298,31.539888682745836,9.82930992440868,0.17069007559131988,历史4/4次成功; 当前距低点0.17%; 最新日涨幅-4.91%; 状态bottom_area; 底部未确认
5,84.47522934975348,78.82934390771447,600935,华塑股份,bottom_area,2023-08-18,3.7,2023-06-27,3.65,1.3698630136986376,7.671232876712336,28.571428571428577,True,-0.5376,0.3201,1,1,1,100.0,28.50877192982458,28.50877192982458,8.630136986301363,1.3698630136986376,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-0.54%; 状态bottom_area; 底部已确认
6,83.02165371400707,76.00030567685592,002150,正泰电源,bottom_area,2023-08-18,13.79,2023-08-18,13.74,0.3639010189228452,3.7845705967976677,28.4375,False,-2.6817,1.5474,1,1,1,100.0,164.87025948103792,164.87025948103792,9.636098981077156,0.3639010189228452,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
7,82.85694383451218,76.90749602853145,002219,新里程,bottom_area,2023-08-18,3.71,2023-08-07,3.67,1.0899182561307912,6.267029972752043,29.42307692307693,False,-2.3684,0.424,1,1,1,100.0,23.938223938223942,23.938223938223942,8.91008174386921,1.0899182561307912,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
8,82.74860343544438,75.62836659868057,600072,中船科技,bottom_area,2023-08-18,21.53,2023-08-17,21.47,0.27945971122497565,3.9124359571495106,30.065146579804562,False,-2.843,2.5708,3,3,3,100.0,13.631907205771569,14.0952380952381,9.720540288775025,0.27945971122497565,历史3/3次成功; 当前距低点0.28%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
9,82.34823142854827,77.12133769715538,002755,奥赛康,bottom_area,2023-08-18,7.82,2023-08-08,7.7,1.5584415584415598,6.363636363636354,31.00358422939068,False,-2.7363,0.3094,1,1,1,100.0,30.831099195710454,30.831099195710454,8.44155844155844,1.5584415584415598,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
10,82.1407815647432,79.55101848133619,002045,国光电器,confirmed_rebound,2023-08-18,13.7,2023-08-14,13.26,3.318250377073903,10.030165912518854,28.20790471034109,True,-4.3296,5.2077,4,4,4,100.0,26.70230828529398,33.77563329312426,6.681749622926097,3.318250377073903,历史4/4次成功; 当前距低点3.32%; 最新日涨幅-4.33%; 状态confirmed_rebound; 底部已确认
11,82.12456643967764,76.27668709567584,002519,银河电子,bottom_area,2023-08-18,5.4,2023-08-17,5.34,1.123595505617987,4.494382022471914,28.03234501347709,False,-2.3508,1.195,1,1,1,100.0,20.959595959595962,20.959595959595962,8.876404494382014,1.123595505617987,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
12,81.34496009790773,79.05702309818294,688328,深科达,bottom_area,2023-08-18,22.46,2023-08-17,21.7,3.5023041474654453,5.898617511520743,31.04544010168414,False,0.0445,3.8197,2,2,2,100.0,25.92621803443088,29.170984455958543,6.497695852534554,3.5023041474654453,历史2/2次成功; 当前距低点3.50%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
13,80.99028986842019,77.20044961461198,300539,横河精密,bottom_area,2023-08-18,11.55,2023-08-17,11.27,2.484472049689451,4.8802129547471225,27.524115755627015,False,-1.1976,1.1471,2,2,2,100.0,25.941106924214775,39.25845147219192,7.515527950310549,2.484472049689451,历史2/2次成功; 当前距低点2.48%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
14,80.64578542503226,73.31435038639296,002240,盛新锂能,bottom_area,2023-08-18,24.88,2023-08-18,24.88,0.0,3.657556270096464,29.518413597733705,False,-3.3035,0.993,3,3,3,100.0,20.23844293759655,33.42198581560282,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
15,80.32552979121489,76.1268880545041,300455,航天智装,bottom_area,2023-08-18,10.77,2023-08-17,10.54,2.182163187855792,6.451612903225821,32.43589743589744,False,-2.0018,1.4677,2,2,2,100.0,16.463549047394118,18.904109589041095,7.8178368121442094,2.182163187855792,历史2/2次成功; 当前距低点2.18%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
16,80.20680530174066,75.14729653830956,002819,东方中科,bottom_area,2023-08-18,25.71,2023-08-17,25.31,1.5804030027657137,5.175819834057694,27.68571428571429,False,-2.6874,0.6164,1,1,1,100.0,20.487179487179493,20.487179487179493,8.419596997234287,1.5804030027657137,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
17,79.62533819353717,76.98755697472063,300614,百川畅银,bottom_area,2023-08-18,23.32,2023-08-17,22.59,3.231518370960604,5.444887118193893,27.596153846153843,False,0.0429,1.6273,2,2,2,100.0,11.480746561886047,11.8614931237721,6.768481629039397,3.231518370960604,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
18,79.5576740170744,74.08224425066116,603061,金海通,bottom_area,2023-08-18,90.15,2023-08-17,89.03,1.2580029203639274,4.110973829046385,28.31145824945648,False,-1.6367,4.1687,1,1,1,100.0,10.80909090909091,10.80909090909091,8.741997079636073,1.2580029203639274,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
19,78.86299487263331,77.92237291011037,688355,明志科技,bottom_area,2023-08-18,22.45,2023-08-17,21.51,4.370060437006033,6.741050674105063,29.359605911330043,False,-1.1013,2.2156,4,4,4,100.0,19.602745733785582,35.08474576271185,5.629939562993968,4.370060437006033,历史4/4次成功; 当前距低点4.37%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
20,78.19980046148316,71.12519075192031,300438,鹏辉能源,bottom_area,2023-08-18,39.4,2023-08-18,39.39,0.025387154100020338,3.9096217314039077,27.391705069124423,False,-2.4511,1.9901,1,1,1,100.0,19.640179910044974,19.640179910044974,9.97461284589998,0.025387154100020338,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
21,77.91159753229259,77.26142461020427,688262,国芯科技,bottom_area,2023-08-18,32.56,2023-08-17,31.14,4.560051380860635,7.4823378291586335,32.74298056155507,True,0.6803,1.8698,2,2,2,100.0,20.044848164336123,27.063197026022312,5.439948619139366,4.560051380860635,历史2/2次成功; 当前距低点4.56%; 最新日涨幅0.68%; 状态bottom_area; 底部已确认
22,77.86456221850099,74.62525111532075,603051,鹿山新材,bottom_area,2023-08-18,34.51,2023-08-17,33.58,2.7695056581298383,5.002977963073257,32.46178600160901,False,-1.6809,2.463,2,2,2,100.0,15.58991406374611,18.738110336081178,7.230494341870163,2.7695056581298383,历史2/2次成功; 当前距低点2.77%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
23,77.56959433071093,76.09132797122132,300473,德尔股份,bottom_area,2023-08-18,16.42,2023-08-17,15.79,3.989867004433202,5.763141228625714,29.665924276169264,False,0.2442,1.7526,2,2,2,100.0,15.958197534026922,21.37137137137137,6.010132995566798,3.989867004433202,历史2/2次成功; 当前距低点3.99%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
