rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.42164493617805,81.41464870470894,000803,山高环能,bottom_area,2025-12-05,6.66,2025-12-05,6.5,2.4615384615384635,2.7692307692307647,32.22106360792492,False,1.2158,2.0354,2,2,2,100.0,25.843851596863644,36.1111111111111,12.538461538461537,2.4615384615384635,历史2/2次成功; 当前距低点2.46%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
2,85.49221642448848,78.31542801566928,300358,楚天科技,bottom_area,2025-12-05,9.21,2025-12-05,8.96,2.790178571428571,3.013392857142852,27.74193548387096,False,1.6556,2.2225,3,4,3,75.0,34.04319977702382,38.205499276411004,12.209821428571429,2.790178571428571,历史3/4次成功; 当前距低点2.79%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
3,85.08247647393014,77.44588067073967,002506,协鑫集成,bottom_area,2025-12-05,2.51,2025-12-05,2.45,2.4489795918367188,2.4489795918367188,27.299703264094955,False,2.0325,1.8762,1,1,1,100.0,21.019108280254766,21.019108280254766,12.55102040816328,2.4489795918367188,历史1/1次成功; 当前距低点2.45%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
4,84.8442519550198,77.21807321801339,688190,云路股份,bottom_area,2025-12-05,96.09,2025-12-05,93.8,2.4413646055437166,2.633262260127931,27.73497688751927,False,1.3608,0.4553,1,1,1,100.0,19.70099203576919,19.70099203576919,12.558635394456283,2.4413646055437166,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
5,84.84322899335803,77.79364314109584,300035,中科电气,bottom_area,2025-12-05,21.0,2025-12-05,20.42,2.8403525954946045,3.2321253672869568,29.097222222222218,False,1.4003,3.4531,1,1,1,100.0,27.686274509803933,27.686274509803933,12.159647404505394,2.8403525954946045,历史1/1次成功; 当前距低点2.84%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
6,84.42168559964848,76.98659178254867,603178,圣龙股份,bottom_area,2025-12-05,18.11,2025-12-05,17.66,2.548131370328422,2.6047565118912845,28.182187881252542,False,1.2297,0.9634,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,12.451868629671578,2.548131370328422,历史5/7次成功; 当前距低点2.55%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
7,83.74183011102689,77.27396518375245,002418,康盛股份,bottom_area,2025-12-05,4.54,2025-12-05,4.4,3.1818181818181746,3.8636363636363615,27.031509121061358,False,2.2523,3.573,1,1,1,100.0,29.078014184397176,29.078014184397176,11.818181818181825,3.1818181818181746,历史1/1次成功; 当前距低点3.18%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
8,83.49993841624112,77.58830340205175,603173,福斯达,bottom_area,2025-12-05,38.16,2025-11-24,36.85,3.5549525101763777,5.427408412483039,32.86573146292585,False,0.9791,2.0184,1,1,1,100.0,35.34190927555856,35.34190927555856,11.445047489823622,3.5549525101763777,历史1/1次成功; 当前距低点3.55%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
9,83.25349524261667,74.42563685636857,002321,华英农业,bottom_area,2025-12-05,2.74,2025-12-02,2.7,1.4814814814814827,6.296296296296293,30.051813471502587,False,-3.1802,3.8238,1,1,1,100.0,25.609756097560986,25.609756097560986,13.518518518518515,1.4814814814814827,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
10,83.14029135532793,76.73184744273098,002104,恒宝股份,bottom_area,2025-12-05,18.11,2025-12-04,17.55,3.1908831908831834,3.874643874643873,27.027027027027028,False,1.343,4.5656,3,4,3,75.0,30.441188806154024,43.85245901639344,11.809116809116816,3.1908831908831834,历史3/4次成功; 当前距低点3.19%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
11,83.13850041450837,77.37838426922724,600550,保变电气,bottom_area,2025-12-05,9.39,2025-12-04,9.06,3.6423841059602653,3.6423841059602653,30.307692307692303,False,3.1868,3.1421,1,1,1,100.0,35.285053929121716,35.285053929121716,11.357615894039734,3.6423841059602653,历史1/1次成功; 当前距低点3.64%; 最新日涨幅3.19%; 状态bottom_area; 底部未确认
