rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.10705795595297,83.62767134599503,002079,苏州固锝,bottom_area,2023-06-07,12.32,2023-05-10,12.11,1.7341040462427817,7.101568951279945,28.512396694214885,True,0.2441,1.3368,2,2,2,100.0,19.631336405529957,22.488479262672804,13.265895953757218,1.7341040462427817,历史2/2次成功; 当前距低点1.73%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
2,92.79242327282223,84.191451078245,600009,上海机场,bottom_area,2023-06-07,45.84,2023-06-06,44.82,2.2757697456492707,3.7483266398929045,29.83719474013776,False,1.4384,0.4703,3,3,3,100.0,21.829065044759854,27.704918032786885,12.72423025435073,2.2757697456492707,历史3/3次成功; 当前距低点2.28%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
3,89.30411250368249,81.68040318529589,688075,安旭生物,bottom_area,2023-06-07,66.4,2023-05-10,64.65,2.7068832173240525,7.764887857695276,30.37906525953047,True,0.3931,0.8153,4,5,4,80.0,31.086542584917854,40.134529147982065,12.293116782675947,2.7068832173240525,历史4/5次成功; 当前距低点2.71%; 最新日涨幅0.39%; 状态bottom_area; 底部已确认
4,88.63148893294189,77.76501426112245,605399,晨光新材,bottom_area,2023-06-07,18.85,2023-06-07,18.76,0.4797441364605535,3.678038379530905,31.25687064858922,False,-2.8851,1.7108,2,2,2,100.0,44.24102630243285,52.857533497402244,14.520255863539447,0.4797441364605535,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
5,88.62879653974936,79.06829322718714,600955,维远股份,bottom_area,2023-06-07,18.48,2023-06-01,18.23,1.3713658804168951,4.552934722984083,28.453689167974883,False,-0.3774,0.2586,2,2,2,100.0,22.33874964805201,25.969084423305596,13.628634119583104,1.3713658804168951,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
6,87.49063055403556,77.60972115494211,002312,川发龙蟒,bottom_area,2023-06-07,8.53,2023-06-01,8.44,1.0663507109004722,7.5829383886256,28.04774083546463,True,-2.291,0.7736,1,1,1,100.0,18.231186966640802,18.231186966640802,13.93364928909953,1.0663507109004722,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-2.29%; 状态bottom_area; 底部已确认
7,87.41004179763843,76.39474540008557,600935,华塑股份,bottom_area,2023-06-07,3.7,2023-05-31,3.69,0.2710027100271065,3.2520325203252063,27.788649706457928,False,0.0,0.2007,1,1,1,100.0,28.50877192982458,28.50877192982458,14.728997289972892,0.2710027100271065,历史1/1次成功; 当前距低点0.27%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,87.08991956072974,79.40033860153584,300762,上海瀚讯,bottom_area,2023-06-07,11.73,2023-05-10,11.44,2.534965034965043,6.6433566433566416,27.50316856780735,False,1.2953,0.8572,1,1,1,100.0,32.580961727183514,32.580961727183514,12.465034965034956,2.534965034965043,历史1/1次成功; 当前距低点2.53%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
9,84.97734398289714,75.3674954945935,688176,亚虹医药,bottom_area,2023-06-07,11.47,2023-06-07,11.35,1.0572687224669692,5.462555066079304,29.851668726823238,False,-3.4512,4.6867,1,1,1,100.0,25.473484848484844,25.473484848484844,13.94273127753303,1.0572687224669692,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
10,84.96958994530053,77.86269870535082,605580,恒盛能源,bottom_area,2023-06-07,13.18,2023-06-07,12.82,2.808112324492975,3.042121684867399,27.69317540891145,False,1.4627,18.9463,1,1,1,100.0,27.66233766233766,27.66233766233766,12.191887675507024,2.808112324492975,历史1/1次成功; 当前距低点2.81%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
11,84.80863096191955,76.39481399420211,601111,中国国航,bottom_area,2023-06-07,8.09,2023-06-02,7.94,1.8891687657430662,4.53400503778338,29.920564872021178,False,-0.3695,0.5137,1,1,1,100.0,30.97913322632423,30.97913322632423,13.110831234256933,1.8891687657430662,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
12,84.79274001137341,77.47185978321747,600256,广汇能源,bottom_area,2023-06-07,7.36,2023-06-01,7.17,2.649930264993032,5.718270571827059,29.49852507374631,False,0.1361,0.8512,1,1,1,100.0,23.62204724409449,23.62204724409449,12.350069735006967,2.649930264993032,历史1/1次成功; 当前距低点2.65%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
13,84.71027046465248,74.63345394736842,002179,中航光电,bottom_area,2023-06-07,40.18,2023-06-07,39.9,0.7017543859649151,3.2581453634085324,30.536211699164344,False,-2.0955,0.4314,1,1,1,100.0,46.79276315789475,46.79276315789475,14.298245614035086,0.7017543859649151,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
14,84.68795277020511,76.89770606675272,601669,中国电建,bottom_area,2023-06-07,5.74,2023-06-07,5.61,2.317290552584668,2.4955436720142545,29.78723404255319,False,0.5254,1.5071,1,1,1,100.0,16.457680250783696,16.457680250783696,12.68270944741533,2.317290552584668,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
15,84.40582659653016,75.86182753885984,600995,南网储能,bottom_area,2023-06-07,10.93,2023-06-07,10.74,1.7690875232774628,2.2346368715083815,32.7909887359199,False,-0.9964,1.7186,1,1,1,100.0,26.64165103189493,26.64165103189493,13.230912476722537,1.7690875232774628,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
16,84.21260860020197,74.42163227818364,688289,圣湘生物,bottom_area,2023-06-07,17.49,2023-06-06,17.34,0.8650519031141786,5.420991926182245,29.655172413793103,False,0.6329,0.6313,1,1,1,100.0,25.182530200451346,25.182530200451346,14.134948096885822,0.8650519031141786,历史1/1次成功; 当前距低点0.87%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
17,83.5728806809501,77.1040182820881,300753,爱朋医疗,bottom_area,2023-06-07,19.19,2023-06-06,18.6,3.172043010752687,5.215053763440854,32.017543859649116,False,2.5655,22.8428,1,1,1,100.0,28.044496487119456,28.044496487119456,11.827956989247312,3.172043010752687,历史1/1次成功; 当前距低点3.17%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
18,83.11842901960651,75.98527333963112,600319,亚星化学,bottom_area,2023-06-07,4.98,2023-04-25,4.85,2.680412371134037,9.69072164948455,28.4660766961652,True,-1.1905,0.8759,1,1,1,100.0,29.282868525896426,29.282868525896426,12.319587628865964,2.680412371134037,历史1/1次成功; 当前距低点2.68%; 最新日涨幅-1.19%; 状态bottom_area; 底部已确认
19,81.84256203528939,71.66215751664427,300363,博腾股份,bottom_area,2023-06-07,29.79,2023-06-07,29.68,0.3706199460916423,4.144204851752023,28.842004315511872,False,-3.0589,1.6622,1,1,1,100.0,36.97403760071621,36.97403760071621,14.629380053908358,0.3706199460916423,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
20,81.70368355844201,71.04668135516697,603327,福蓉科技,bottom_area,2023-06-07,11.25,2023-06-01,11.25,0.0,3.8222222222222197,27.419354838709676,False,-0.4425,0.2022,3,4,3,75.0,35.33162018906968,52.609776304888165,15.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
