rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,75.74904383164899,73.60985141501665,600256,广汇能源,bottom_area,2023-06-09,7.35,2023-06-01,7.17,2.5104602510460214,5.718270571827059,29.49852507374631,False,-0.9434,0.9371,1,1,1,100.0,23.62204724409449,23.62204724409449,5.489539748953979,2.5104602510460214,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
23,75.40108895249983,72.70283924843423,002084,海鸥住工,bottom_area,2023-06-09,3.88,2023-06-01,3.8,2.105263157894739,4.473684210526326,27.06333973128599,False,-0.7673,0.9943,1,1,1,100.0,13.778705636743219,13.778705636743219,5.894736842105261,2.105263157894739,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
24,75.31230954894757,73.10691753659366,002414,高德红外,bottom_area,2023-06-09,9.6,2023-06-09,9.37,2.454642475987198,5.976520811099259,27.081712062256813,False,-3.0303,1.3401,2,2,2,100.0,13.782270870131494,16.372549019607842,5.545357524012802,2.454642475987198,历史2/2次成功; 当前距低点2.45%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
25,74.43409688062923,72.31128895445326,601669,中国电建,bottom_area,2023-06-09,5.75,2023-06-07,5.61,2.4955436720142545,3.208556149732615,29.78723404255319,False,-0.3466,0.9658,1,1,1,100.0,16.457680250783696,16.457680250783696,5.504456327985746,2.4955436720142545,历史1/1次成功; 当前距低点2.50%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
26,73.39489373466355,69.15270112738708,002481,双塔食品,bottom_area,2023-06-09,4.46,2023-06-09,4.42,0.9049773755656116,3.1674208144796308,28.70967741935484,False,-1.7621,1.0848,1,1,1,100.0,19.817470664928287,19.817470664928287,7.095022624434389,0.9049773755656116,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
27,73.00106820930885,73.68822218304028,300546,雄帝科技,bottom_area,2023-06-09,19.56,2023-06-07,18.72,4.487179487179486,5.448717948717947,27.441860465116285,False,1.1375,2.4562,4,5,4,80.0,19.13436243983607,33.791666666666664,3.5128205128205137,4.487179487179486,历史4/5次成功; 当前距低点4.49%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
28,72.82542041794888,72.79530860466876,300753,爱朋医疗,bottom_area,2023-06-09,19.34,2023-06-06,18.6,3.978494623655905,7.526881720430099,32.017543859649116,True,-1.1753,19.9379,1,1,1,100.0,28.044496487119456,28.044496487119456,4.021505376344095,3.978494623655905,历史1/1次成功; 当前距低点3.98%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
29,72.65196571929091,68.29122221534593,002768,国恩股份,bottom_area,2023-06-09,23.19,2023-06-08,23.01,0.782268578878747,3.3463711429813103,27.068145800316955,False,-0.4721,0.9014,1,1,1,100.0,13.681691264459511,13.681691264459511,7.217731421121252,0.782268578878747,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
30,71.93153338148899,67.52837886175399,300357,我武生物,bottom_area,2023-06-09,33.74,2023-06-09,33.5,0.7164179104477671,3.5223880597014916,29.798826487845766,False,-0.148,1.1724,1,1,1,100.0,8.773181169757484,8.773181169757484,7.283582089552233,0.7164179104477671,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
31,71.27710190975442,69.70900190730815,600183,生益科技,bottom_area,2023-06-09,14.83,2023-06-08,14.42,2.843273231622747,3.1900138696255262,27.09807886754298,False,1.7845,0.5011,2,3,2,66.66666666666666,23.14515165989969,25.158227848101262,5.156726768377253,2.843273231622747,历史2/3次成功; 当前距低点2.84%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
32,70.99801086692663,72.0388194031957,000792,盐湖股份,bottom_area,2023-06-09,19.38,2023-05-30,18.5,4.756756756756751,7.5675675675675595,29.49695121951219,True,-0.0516,0.3407,2,2,2,100.0,16.850671013984325,24.904214559386965,3.2432432432432496,4.756756756756751,历史2/2次成功; 当前距低点4.76%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
33,67.31381908719989,62.88834309184765,600984,建设机械,bottom_area,2023-06-09,4.32,2023-06-09,4.3,0.4651162790697782,3.0232558139534857,31.200000000000006,False,-1.8182,0.7818,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,7.534883720930222,0.4651162790697782,历史2/3次成功; 当前距低点0.47%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
34,65.58640448651468,61.964106869733925,688161,威高骨科,bottom_area,2023-06-09,43.45,2023-06-08,43.0,1.0465116279069833,4.116279069767449,28.571428571428577,False,0.7887,1.5407,1,2,1,50.0,12.258889147106666,12.258889147106666,6.953488372093017,1.0465116279069833,历史1/2次成功; 当前距低点1.05%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
