rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.46000000000001,74.55000000000001,300580,贝斯特,bottom_area,2024-04-08,24.56,2024-04-03,24.56,0.0,4.600977198697079,27.444608567208277,False,-2.501,1.3932,1,1,1,100.0,53.89266817838245,53.89266817838245,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
2,88.58947578520774,74.23699088145898,002611,东方精工,bottom_area,2024-04-08,6.6,2024-04-08,6.58,0.30395136778114856,3.7993920972644375,29.09482758620689,False,-3.0837,5.575,1,1,1,100.0,145.12534818941506,145.12534818941506,19.69604863221885,0.30395136778114856,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
3,83.66330655466507,70.67567355459549,300548,长芯博创,bottom_area,2024-04-08,24.39,2024-04-08,24.21,0.7434944237918204,3.7174721189591016,27.73134328358209,False,-0.9744,5.2798,1,1,1,100.0,26.026026026026024,26.026026026026024,19.25650557620818,0.7434944237918204,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
4,83.31369347531746,69.54893702837471,603079,圣达生物,bottom_area,2024-04-08,10.55,2024-04-08,10.54,0.09487666034157081,6.261859582542696,32.043842682140564,False,-5.2962,4.8955,1,1,1,100.0,22.232558139534888,22.232558139534888,19.90512333965843,0.09487666034157081,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
5,79.11601219059234,66.05793926656148,603178,圣龙股份,bottom_area,2024-04-08,28.4,2024-04-08,28.37,0.10574550581599429,3.8068382093760955,27.256410256410252,False,-2.1365,2.3459,3,5,3,60.0,30.048596880763135,44.66270354096666,19.894254494184008,0.10574550581599429,历史3/5次成功; 当前距低点0.11%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
6,77.07125016386279,64.22604180321899,603037,凯众股份,bottom_area,2024-04-08,21.36,2024-04-08,21.36,0.0,6.226591760299635,30.423452768729643,False,-9.9874,16.874,2,3,2,66.66666666666666,43.59879105673294,47.48743718592965,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
7,76.18148372203052,64.07508823564115,688322,奥比中光,bottom_area,2024-04-08,27.85,2024-04-08,27.71,0.5052327679538093,3.2840129916997483,28.729423868312757,False,-1.9366,1.5803,3,5,3,60.0,24.285048099870046,28.749462827675128,19.494767232046193,0.5052327679538093,历史3/5次成功; 当前距低点0.51%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
8,73.47036822747438,61.25534201545884,688220,翱捷科技,bottom_area,2024-04-08,37.39,2024-04-08,37.38,0.026752273943279854,4.0395933654360565,31.033210332103323,False,-3.634,1.4774,2,4,2,50.0,35.14159784972857,45.103092783505154,19.973247726056723,0.026752273943279854,历史2/4次成功; 当前距低点0.03%; 最新日涨幅-3.63%; 状态bottom_area; 底部未确认
9,71.1500339018707,59.901805904287784,603106,恒银科技,bottom_area,2024-04-08,5.4,2024-04-08,5.37,0.5586592178770996,5.586592178770947,27.235772357723576,False,-4.9296,2.937,2,4,2,50.0,34.38467161853536,34.60144927536232,19.4413407821229,0.5586592178770996,历史2/4次成功; 当前距低点0.56%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
10,69.54918218419994,58.0467800418948,688327,云从科技,bottom_area,2024-04-08,11.94,2024-04-08,11.93,0.08382229673092864,3.9396479463537353,28.175797712221552,False,-5.4632,3.2107,3,7,3,42.857142857142854,34.06702315598246,53.56783919597991,19.91617770326907,0.08382229673092864,历史3/7次成功; 当前距低点0.08%; 最新日涨幅-5.46%; 状态bottom_area; 底部未确认
11,66.72000000000001,55.60000000000001,002657,中科金财,bottom_area,2024-04-08,13.91,2024-04-08,13.91,0.0,3.5226455787203466,27.096436058700203,False,-3.6036,3.4413,1,2,1,50.0,56.540447504302946,56.540447504302946,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-3.60%; 状态bottom_area; 底部未确认
12,66.55492650296581,57.72761261241155,300426,华智数媒,bottom_area,2024-04-08,8.41,2024-04-08,8.23,2.187120291616035,4.617253948967181,27.168141592920353,False,-0.2372,2.0636,1,2,1,50.0,25.936811168258643,25.936811168258643,17.812879708383967,2.187120291616035,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
13,59.640170966019575,50.35676217765044,300757,罗博特科,bottom_area,2024-04-08,112.48,2024-04-08,111.68,0.7163323782234932,7.091690544412596,31.62309434886426,False,-8.3964,11.5964,1,5,1,20.0,74.11052233156698,74.11052233156698,19.283667621776505,0.7163323782234932,历史1/5次成功; 当前距低点0.72%; 最新日涨幅-8.40%; 状态bottom_area; 底部未确认
14,58.36550104505662,48.77742655786349,688048,长光华芯,bottom_area,2024-04-08,38.46,2024-04-08,38.4,0.15625000000000594,5.208333333333334,32.690622261174404,False,-4.8726,3.2082,1,4,1,25.0,23.810089020771517,23.810089020771517,19.843749999999996,0.15625000000000594,历史1/4次成功; 当前距低点0.16%; 最新日涨幅-4.87%; 状态bottom_area; 底部未确认
