rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.71424403860436,80.03534088580714,002304,洋河股份,bottom_area,2025-05-06,68.79,2025-04-29,67.02,2.6410026857654585,3.595941509997032,29.452631578947376,False,0.277,0.4639,2,2,2,100.0,20.62810220081931,20.781426953567394,7.358997314234542,2.6410026857654585,历史2/2次成功; 当前距低点2.64%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
2,83.15904069212027,79.8183984564049,600371,万向德农,bottom_area,2025-05-06,9.39,2025-04-29,9.13,2.847754654983568,2.847754654983568,28.671874999999996,False,1.9544,3.4822,1,1,1,100.0,38.66279069767441,38.66279069767441,7.152245345016432,2.847754654983568,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
3,82.82369359396415,80.48839645731532,603221,爱丽家居,bottom_area,2025-05-06,10.65,2025-04-24,10.29,3.49854227405249,6.802721088435384,29.761092150170654,False,2.4038,3.0674,3,3,3,100.0,16.908993775026747,17.92336217552533,6.5014577259475095,3.49854227405249,历史3/3次成功; 当前距低点3.50%; 最新日涨幅2.40%; 状态bottom_area; 底部未确认
4,82.63341637363949,81.3600526684409,002537,海联金汇,bottom_area,2025-05-06,7.22,2025-04-30,6.93,4.184704184704185,6.06060606060606,28.85010266940452,False,3.8849,14.4658,3,3,3,100.0,30.006334460034605,39.33649289099527,5.815295815295815,4.184704184704185,历史3/3次成功; 当前距低点4.18%; 最新日涨幅3.88%; 状态bottom_area; 底部未确认
5,81.74657893059161,80.33834924554047,601086,国芳集团,bottom_area,2025-05-06,10.44,2025-04-30,10.03,4.0877367896311085,9.272183449651063,29.860139860139867,False,4.0877,8.2907,3,3,3,100.0,23.324672719889257,33.48946135831383,5.912263210368892,4.0877367896311085,历史3/3次成功; 当前距低点4.09%; 最新日涨幅4.09%; 状态bottom_area; 底部未确认
6,80.66125001531393,76.26480813461272,003003,天元股份,bottom_area,2025-05-06,11.9,2025-05-06,11.66,2.0583190394511166,2.915951972555745,31.852717708942137,False,-4.3408,36.8668,2,2,2,100.0,25.90201905678097,31.377551020408173,7.941680960548885,2.0583190394511166,历史2/2次成功; 当前距低点2.06%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
7,80.0142424242424,78.81999999999998,301058,中粮科工,bottom_area,2025-05-06,10.89,2025-04-30,10.45,4.210526315789486,4.210526315789486,29.77150537634409,False,3.7143,3.3364,1,1,1,100.0,57.794273594909875,57.794273594909875,5.789473684210514,4.210526315789486,历史1/1次成功; 当前距低点4.21%; 最新日涨幅3.71%; 状态bottom_area; 底部未确认
8,79.8248607046115,77.14447444189535,688050,爱博医疗,bottom_area,2025-05-06,79.81,2025-04-29,77.33,3.2070347859821595,3.87947756368809,28.688675765400223,False,0.987,1.5221,2,2,2,100.0,12.024267494272554,12.90770757525636,6.7929652140178405,3.2070347859821595,历史2/2次成功; 当前距低点3.21%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
9,74.91957383850392,74.32901454485982,001299,美能能源,bottom_area,2025-05-06,10.95,2025-04-29,10.47,4.584527220630359,4.871060171919769,31.11842105263157,False,2.5281,8.4994,2,2,2,100.0,13.772777461812025,15.247322794492616,5.415472779369641,4.584527220630359,历史2/2次成功; 当前距低点4.58%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
10,73.36607443289347,70.99942687054207,000697,炼石航空,bottom_area,2025-05-06,6.3,2025-04-25,6.1,3.2786885245901667,8.688524590163938,28.904428904428908,False,-1.8692,2.1164,3,4,3,75.0,23.171165089288372,30.58161350844277,6.721311475409833,3.2786885245901667,历史3/4次成功; 当前距低点3.28%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
11,72.7033668669037,69.4211133886935,000524,岭南控股,bottom_area,2025-05-06,11.95,2025-05-06,11.65,2.57510729613733,2.57510729613733,30.489260143198095,False,1.0998,3.6741,2,3,2,66.66666666666666,18.31016858720398,21.550094517958406,7.42489270386267,2.57510729613733,历史2/3次成功; 当前距低点2.58%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
