rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.20749879051765,84.68923076923076,603787,新日股份,bottom_area,2026-04-20,12.72,17.11,2026-04-16,12.35,2.995951417004057,3.15789473684211,27.819988310929283,25.657510227936875,False,1.0326,2.3774,2,2,2,100.0,56.730295566502456,92.85714285714283,17.004048582995946,2.995951417004057,历史2/2次成功; 当前距低点3.00%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
2,91.46892874341056,79.51220603185361,001391,国货航,bottom_area,2026-04-20,5.32,7.73,2026-04-03,5.2,2.3076923076923097,3.4615384615384563,32.729624838292374,31.177231565329883,False,0.5671,0.7253,1,1,1,100.0,30.39647577092513,30.39647577092513,17.69230769230769,2.3076923076923097,历史1/1次成功; 当前距低点2.31%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
3,84.96344797103797,76.52293535853055,300080,易成新能,bottom_area,2026-04-20,4.66,6.38,2026-04-03,4.47,4.25055928411634,7.382550335570472,29.93730407523511,26.959247648902817,True,0.2151,1.3249,1,1,1,100.0,28.947368421052627,28.947368421052627,15.749440715883662,4.25055928411634,历史1/1次成功; 当前距低点4.25%; 最新日涨幅0.22%; 状态bottom_area; 底部已确认
4,83.63285974339462,72.455038553201,000966,长源电力,bottom_area,2026-04-20,4.33,5.95,2026-04-20,4.24,2.122641509433959,2.122641509433959,28.739495798319325,27.226890756302524,False,1.6432,1.6769,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,17.877358490566042,2.122641509433959,历史2/3次成功; 当前距低点2.12%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
5,83.36379310344829,69.4698275862069,600636,退市国化,bottom_area,2026-04-20,5.79,7.94,2026-04-20,5.79,0.0,2.5906735751295398,27.078085642317383,27.078085642317383,False,-4.9261,6.9937,1,1,1,100.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
6,82.62360053175362,73.77107190335146,603535,嘉诚国际,bottom_area,2026-04-20,8.25,11.77,2026-03-23,7.95,3.773584905660375,8.553459119496862,32.4553950722175,29.906542056074763,True,-0.1211,0.5583,1,1,1,100.0,30.778739184178,30.778739184178,16.226415094339625,3.773584905660375,历史1/1次成功; 当前距低点3.77%; 最新日涨幅-0.12%; 状态bottom_area; 底部已确认
7,79.19393939393943,72.30750988142294,603848,好太太,bottom_area,2026-04-20,15.54,21.38,2026-04-03,14.8,4.999999999999989,5.810810810810807,30.776426566884936,27.315247895229188,False,0.1289,0.3092,1,1,1,100.0,24.664031620553352,24.664031620553352,15.000000000000014,4.999999999999989,历史1/1次成功; 当前距低点5.00%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
8,75.88852674796009,66.4542537881129,600121,郑州煤电,bottom_area,2026-04-20,4.17,5.69,2026-04-07,4.06,2.709359605911338,6.896551724137938,28.646748681898078,26.713532513181026,False,1.956,3.2141,3,6,3,50.0,23.44942843865986,29.452054794520542,17.290640394088662,2.709359605911338,历史3/6次成功; 当前距低点2.71%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
9,74.16690667229182,67.70872637013785,001298,好上好,bottom_area,2026-04-20,21.87,30.62,2026-04-17,20.83,4.9927988478156635,7.201152184349496,31.97256694970608,28.576094056172437,False,-0.5005,6.5335,3,4,3,75.0,26.490901844933123,34.86910994764398,15.007201152184338,4.9927988478156635,历史3/4次成功; 当前距低点4.99%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
10,70.52006776394558,63.46236929523753,002481,双塔食品,bottom_area,2026-04-20,4.46,6.06,2026-03-23,4.28,4.205607476635507,9.345794392523352,29.37293729372936,26.4026402640264,True,0.2247,0.6663,2,5,2,40.0,38.17824915035744,54.6583850931677,15.794392523364495,4.205607476635507,历史2/5次成功; 当前距低点4.21%; 最新日涨幅0.22%; 状态bottom_area; 底部已确认
11,68.2507322199191,58.58732485362411,000625,长安汽车,bottom_area,2026-04-20,10.04,13.84,2026-03-30,9.88,1.61943319838055,4.554655870445337,28.612716763005775,27.456647398843938,False,-0.1988,0.8692,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,18.38056680161945,1.61943319838055,历史1/3次成功; 当前距低点1.62%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
