rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.6168201555672,85.94946216340257,603368,柳药集团,bottom_area,2024-08-19,16.61,2024-07-31,16.41,1.2187690432662968,8.470444850700796,31.908713692946062,True,-1.8322,1.7707,3,3,3,100.0,31.603524634675978,42.85714285714285,13.781230956733703,1.2187690432662968,历史3/3次成功; 当前距低点1.22%; 最新日涨幅-1.83%; 状态bottom_area; 底部已确认
2,91.11396705364791,82.0966287523331,001203,大中矿业,bottom_area,2024-08-19,8.03,2024-08-16,7.88,1.903553299492379,2.6649746192893398,32.244196044711956,False,1.3889,0.466,2,2,2,100.0,22.670592877288865,29.46341463414634,13.096446700507618,1.903553299492379,历史2/2次成功; 当前距低点1.90%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
3,89.5415779041645,82.03832061068704,002687,乔治白,bottom_area,2024-08-19,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,0.0,0.465,1,1,1,100.0,64.00000000000001,64.00000000000001,12.201017811704839,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,87.3667352178452,79.1895531038597,600343,航天动力,bottom_area,2024-08-19,7.82,2024-08-19,7.65,2.2222222222222214,2.614379084967311,31.696428571428566,False,0.128,1.971,3,4,3,75.0,31.78075145444273,55.72413793103447,12.777777777777777,2.2222222222222214,历史3/4次成功; 当前距低点2.22%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
5,86.51260852588075,77.50777288910194,002355,兴民智通,bottom_area,2024-08-19,4.45,2024-08-12,4.38,1.5981735159817416,8.447488584474888,28.8961038961039,True,-1.766,2.7806,4,5,4,80.0,17.535529599679155,21.138211382113823,13.401826484018258,1.5981735159817416,历史4/5次成功; 当前距低点1.60%; 最新日涨幅-1.77%; 状态bottom_area; 底部已确认
6,84.97677997504033,77.07882240697835,000708,中信特钢,bottom_area,2024-08-19,11.76,2024-08-16,11.5,2.2608695652173894,3.304347826086963,29.447852760736197,False,1.7301,0.1806,1,1,1,100.0,16.739811912225715,16.739811912225715,12.739130434782611,2.2608695652173894,历史1/1次成功; 当前距低点2.26%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
7,84.05699175188957,73.66689070824718,002563,森马服饰,bottom_area,2024-08-19,4.8,2024-07-30,4.78,0.41841004184099523,7.531380753138063,29.080118694362017,True,-0.8264,0.8144,1,1,1,100.0,28.929384965831446,28.929384965831446,14.581589958159006,0.41841004184099523,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-0.83%; 状态bottom_area; 底部已确认
8,83.8776375214238,74.54832412641314,002651,利君股份,bottom_area,2024-08-19,5.19,2024-08-19,5.13,1.1695906432748635,2.1442495126705716,29.338842975206607,False,0.0,2.4438,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,13.830409356725138,1.1695906432748635,历史2/3次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,82.90672348987417,76.10651512179814,001218,丽臣实业,bottom_area,2024-08-19,14.18,2024-07-25,13.78,2.902757619738755,6.603773584905662,30.404040404040412,False,-0.2111,0.5714,2,2,2,100.0,25.18711018711019,29.999999999999993,12.097242380261244,2.902757619738755,历史2/2次成功; 当前距低点2.90%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
10,81.71733358768145,76.64110458284374,000629,钒钛股份,bottom_area,2024-08-19,2.31,2024-07-25,2.22,4.054054054054047,10.360360360360358,32.72727272727272,True,0.4348,0.3832,1,1,1,100.0,27.173913043478265,27.173913043478265,10.945945945945953,4.054054054054047,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
11,81.6666051067424,77.21378557075992,600210,紫江企业,bottom_area,2024-08-19,4.89,2024-07-25,4.68,4.487179487179486,9.61538461538462,27.329192546583858,True,0.4107,0.5118,2,2,2,100.0,18.895455922199744,19.867549668874158,10.512820512820513,4.487179487179486,历史2/2次成功; 当前距低点4.49%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
