rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.13680479418284,79.91303370786518,002657,中科金财,bottom_area,2022-04-11,17.09,2022-04-11,16.91,1.064458900059135,9.402720283855706,31.70436187399031,False,-6.9172,23.1351,1,1,1,100.0,56.540447504302946,56.540447504302946,8.935541099940867,1.064458900059135,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-6.92%; 状态bottom_area; 底部未确认
2,82.99340568884936,79.22502437941645,688221,前沿生物,bottom_area,2022-04-11,16.02,2022-04-08,15.62,2.5608194622279155,6.145966709346985,28.348623853211013,False,0.3131,3.1017,2,2,2,100.0,15.288670716645669,15.615615615615624,7.439180537772085,2.5608194622279155,历史2/2次成功; 当前距低点2.56%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
3,82.91723162158087,77.14241558189403,300746,汉嘉数智,bottom_area,2022-04-11,14.2,2022-04-11,14.03,1.2116892373485384,9.052031361368506,27.680412371134018,False,-4.5699,6.1717,1,1,1,100.0,36.90896259703598,36.90896259703598,8.788310762651461,1.2116892373485384,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-4.57%; 状态bottom_area; 底部未确认
4,80.10679702020832,74.40259785158665,002474,榕基软件,bottom_area,2022-04-11,6.3,2022-04-11,6.23,1.1235955056179678,6.420545746388434,31.007751937984484,False,-4.8338,2.9832,1,1,1,100.0,21.0989010989011,21.0989010989011,8.876404494382033,1.1235955056179678,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
5,79.89576078561667,74.81733731580577,603215,比依股份,bottom_area,2022-04-11,15.69,2022-04-11,15.45,1.5533980582524287,6.6019417475728135,31.485587583148565,False,-3.2676,11.1841,1,1,1,100.0,28.59723058398555,28.59723058398555,8.446601941747572,1.5533980582524287,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
6,79.46752206700648,73.89582414430491,000788,北大医药,bottom_area,2022-04-11,9.39,2022-04-11,9.28,1.18534482758622,6.896551724137938,28.00620636152057,False,-3.4943,5.994,1,1,1,100.0,19.13123844731978,19.13123844731978,8.814655172413781,1.18534482758622,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
7,78.3846207959926,72.81302609165317,688225,亚信安全,bottom_area,2022-04-11,20.57,2022-04-11,20.34,1.130776794493611,7.522123893805316,28.15259625574002,False,-5.7287,4.7004,1,1,1,100.0,12.640845070422536,12.640845070422536,8.869223205506389,1.130776794493611,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-5.73%; 状态bottom_area; 底部未确认
8,78.11523645031755,73.70746246955764,605589,圣泉集团,bottom_area,2022-04-11,26.12,2022-04-11,25.62,1.9516003122560501,8.352849336455897,27.215909090909097,False,-6.5808,4.5578,2,2,2,100.0,10.844683771513038,11.515151515151507,8.04839968774395,1.9516003122560501,历史2/2次成功; 当前距低点1.95%; 最新日涨幅-6.58%; 状态bottom_area; 底部未确认
9,78.06488770418834,73.05221399191612,002196,方正电机,bottom_area,2022-04-11,8.03,2022-04-11,7.91,1.5170670037926577,8.975979772439938,29.626334519572957,False,-6.8445,3.9047,1,1,1,100.0,18.661971830985923,18.661971830985923,8.482932996207342,1.5170670037926577,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
10,78.01245417241412,70.92041288401283,688037,芯源微,bottom_area,2022-04-11,129.49,2022-04-11,129.49,0.0,6.865395011197766,30.0054054054054,False,-6.0237,2.668,2,2,2,100.0,24.034477871036746,27.322614278658854,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-6.02%; 状态bottom_area; 底部未确认
11,76.62470994749343,70.83666860621764,603348,文灿股份,bottom_area,2022-04-11,31.0,2022-04-11,30.73,0.8786202408070275,8.851285388870817,27.540674369252528,False,-7.3244,1.6912,2,2,2,100.0,22.096358899234726,31.539888682745836,9.121379759192973,0.8786202408070275,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-7.32%; 状态bottom_area; 底部未确认
12,76.05289136878979,70.2290213090176,603351,威尔药业,bottom_area,2022-04-11,24.6,2022-04-11,24.4,0.8196721311475527,8.196721311475411,30.701505254189154,False,-5.8914,1.4225,2,2,2,100.0,18.106848215236642,22.528735632183903,9.180327868852448,0.8196721311475527,历史2/2次成功; 当前距低点0.82%; 最新日涨幅-5.89%; 状态bottom_area; 底部未确认
13,75.0038549806347,69.11936822623869,300435,中泰股份,bottom_area,2022-04-11,15.54,2022-04-11,15.43,0.7128969539857384,6.416072585871692,29.12264584290308,False,-5.2439,2.2716,1,1,1,100.0,27.498781082398814,27.498781082398814,9.287103046014263,0.7128969539857384,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
14,74.39040022063551,68.17734490622492,300671,富满微,bottom_area,2022-04-11,73.4,2022-04-11,73.09,0.42413462854015904,6.977698727596106,30.766316188311066,False,-6.1381,4.5052,1,1,1,100.0,18.894472361809044,18.894472361809044,9.575865371459843,0.42413462854015904,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-6.14%; 状态bottom_area; 底部未确认
15,74.31411451855386,67.88489488687826,688148,芳源股份,bottom_area,2022-04-11,19.84,2022-04-11,19.79,0.25265285497726486,9.70186963112684,28.915229885057474,False,-8.6135,4.9167,1,1,1,100.0,15.220125786163516,15.220125786163516,9.747347145022736,0.25265285497726486,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-8.61%; 状态bottom_area; 底部未确认
16,74.00212432729582,68.15439434589358,603063,禾望电气,bottom_area,2022-04-11,29.58,2022-04-11,29.38,0.6807351940095279,7.556160653505795,30.197196483725357,False,-5.7361,2.0566,1,1,1,100.0,21.916508538899436,21.916508538899436,9.319264805990473,0.6807351940095279,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
17,73.93019708373852,68.00621794264127,300471,厚普股份,bottom_area,2022-04-11,17.92,2022-04-11,17.81,0.6176305446378607,5.446378439079183,28.731492597038816,False,-4.4776,2.3769,1,1,1,100.0,20.346320346320343,20.346320346320343,9.38236945536214,0.6176305446378607,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
18,73.60423099037332,68.10220018193054,688117,圣诺生物,bottom_area,2022-04-11,33.89,2022-04-11,33.58,0.9231685527099532,8.665872543180477,32.13419563459984,False,-7.6063,7.9269,1,1,1,100.0,24.6076585059636,24.6076585059636,9.076831447290047,0.9231685527099532,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
