rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.95484642025532,87.31442530157926,300648,星云股份,bottom_area,2022-09-29,36.38,2022-09-29,35.71,1.8762251470176468,3.6124334920190395,29.020075531703437,False,0.2756,2.1003,5,5,5,100.0,17.054938907416574,26.78362573099414,6.123774852982353,1.8762251470176468,历史5/5次成功; 当前距低点1.88%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
2,90.31797798314132,85.6249036777583,002202,金风科技,bottom_area,2022-09-29,11.56,2022-09-28,11.42,1.2259194395796897,4.640980735551658,27.53807106598985,False,0.8726,0.493,1,1,1,100.0,55.172413793103445,55.172413793103445,6.774080560420311,1.2259194395796897,历史1/1次成功; 当前距低点1.23%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
3,89.15220160978798,84.33603079459951,603315,福鞍股份,bottom_area,2022-09-29,19.08,2022-09-29,18.87,1.1128775834658045,3.7625861155272777,31.852654387865652,False,0.6329,0.4517,1,1,1,100.0,41.68490153172865,41.68490153172865,6.887122416534195,1.1128775834658045,历史1/1次成功; 当前距低点1.11%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
4,88.13028703769699,83.41909437445403,688199,久日新材,bottom_area,2022-09-29,33.6,2022-09-28,33.22,1.1438892233594298,4.093919325707404,29.97470489038786,False,0.5386,0.6268,1,1,1,100.0,37.135278514588855,37.135278514588855,6.85611077664057,1.1438892233594298,历史1/1次成功; 当前距低点1.14%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
5,84.48493647172607,81.14800899887514,600110,诺德股份,bottom_area,2022-09-29,8.56,2022-09-28,8.4,1.9047619047619064,5.476190476190465,27.710843373493972,False,1.3018,1.1964,1,1,1,100.0,34.251968503937015,34.251968503937015,6.095238095238094,1.9047619047619064,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
6,84.46937864933489,79.71651174871188,002245,蔚蓝锂芯,bottom_area,2022-09-29,14.29,2022-09-29,14.15,0.9893992932862106,2.9681978798586566,30.157946692991118,False,0.2104,1.6306,3,3,3,100.0,21.840549125830286,25.653923541247494,7.010600706713789,0.9893992932862106,历史3/3次成功; 当前距低点0.99%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
7,84.21566456213598,80.34438629331835,603155,新亚强,bottom_area,2022-09-29,26.15,2022-09-29,25.75,1.5533980582524218,3.1456310679611597,27.58717660292464,False,0.3839,1.8053,1,1,1,100.0,25.624375624375624,25.624375624375624,6.446601941747579,1.5533980582524218,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
8,83.89375448493215,80.53518696412668,300543,朗科智能,bottom_area,2022-09-29,8.69,2022-09-29,8.53,1.8757327080890993,2.5791324736225163,31.760000000000005,False,0.8121,1.0338,2,2,2,100.0,13.934717949300124,18.559322033898297,6.1242672919109005,1.8757327080890993,历史2/2次成功; 当前距低点1.88%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
9,83.59995660039621,78.11702573732367,300484,蓝海华腾,bottom_area,2022-09-29,10.6,2022-09-29,10.55,0.47393364928908943,3.0331753554502225,30.819672131147534,False,0.3788,1.6418,2,2,2,100.0,23.589217514531214,28.708133971291865,7.526066350710911,0.47393364928908943,历史2/2次成功; 当前距低点0.47%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
10,83.58914891100812,79.75384543726089,000683,博源化工,bottom_area,2022-09-29,7.17,2022-09-28,7.06,1.5580736543909395,4.6742209631728056,28.17904374364192,False,1.2712,0.9548,1,1,1,100.0,22.50673854447439,22.50673854447439,6.441926345609062,1.5580736543909395,历史1/1次成功; 当前距低点1.56%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
11,83.08817729229779,78.55025132275135,000728,国元证券,bottom_area,2022-09-29,6.55,2022-09-29,6.48,1.0802469135802375,3.8580246913580245,29.794149512459374,False,0.3063,1.4052,1,1,1,100.0,10.178571428571434,10.178571428571434,6.919753086419762,1.0802469135802375,历史1/1次成功; 当前距低点1.08%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
