rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.1492007456522,88.65248973011343,002805,丰元股份,bottom_area,2024-06-07,10.77,2024-06-07,10.56,1.9886363636363549,3.4090909090909034,31.025473546701498,False,0.4664,1.8639,5,5,5,100.0,25.626777630130704,50.09389671361502,6.011363636363646,1.9886363636363549,历史5/5次成功; 当前距低点1.99%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
2,90.7209987602386,86.47860906504172,688095,福昕软件,confirmed_rebound,2024-06-07,45.71,2024-06-06,45.03,1.510104374861203,8.261159227181876,27.951999999999998,False,0.3513,1.7729,4,4,4,100.0,18.288424944759377,31.679509356817103,6.489895625138797,1.510104374861203,历史4/4次成功; 当前距低点1.51%; 最新日涨幅0.35%; 状态confirmed_rebound; 底部未确认
3,90.67749850746272,89.77970149253733,603273,天元智能,bottom_area,2024-06-07,18.72,2024-06-06,18.09,3.4825870646766113,7.6838032061912696,29.418650019508384,False,2.4631,5.2187,4,4,4,100.0,57.78033351396116,201.34228187919464,4.517412935323389,3.4825870646766113,历史4/4次成功; 当前距低点3.48%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
4,89.80878924980283,86.95636063402365,605266,健之佳,bottom_area,2024-06-07,37.46,2024-06-06,36.61,2.3217700081944863,7.620868615132475,31.570093457943926,False,1.1612,0.4873,5,5,5,100.0,20.591377702726223,33.154615273148806,5.678229991805514,2.3217700081944863,历史5/5次成功; 当前距低点2.32%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
5,89.06172554548648,84.67312418609625,688356,键凯科技,bottom_area,2024-06-07,63.5,2024-06-06,62.64,1.3729246487867168,4.885057471264371,27.717516732056307,False,1.0503,0.7463,3,3,3,100.0,13.351571964139552,15.625,6.627075351213284,1.3729246487867168,历史3/3次成功; 当前距低点1.37%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
6,88.92620808944618,86.67491168211845,002761,浙江建投,bottom_area,2024-06-07,8.47,2024-06-06,8.25,2.6666666666666745,4.4848484848484755,28.26086956521739,False,1.8029,2.2909,6,6,6,100.0,23.305976785583134,43.73730534867976,5.333333333333326,2.6666666666666745,历史6/6次成功; 当前距低点2.67%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
7,85.90536275436733,84.65081428096826,688159,有方科技,confirmed_rebound,2024-06-07,32.55,2024-06-06,31.53,3.235014272121776,9.705042816365374,31.15720524017467,False,2.4551,2.1505,4,4,4,100.0,29.60562807207472,61.150808574652125,4.764985727878225,3.235014272121776,历史4/4次成功; 当前距低点3.24%; 最新日涨幅2.46%; 状态confirmed_rebound; 底部未确认
8,85.89574933864975,82.38220957935131,688023,安恒信息,confirmed_rebound,2024-06-07,42.88,2024-06-06,42.11,1.828544288767521,8.216575635241037,28.359986389928547,False,1.6355,2.3322,2,2,2,100.0,33.50156213839389,39.261744966442954,6.171455711232479,1.828544288767521,历史2/2次成功; 当前距低点1.83%; 最新日涨幅1.64%; 状态confirmed_rebound; 底部未确认
9,85.23362317398256,82.77294117647058,000420,吉林化纤,bottom_area,2024-06-07,3.31,2024-06-06,3.23,2.4767801857585163,5.26315789473684,29.321663019693663,False,1.5337,1.5861,1,1,1,100.0,53.9249146757679,53.9249146757679,5.523219814241484,2.4767801857585163,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
10,84.6724117334086,82.87664906438256,301393,昊帆生物,bottom_area,2024-06-07,40.65,2024-06-06,39.51,2.885345482156418,7.061503416856491,29.547075606276753,False,1.7013,4.4845,2,2,2,100.0,38.899122385479515,58.59438845001361,5.114654517843582,2.885345482156418,历史2/2次成功; 当前距低点2.89%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
11,83.70753233596068,82.06620817251047,000705,浙江震元,bottom_area,2024-06-07,7.28,2024-06-06,7.07,2.97029702970297,4.950495049504945,27.26337448559671,False,2.6798,2.7569,3,3,3,100.0,18.916588173296947,34.04605263157895,5.02970297029703,2.97029702970297,历史3/3次成功; 当前距低点2.97%; 最新日涨幅2.68%; 状态bottom_area; 底部未确认
