code,liutongguben
000001,19405601250.0
000002,9716935625.0
000004,126289101.5625
000006,1349984843.75
000007,346448007.8125
000008,2716296875.0
000009,2576020468.75
000010,873055000.0
000011,526475507.8125
000012,1959316562.5
000014,242046191.40625
000016,1596593750.0
000017,440821992.1875
000019,416206406.25
000020,181165390.625
000021,1574139062.5
000025,392778281.25
000026,364560703.125
000027,4757390000.0
000028,478052890.625
000029,891660000.0
000030,1670906093.75
000031,4286304687.5
000032,1137959218.75
000034,849147812.5
000035,2313025781.25
000036,1402981250.0
000037,338908203.125
000039,2301407187.5
000042,664091406.25
000045,457021796.875
000048,529302695.3125
000049,384534804.6875
000050,2435756406.25
000055,675854531.25
000056,903733203.125
000058,984739375.0
000059,1599412968.75
000060,4441116250.0
000061,1794312031.25
000062,1044900078.125
000063,4027621250.0
000065,974962265.625
000066,3225549687.5
000068,1006671484.375
000069,6898601875.0
000070,856727031.25
000078,2625215625.0
000088,3162885625.0
000089,2050733437.5
000090,1868431406.25
000096,510848007.8125
000099,775770234.375
000100,19132033750.0
000151,307934707.03125
000153,458868515.625
000155,1846168281.25
000156,1699875937.5
000157,7069669375.0
000158,1587911562.5
000159,480668515.625
000166,22535507500.0
000301,6608128125.0
000333,6855243750.0
000338,4953233437.5
000400,1011701328.125
000401,2631354687.5
000402,2988654062.5
000403,940683906.25
000404,692728281.25
000407,875774765.625
000408,1568898281.25
000409,590483398.4375
000410,1971018281.25
000411,563735898.4375
000415,5392913750.0
000417,779027421.875
000419,543582695.3125
000420,2458035625.0
000421,574296289.0625
000422,1057856718.75
000423,642850312.5
000425,9000555625.0
000426,1775205468.75
000428,1018926015.625
000429,1303329921.875
000430,370556484.375
000488,1694219687.5
000498,1449347187.5
000501,768220781.25
000503,979235468.75
000504,329122382.8125
000505,632380390.625
000506,928707031.25
000507,902354531.25
000509,1073124765.625
000510,606610390.625
000513,568139804.6875
000514,843770937.5
000516,2194233125.0
000517,2491986406.25
000518,1029535703.125
000519,1392558906.25
000520,1012083437.5
000521,875229765.625
000523,1794818125.0
000524,669967265.625
000525,1111760000.0
000526,119459501.953125
000528,2034132031.25
000529,569884414.0625
000530,600116718.75
000531,909745468.75
000532,343549687.5
000533,684902421.875
000534,500910507.8125
000536,2763075000.0
000537,2055717968.75
000538,1772933437.5
000539,2555386875.0
000541,1230494765.625
000543,2266863281.25
000544,974684531.25
000545,985403125.0
000546,696705234.375
000547,1589121093.75
000548,499215781.25
000550,518463203.125
000551,484547187.5
000552,3725811562.5
000553,2177072031.25
000554,359304804.6875
000555,974631562.5
000557,1457916250.0
000558,1288684609.375
000559,3314348750.0
000560,2338436250.0
000561,776247265.625
000563,5113970312.5
