rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.89507121827411,85.0679187817259,002269,美邦服饰,bottom_area,2022-12-23,2.0,2022-12-23,1.97,1.52284263959391,4.56852791878173,27.30627306273063,False,-3.3816,4.9817,3,3,3,100.0,67.6633252638804,173.50993377483442,8.47715736040609,1.52284263959391,历史3/3次成功; 当前距低点1.52%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
2,86.74378931545279,81.0151060820368,002388,新亚制程,bottom_area,2022-12-23,7.17,2022-12-23,7.07,1.4144271570014093,6.364922206506354,32.666666666666664,False,-2.1828,3.3302,1,1,1,100.0,50.505050505050505,50.505050505050505,8.585572842998591,1.4144271570014093,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
3,85.52093360672285,80.63758093806143,002006,精工科技,bottom_area,2022-12-23,23.96,2022-12-23,23.51,1.9140791152700947,3.1475967673330425,28.649468892261005,False,-1.3992,0.5418,2,2,2,100.0,37.42839419826479,61.48648648648647,8.085920884729905,1.9140791152700947,历史2/2次成功; 当前距低点1.91%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
4,85.09108778120945,77.88886996561813,300724,捷佳伟创,bottom_area,2022-12-23,100.37,2022-12-23,100.01,0.3599640035996394,6.689331066893309,27.57097334878332,False,-3.8602,2.6,4,4,4,100.0,20.320365020566065,30.55368319691865,9.640035996400362,0.3599640035996394,历史4/4次成功; 当前距低点0.36%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
5,84.422864558553,78.71595763035246,600158,中体产业,bottom_area,2022-12-23,8.4,2022-12-23,8.29,1.3268998793727529,2.77442702050664,29.626485568760614,False,0.3584,1.6486,1,1,1,100.0,14.092953523238386,14.092953523238386,8.673100120627247,1.3268998793727529,历史1/1次成功; 当前距低点1.33%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
6,83.72620115767997,79.88180427396692,300542,新晨科技,bottom_area,2022-12-23,11.74,2022-12-23,11.45,2.532751091703065,3.8427947598253387,27.89672544080605,False,1.2942,1.9294,2,2,2,100.0,18.47568152177371,21.587301587301592,7.467248908296936,2.532751091703065,历史2/2次成功; 当前距低点2.53%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
7,83.2999117312489,77.38337977949803,603289,泰瑞机器,bottom_area,2022-12-23,8.92,2022-12-23,8.82,1.1337868480725584,1.9274376417233552,29.888712241653415,False,-0.2237,1.4544,1,1,1,100.0,27.034482758620705,27.034482758620705,8.866213151927441,1.1337868480725584,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
8,82.98796990962188,78.16424287683594,300382,斯莱克,bottom_area,2022-12-23,18.1,2022-12-23,17.77,1.857062464828373,5.79628587507035,28.34677419354839,False,-4.1314,1.1684,2,2,2,100.0,33.64701772389588,49.70059880239522,8.142937535171628,1.857062464828373,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
9,82.6092002842834,77.01125677344183,300667,必创科技,bottom_area,2022-12-23,14.61,2022-12-23,14.42,1.3176144244105377,3.6754507628293993,29.863813229571978,False,-1.0833,1.5288,1,1,1,100.0,27.287191726332534,27.287191726332534,8.682385575589462,1.3176144244105377,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
10,82.13942579450189,76.8673705377259,000810,创维数字,bottom_area,2022-12-23,13.37,2022-12-23,13.17,1.5186028853454767,2.9612756264236944,28.849270664505678,False,-0.0747,0.9204,2,2,2,100.0,12.310672668352654,12.689901697944595,8.481397114654524,1.5186028853454767,历史2/2次成功; 当前距低点1.52%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
11,81.74602936923675,75.63273719822828,300707,威唐工业,bottom_area,2022-12-23,14.24,2022-12-23,14.11,0.9213323883770431,3.189227498228215,29.308617234468944,False,-0.9047,1.7292,3,3,3,100.0,21.523521740472766,24.351297405189634,9.078667611622958,0.9213323883770431,历史3/3次成功; 当前距低点0.92%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
12,81.51678740838801,76.95809262898774,002362,汉王科技,bottom_area,2022-12-23,15.97,2022-12-23,15.66,1.9795657726692242,3.767560664112387,32.933618843683085,False,1.0759,6.8414,1,1,1,100.0,12.642487046632112,12.642487046632112,8.020434227330776,1.9795657726692242,历史1/1次成功; 当前距低点1.98%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
13,81.51343927252381,77.41499819178237,002423,中粮资本,bottom_area,2022-12-23,7.14,2022-12-23,6.98,2.2922636103151754,2.5787965616045803,28.41025641025641,False,0.7052,1.0913,1,1,1,100.0,18.932038834951456,18.932038834951456,7.7077363896848246,2.2922636103151754,历史1/1次成功; 当前距低点2.29%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
