rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.35808889393081,76.8516487804878,000789,万年青,bottom_area,2022-11-02,8.17,2022-10-31,7.79,4.878048780487804,4.878048780487804,30.008984725965863,False,1.9975,0.5963,1,1,1,100.0,47.599999999999994,47.599999999999994,15.121951219512198,4.878048780487804,历史1/1次成功; 当前距低点4.88%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
2,82.92999148453026,74.66454382826477,603030,全筑股份,bottom_area,2022-11-02,2.71,2022-10-31,2.6,4.230769230769226,4.999999999999996,32.98969072164948,False,0.0,2.6257,1,1,1,100.0,27.906976744186036,27.906976744186036,15.769230769230774,4.230769230769226,历史1/1次成功; 当前距低点4.23%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,81.02031321519372,73.3290347575418,002333,罗普斯金,bottom_area,2022-11-02,5.32,2022-10-31,5.09,4.518664047151286,5.500982318271125,28.711484593837532,False,-0.3745,3.4161,1,1,1,100.0,46.728971962616825,46.728971962616825,15.481335952848715,4.518664047151286,历史1/1次成功; 当前距低点4.52%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
