rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.72712652053403,79.5966013912133,002779,中坚科技,bottom_area,2025-05-30,99.9,2025-05-30,99.45,0.45248868778280826,3.5595776772247283,27.03059652212194,False,-3.3382,3.0433,4,4,4,100.0,30.635890319129533,38.253119429590015,19.547511312217193,0.45248868778280826,历史4/4次成功; 当前距低点0.45%; 最新日涨幅-3.34%; 状态bottom_area; 底部未确认
2,93.96681653637586,80.92625435381773,002889,东方嘉盛,bottom_area,2025-05-30,14.72,2025-05-30,14.46,1.7980636237897634,3.73443983402489,32.65020959478341,False,0.4093,2.6868,1,1,1,100.0,31.751824817518237,31.751824817518237,18.201936376210238,1.7980636237897634,历史1/1次成功; 当前距低点1.80%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
3,93.44410193384638,79.42144239396777,002304,洋河股份,bottom_area,2025-05-30,65.7,2025-05-29,65.0,1.0769230769230813,1.6615384615384587,31.57894736842105,False,-0.4998,0.2702,2,2,2,100.0,20.62810220081931,20.781426953567394,18.92307692307692,1.0769230769230813,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
4,88.79408543263965,78.53181818181818,301058,中粮科工,bottom_area,2025-05-30,10.79,2025-04-30,10.45,3.2535885167464107,8.038277511961722,29.77150537634409,True,-1.2809,1.1011,1,1,1,100.0,57.794273594909875,57.794273594909875,16.74641148325359,3.2535885167464107,历史1/1次成功; 当前距低点3.25%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
5,86.92699160953215,77.31159609674995,688543,国科军工,bottom_area,2025-05-30,45.38,2025-05-29,43.82,3.560018256503885,4.952076677316298,31.133113311331133,False,1.9088,4.7659,1,1,1,100.0,33.916331836445266,33.916331836445266,16.439981743496116,3.560018256503885,历史1/1次成功; 当前距低点3.56%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
6,84.46829432003432,70.9025130125991,002040,南京港,bottom_area,2025-05-30,10.15,2025-05-30,10.11,0.3956478733926897,9.000989119683483,30.27586206896552,False,-6.3653,10.2055,1,1,1,100.0,33.196721311475414,33.196721311475414,19.60435212660731,0.3956478733926897,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-6.37%; 状态bottom_area; 底部未确认
7,82.20902654867257,68.5075221238938,600770,综艺股份,bottom_area,2025-05-30,5.46,2025-05-30,5.46,0.0,6.776556776556779,27.68211920529801,False,-4.878,7.879,1,1,1,100.0,27.72861356932153,27.72861356932153,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.88%; 状态bottom_area; 底部未确认
8,77.42286648041748,66.88475409836066,301618,长联科技,bottom_area,2025-05-30,62.2,2025-05-30,61.0,1.967213114754103,8.163934426229515,32.177006893484545,False,2.895,18.1227,1,2,1,50.0,50.278688524590166,50.278688524590166,18.032786885245898,1.967213114754103,历史1/2次成功; 当前距低点1.97%; 最新日涨幅2.90%; 状态bottom_area; 底部未确认
9,73.18370389316354,62.610755550244825,688135,利扬芯片,bottom_area,2025-05-30,19.08,2025-05-30,18.81,1.435406698564591,4.199893673577899,27.290297642056444,False,-2.6531,4.2676,2,5,2,40.0,31.309047435333802,40.41850220264317,18.564593301435412,1.435406698564591,历史2/5次成功; 当前距低点1.44%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
10,70.26568432609682,59.55087381797257,000715,中兴商业,bottom_area,2025-05-30,5.48,2025-05-30,5.43,0.9208103130755195,2.9465930018416233,28.55263157894737,False,-1.7921,2.6577,2,4,2,50.0,26.722157697767457,29.105691056910565,19.07918968692448,0.9208103130755195,历史2/4次成功; 当前距低点0.92%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
11,70.07932860596995,58.70728468638371,002819,东方中科,bottom_area,2025-05-30,27.97,2025-05-30,27.89,0.28684116170669877,4.195051989960553,31.575073601570164,False,-2.9157,5.0078,2,5,2,40.0,36.08216416706984,51.677148846960186,19.713158838293303,0.28684116170669877,历史2/5次成功; 当前距低点0.29%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
12,67.48147989517916,56.90185917087204,002042,华孚时尚,bottom_area,2025-05-30,4.69,2025-05-30,4.66,0.64377682403434,3.0042918454935554,28.08641975308642,False,-2.4948,1.6546,1,2,1,50.0,42.41758241758243,42.41758241758243,19.356223175965663,0.64377682403434,历史1/2次成功; 当前距低点0.64%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
13,64.93678737668539,54.510209061857786,300819,聚杰微纤,bottom_area,2025-05-30,22.7,2025-05-30,22.61,0.39805395842547486,3.272888102609474,27.064516129032263,False,-2.4495,2.3632,1,2,1,50.0,26.54716175842936,26.54716175842936,19.601946041574525,0.39805395842547486,历史1/2次成功; 当前距低点0.40%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
