rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.46668537506744,81.41647058823528,002611,东方精工,bottom_area,2024-04-10,6.54,2024-04-10,6.46,1.2383900928792582,4.798761609907114,30.387931034482758,False,-2.5335,5.9534,1,1,1,100.0,145.12534818941506,145.12534818941506,8.761609907120743,1.2383900928792582,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
2,86.30757141681019,80.25203101923056,002657,中科金财,bottom_area,2024-04-10,13.69,2024-04-10,13.53,1.1825572801182567,4.951958610495195,29.08805031446541,False,-3.5915,3.1905,2,2,2,100.0,36.60355708548481,56.540447504302946,8.817442719881743,1.1825572801182567,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
3,84.95566972374446,80.58496002734603,002676,顺威股份,bottom_area,2024-04-10,4.13,2024-04-10,4.04,2.2277227722772244,4.207920792079206,27.72808586762075,False,-2.1327,3.849,3,3,3,100.0,24.323483592140306,39.33333333333333,7.7722772277227765,2.2277227722772244,历史3/3次成功; 当前距低点2.23%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
4,84.52997863925643,78.3774801939941,688327,云从科技,bottom_area,2024-04-10,11.72,2024-04-10,11.6,1.0344827586206984,6.2931034482758665,30.162552679108973,False,-3.6976,2.169,6,7,6,85.71428571428571,22.329267423613754,53.56783919597991,8.965517241379303,1.0344827586206984,历史6/7次成功; 当前距低点1.03%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
5,84.08197519953818,77.64013080023565,603000,人民网,bottom_area,2024-04-10,23.43,2024-04-10,23.24,0.8175559380378714,5.851979345955263,27.306850172036285,False,-4.7561,3.0166,4,4,4,100.0,24.592249134204234,48.493150684931514,9.18244406196213,0.8175559380378714,历史4/4次成功; 当前距低点0.82%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
6,80.5228940271674,77.39375,300580,贝斯特,bottom_area,2024-04-10,25.03,2024-04-09,24.32,2.9194078947368456,7.565789473684211,28.153618906942395,True,-3.7678,2.1629,1,1,1,100.0,53.89266817838245,53.89266817838245,7.080592105263155,2.9194078947368456,历史1/1次成功; 当前距低点2.92%; 最新日涨幅-3.77%; 状态bottom_area; 底部已确认
7,80.4851901926636,74.78774918657831,603106,恒银科技,bottom_area,2024-04-10,5.29,2024-04-10,5.23,1.1472275334607955,5.736137667304011,29.13279132791327,False,-3.9927,2.2856,3,4,3,75.0,27.625956789617884,34.60144927536232,8.852772466539205,1.1472275334607955,历史3/4次成功; 当前距低点1.15%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
8,79.20315519167279,74.82135224265541,688220,翱捷科技,bottom_area,2024-04-10,38.01,2024-04-09,37.26,2.0128824476650564,5.475040257648951,31.254612546125472,False,-2.9367,1.2723,3,4,3,75.0,28.20281840500936,45.103092783505154,7.987117552334944,2.0128824476650564,历史3/4次成功; 当前距低点2.01%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
9,77.52242680566955,73.6171279451639,600234,科新发展,bottom_area,2024-04-10,4.92,2024-04-10,4.81,2.2869022869022935,9.35550935550936,29.781021897810223,False,-5.9273,5.1694,2,2,2,100.0,14.469167523124357,16.366906474820148,7.7130977130977065,2.2869022869022935,历史2/2次成功; 当前距低点2.29%; 最新日涨幅-5.93%; 状态bottom_area; 底部未确认
10,76.4243970240333,70.62632818182276,300426,华智数媒,bottom_area,2024-04-10,8.21,2024-04-10,8.14,0.8599508599508634,6.019656019656021,27.9646017699115,False,-3.9766,1.6181,2,2,2,100.0,20.736645927476964,25.936811168258643,9.140049140049138,0.8599508599508634,历史2/2次成功; 当前距低点0.86%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
11,75.18422510965951,69.5587118051956,603178,圣龙股份,bottom_area,2024-04-10,27.45,2024-04-10,27.2,0.9191176470588236,4.999999999999998,30.25641025641026,False,-3.9202,2.8625,4,5,4,80.0,25.72204322843939,44.66270354096666,9.080882352941178,0.9191176470588236,历史4/5次成功; 当前距低点0.92%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
12,74.25198980518869,68.57913778407227,300548,长芯博创,bottom_area,2024-04-10,23.09,2024-04-10,22.9,0.8296943231441105,4.803493449781666,31.641791044776124,False,-3.9917,5.0337,1,1,1,100.0,26.026026026026024,26.026026026026024,9.17030567685589,0.8296943231441105,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
13,73.0690297522167,66.4847203599513,300474,景嘉微,bottom_area,2024-04-10,65.28,2024-04-10,65.25,0.045977011494254615,4.6130268199233795,30.056812091328123,False,-4.3657,3.1412,3,5,3,60.0,41.8255265922484,59.857142857142854,9.954022988505747,0.045977011494254615,历史3/5次成功; 当前距低点0.05%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
14,71.25100791175639,67.09010678982526,688039,当虹科技,bottom_area,2024-04-10,26.54,2024-04-10,26.06,1.8419033000767477,6.485034535686881,29.529475392103837,False,-2.9616,1.9373,3,5,3,60.0,17.04110921505497,17.31207289293849,8.158096699923254,1.8419033000767477,历史3/5次成功; 当前距低点1.84%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
15,70.34764617854837,65.45801157869413,002238,天威视讯,bottom_area,2024-04-10,9.96,2024-04-10,9.84,1.2195121951219614,4.674796747967489,30.704225352112672,False,-3.675,2.097,2,3,2,66.66666666666666,13.074369445728676,15.169902912621358,8.78048780487804,1.2195121951219614,历史2/3次成功; 当前距低点1.22%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
16,70.16962598869256,65.34082566430988,688316,青云科技,bottom_area,2024-04-10,34.6,2024-04-10,34.17,1.258413813286508,5.501902253438675,28.15391084945332,False,-4.0222,2.0175,2,3,2,66.66666666666666,12.921196193206702,13.030303030303022,8.741586186713493,1.258413813286508,历史2/3次成功; 当前距低点1.26%; 最新日涨幅-4.02%; 状态bottom_area; 底部未确认
17,69.18824636860515,68.89130110522059,002821,凯莱英,bottom_area,2024-04-10,81.2,2024-04-09,77.5,4.7741935483871005,8.993548387096773,28.39985218033998,True,-2.0861,2.0305,1,1,1,100.0,16.80893761044718,16.80893761044718,5.2258064516129,4.7741935483871005,历史1/1次成功; 当前距低点4.77%; 最新日涨幅-2.09%; 状态bottom_area; 底部已确认
