rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.95232114368595,79.84673469387758,002150,正泰电源,bottom_area,2023-08-21,13.79,2023-08-21,13.72,0.5102040816326422,1.6763848396501357,28.54166666666666,False,0.0,0.9159,1,1,1,100.0,164.87025948103792,164.87025948103792,14.489795918367356,0.5102040816326422,历史1/1次成功; 当前距低点0.51%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,89.02267800527963,79.82456444703018,002219,新里程,bottom_area,2023-08-21,3.71,2023-08-21,3.65,1.6438356164383578,3.835616438356168,29.807692307692314,False,0.0,0.5422,1,1,1,100.0,23.938223938223942,23.938223938223942,13.35616438356164,1.6438356164383578,历史1/1次成功; 当前距低点1.64%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,87.22847317427883,77.7135454893632,002755,奥赛康,bottom_area,2023-08-21,7.8,2023-08-08,7.7,1.298701298701294,6.363636363636354,31.00358422939068,False,-0.2558,0.2423,1,1,1,100.0,30.831099195710454,30.831099195710454,13.701298701298706,1.298701298701294,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
4,86.25687660932994,75.03977675894971,688300,联瑞新材,bottom_area,2023-08-21,41.51,2023-08-21,41.5,0.02409638554216388,2.3855421686747036,29.059829059829063,False,-1.1667,0.3447,2,2,2,100.0,24.003852247235756,26.809910956252438,14.975903614457836,0.02409638554216388,历史2/2次成功; 当前距低点0.02%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
5,84.36155455016278,76.97840558666218,688328,深科达,bottom_area,2023-08-21,22.26,2023-08-17,21.7,2.580645161290333,5.898617511520743,31.04544010168414,False,-0.8905,2.6182,2,2,2,100.0,25.92621803443088,29.170984455958543,12.419354838709666,2.580645161290333,历史2/2次成功; 当前距低点2.58%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
6,83.42856395706336,73.29331651045423,600935,华塑股份,bottom_area,2023-08-21,3.67,2023-06-27,3.65,0.5479452054794526,7.671232876712336,28.571428571428577,True,-0.8108,0.3733,1,1,1,100.0,28.50877192982458,28.50877192982458,14.452054794520548,0.5479452054794526,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-0.81%; 状态bottom_area; 底部已确认
7,81.77622642749779,71.30156488158444,300604,长川科技,bottom_area,2023-08-21,34.75,2023-08-21,34.7,0.1440922190201647,2.6512968299711654,30.138916851218035,False,-1.6973,1.2711,3,4,3,75.0,26.210188929840978,36.28082648300379,14.855907780979836,0.1440922190201647,历史3/4次成功; 当前距低点0.14%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
8,81.7530015792133,71.12400610575543,300438,鹏辉能源,bottom_area,2023-08-21,38.61,2023-08-21,38.6,0.02590673575129018,2.4611398963730458,28.847926267281103,False,-2.0051,2.1983,1,1,1,100.0,19.640179910044974,19.640179910044974,14.974093264248708,0.02590673575129018,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
9,80.09367406280043,69.99553296903075,300683,海特生物,bottom_area,2023-08-21,33.76,2023-08-21,33.67,0.2673002673002563,2.8512028512028538,28.285410010649624,False,-1.5743,0.8459,1,1,1,100.0,16.532137518684582,16.532137518684582,14.732699732699745,0.2673002673002563,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
10,79.06421945489733,69.72061967994553,002519,银河电子,bottom_area,2023-08-21,5.38,2023-08-17,5.34,0.7490636704119857,4.494382022471914,28.03234501347709,False,-0.3704,0.9487,1,1,1,100.0,20.959595959595962,20.959595959595962,14.250936329588013,0.7490636704119857,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
11,78.15830731561125,69.17862407683188,002819,东方中科,bottom_area,2023-08-21,25.55,2023-08-17,25.31,0.9482418016594311,5.175819834057694,27.68571428571429,False,-0.6223,0.3952,1,1,1,100.0,20.487179487179493,20.487179487179493,14.051758198340568,0.9482418016594311,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
12,77.46089592099001,73.16954119104484,002765,蓝黛科技,bottom_area,2023-08-21,6.59,2023-08-21,6.31,4.437400950871637,8.874801901743274,29.339305711086226,False,-4.631,6.3399,3,3,3,100.0,21.75707182275358,28.213879408418663,10.562599049128362,4.437400950871637,历史3/3次成功; 当前距低点4.44%; 最新日涨幅-4.63%; 状态bottom_area; 底部未确认
13,77.44220881403945,72.3015054452274,603015,弘讯科技,bottom_area,2023-08-21,8.72,2023-08-17,8.4,3.809523809523813,8.095238095238091,29.883138564273786,True,-1.9123,1.0426,1,1,1,100.0,23.318385650224208,23.318385650224208,11.190476190476186,3.809523809523813,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-1.91%; 状态bottom_area; 底部已确认
14,77.30300734747006,67.34557848126563,688248,南网科技,bottom_area,2023-08-21,30.08,2023-08-21,30.05,0.09983361064891043,3.460898502495837,30.083759888320145,False,-2.2742,2.3536,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,14.900166389351089,0.09983361064891043,历史2/3次成功; 当前距低点0.10%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
