rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.5796526547426,78.07312311947653,688037,芯源微,bottom_area,2022-04-12,127.29,2022-04-12,124.86,1.9461797212878478,7.063911580970693,32.50810810810811,False,-1.699,2.5459,2,2,2,100.0,24.034477871036746,27.322614278658854,13.053820278712152,1.9461797212878478,历史2/2次成功; 当前距低点1.95%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
2,85.7810526395955,79.65185757593387,300490,华自科技,bottom_area,2022-04-12,12.95,2022-04-12,12.51,3.517186250999197,3.836930455635495,27.39408009286129,False,1.251,1.8693,2,2,2,100.0,29.306678646301293,32.06349206349206,11.482813749000803,3.517186250999197,历史2/2次成功; 当前距低点3.52%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
3,83.26378099011274,76.29047931671873,000788,北大医药,bottom_area,2022-04-12,9.54,2022-04-11,9.28,2.8017241379310325,6.896551724137938,28.00620636152057,False,1.5974,5.3709,1,1,1,100.0,19.13123844731978,19.13123844731978,12.198275862068966,2.8017241379310325,历史1/1次成功; 当前距低点2.80%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
4,82.64327711952757,76.0797653793152,002474,榕基软件,bottom_area,2022-04-12,6.41,2022-04-12,6.22,3.054662379421228,3.2154340836012896,31.11849390919158,False,1.746,2.297,1,1,1,100.0,21.0989010989011,21.0989010989011,11.945337620578773,3.054662379421228,历史1/1次成功; 当前距低点3.05%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
5,82.23320150722456,75.67330122326881,002196,方正电机,bottom_area,2022-04-12,8.15,2022-04-11,7.91,3.0341340075853376,8.975979772439938,29.626334519572957,False,1.4944,3.0429,1,1,1,100.0,18.661971830985923,18.661971830985923,11.965865992414662,3.0341340075853376,历史1/1次成功; 当前距低点3.03%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
6,81.4721529481791,75.94496724156252,603215,比依股份,bottom_area,2022-04-12,15.87,2022-04-12,15.3,3.7254901960784217,3.9869281045751594,32.150776053215075,False,1.1472,9.6882,1,1,1,100.0,28.59723058398555,28.59723058398555,11.274509803921578,3.7254901960784217,历史1/1次成功; 当前距低点3.73%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
7,80.09934124006985,75.0733993344694,300435,中泰股份,bottom_area,2022-04-12,16.05,2022-04-11,15.43,4.018146467919643,6.416072585871692,29.12264584290308,False,3.2819,2.1466,1,1,1,100.0,27.498781082398814,27.498781082398814,10.981853532080356,4.018146467919643,历史1/1次成功; 当前距低点4.02%; 最新日涨幅3.28%; 状态bottom_area; 底部未确认
8,79.68751330664337,72.64084024742968,002349,精华制药,bottom_area,2022-04-12,17.04,2022-04-12,16.62,2.527075812274357,7.521058965102285,31.717337715694327,False,-1.2174,7.7984,1,1,1,100.0,18.615984405458093,18.615984405458093,12.472924187725642,2.527075812274357,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
9,79.55514535735448,72.7939373482073,603063,禾望电气,bottom_area,2022-04-12,29.36,2022-04-12,28.58,2.7291812456263163,5.353393981805462,32.09788548348777,False,-0.7437,1.3223,1,1,1,100.0,21.916508538899436,21.916508538899436,12.270818754373684,2.7291812456263163,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
10,78.58469051284142,73.32958417292546,688148,芳源股份,bottom_area,2022-04-12,20.31,2022-04-12,19.57,3.7812979049565585,4.343382728666334,29.70545977011494,False,2.369,2.8798,1,1,1,100.0,15.220125786163516,15.220125786163516,11.21870209504344,3.7812979049565585,历史1/1次成功; 当前距低点3.78%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
11,77.7300996010579,70.8672667621417,300612,宣亚国际,bottom_area,2022-04-12,21.84,2022-04-11,21.3,2.5352112676056295,7.276995305164323,28.2103134479272,True,1.1111,11.1973,2,3,2,66.66666666666666,16.402590245246625,17.015706806282722,12.46478873239437,2.5352112676056295,历史2/3次成功; 当前距低点2.54%; 最新日涨幅1.11%; 状态bottom_area; 底部已确认
