rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.22422143282664,84.9937704918033,002636,金安国纪,bottom_area,2022-10-11,7.43,2022-10-11,7.32,1.5027322404371506,2.049180327868845,27.236580516898606,False,0.5413,0.2081,1,1,1,100.0,69.0,69.0,18.49726775956285,1.5027322404371506,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
2,97.8985253835728,84.31558955895588,002202,金风科技,bottom_area,2022-10-11,11.31,2022-10-10,11.11,1.80018001800181,3.78037803780378,29.50507614213198,False,1.435,0.481,1,1,1,100.0,55.172413793103445,55.172413793103445,18.199819981998193,1.80018001800181,历史1/1次成功; 当前距低点1.80%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
3,96.41724833268431,83.55065326633165,000762,西藏矿业,bottom_area,2022-10-11,40.65,2022-10-10,39.8,2.135678391959803,5.904522613065331,28.223624887285855,False,1.321,3.0378,1,1,1,100.0,71.15671641791043,71.15671641791043,17.8643216080402,2.135678391959803,历史1/1次成功; 当前距低点2.14%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
4,95.48490932727337,82.1120821908506,688199,久日新材,bottom_area,2022-10-11,32.58,2022-10-11,32.03,1.7171401810802283,2.497658445207609,32.4831365935919,False,0.7421,0.3853,1,1,1,100.0,37.135278514588855,37.135278514588855,18.28285981891977,1.7171401810802283,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
5,95.42191879727359,81.9739111509425,000620,盈新发展,bottom_area,2022-10-11,3.06,2022-10-11,3.01,1.6611295681063212,5.315614617940204,32.662192393736014,False,-5.5556,10.7034,3,3,3,100.0,35.0606804635748,58.4192439862543,18.33887043189368,1.6611295681063212,历史3/3次成功; 当前距低点1.66%; 最新日涨幅-5.56%; 状态bottom_area; 底部未确认
6,94.89697922104578,80.84410448279407,300604,长川科技,bottom_area,2022-10-11,45.39,2022-10-11,44.85,1.2040133779264195,6.6666666666666705,28.21702944942381,False,-0.5042,4.0503,2,2,2,100.0,29.834704217560827,36.28082648300379,18.79598662207358,1.2040133779264195,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
7,94.81619178495926,82.5323126873127,002375,亚厦股份,bottom_area,2022-10-11,4.3,2022-10-11,4.2,2.3809523809523725,3.5714285714285587,29.648241206030146,False,0.2331,0.5533,2,2,2,100.0,30.864968364968366,36.9047619047619,17.619047619047628,2.3809523809523725,历史2/2次成功; 当前距低点2.38%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
8,94.36783599468544,80.49378209576683,688055,龙腾光电,bottom_area,2022-10-11,3.98,2022-10-11,3.93,1.2722646310432524,2.7989821882951618,31.052631578947366,False,-0.2506,0.1633,1,1,1,100.0,45.45454545454546,45.45454545454546,18.72773536895675,1.2722646310432524,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
9,94.16900281642582,80.95257968849981,300502,新易盛,bottom_area,2022-10-11,20.36,2022-10-11,20.02,1.6983016983016976,3.746253746253746,31.649026971662682,False,0.2956,1.2432,1,1,1,100.0,30.670470756062763,30.670470756062763,18.301698301698305,1.6983016983016976,历史1/1次成功; 当前距低点1.70%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
10,94.0715856254434,81.10185567010306,002283,天润工业,bottom_area,2022-10-11,4.94,2022-10-10,4.85,1.8556701030927991,4.536082474226818,32.54520166898471,False,1.4374,0.3853,1,1,1,100.0,33.402061855670105,33.402061855670105,18.1443298969072,1.8556701030927991,历史1/1次成功; 当前距低点1.86%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
11,93.88291705498598,81.255390199637,600178,东安动力,bottom_area,2022-10-11,5.92,2022-10-11,5.8,2.0689655172413812,2.413793103448286,28.746928746928752,False,0.0,0.5198,1,1,1,100.0,36.84210526315788,36.84210526315788,17.93103448275862,2.0689655172413812,历史1/1次成功; 当前距低点2.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
