rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.00498847741513,82.68174794513202,000882,华联股份,bottom_area,2024-12-24,2.1,2024-12-24,2.04,2.9411764705882377,4.901960784313729,30.136986301369863,False,0.9615,4.8799,3,3,3,100.0,21.868980097167658,29.268292682926838,12.058823529411763,2.9411764705882377,历史3/3次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
2,88.49090330526083,80.30353202353201,600327,大东方,bottom_area,2024-12-24,5.37,2024-12-24,5.25,2.285714285714288,4.571428571428576,27.884615384615387,False,-1.105,5.5889,3,3,3,100.0,23.521293521293522,33.030303030303024,12.714285714285712,2.285714285714288,历史3/3次成功; 当前距低点2.29%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
3,87.46416949331802,79.12707773851591,600106,重庆路桥,bottom_area,2024-12-24,5.78,2024-12-24,5.66,2.1201413427561855,4.9469964664310995,29.514321295143205,False,-1.0274,3.2587,1,1,1,100.0,48.50000000000001,48.50000000000001,12.879858657243815,2.1201413427561855,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
4,86.84649585032176,77.80338042875918,600148,长春一东,bottom_area,2024-12-24,19.1,2024-12-24,18.8,1.5957446808510676,7.180851063829776,27.636643571978443,False,-4.3565,3.517,2,2,2,100.0,28.503646780105495,40.489130434782616,13.404255319148934,1.5957446808510676,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
5,83.59353501299007,77.09945146890558,603088,宁波精达,bottom_area,2024-12-24,9.48,2024-12-24,9.19,3.155603917301425,4.026115342763885,32.07686622320769,False,1.0661,4.0808,3,4,3,75.0,31.985098926628154,46.15384615384614,11.844396082698575,3.155603917301425,历史3/4次成功; 当前距低点3.16%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
6,82.95134731331353,73.81073672054276,002173,创新医疗,bottom_area,2024-12-24,9.04,2024-12-24,8.93,1.2318029115341482,7.502799552071668,28.041901692183725,False,-8.871,19.6228,3,4,3,75.0,23.40993203677754,27.109266943291825,13.76819708846585,1.2318029115341482,历史3/4次成功; 当前距低点1.23%; 最新日涨幅-8.87%; 状态bottom_area; 底部未确认
7,82.37698573124511,74.33324708857037,300635,中达安,bottom_area,2024-12-24,10.29,2024-12-24,10.09,1.9821605550049484,6.3429137760158625,27.200577200577197,False,-2.0,4.7291,3,4,3,75.0,25.202006204202455,32.72214386459803,13.01783944499505,1.9821605550049484,历史3/4次成功; 当前距低点1.98%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
8,82.12079270712185,71.40938496271465,000586,汇源通信,bottom_area,2024-12-24,10.0,2024-12-24,10.0,0.0,4.900000000000002,29.87377279102384,False,-9.991,9.6165,2,2,2,100.0,26.66336001459488,30.06430868167203,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
9,82.10322607968767,75.4322870387093,603058,永吉股份,bottom_area,2024-12-24,9.08,2024-12-23,8.82,2.94784580498866,7.482993197278913,27.227722772277218,False,2.2523,2.0544,1,1,1,100.0,16.308470290771165,16.308470290771165,12.05215419501134,2.94784580498866,历史1/1次成功; 当前距低点2.95%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
10,80.86014628217161,73.29907745522497,002383,合众思壮,bottom_area,2024-12-24,8.72,2024-12-24,8.53,2.227432590855818,5.509964830011731,28.379513014273726,False,-0.3429,4.9779,1,1,1,100.0,18.48184818481848,18.48184818481848,12.77256740914418,2.227432590855818,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
11,80.65411395594836,73.22478237420434,002741,光华科技,bottom_area,2024-12-24,18.16,2024-12-24,17.75,2.3098591549295784,5.126760563380282,29.563492063492063,False,-4.2699,14.3156,3,4,3,75.0,33.47452283571915,40.99999999999999,12.690140845070422,2.3098591549295784,历史3/4次成功; 当前距低点2.31%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
12,80.14905096620663,73.46646098003629,600982,宁波能源,bottom_area,2024-12-24,4.37,2024-12-24,4.25,2.8235294117647083,4.941176470588235,31.11831442463533,False,-6.2232,13.1592,2,2,2,100.0,20.23713999387005,23.3265720081136,12.176470588235292,2.8235294117647083,历史2/2次成功; 当前距低点2.82%; 最新日涨幅-6.22%; 状态bottom_area; 底部未确认
13,79.8335855592224,72.501089052751,002321,华英农业,bottom_area,2024-12-24,2.64,2024-12-24,2.58,2.325581395348839,5.426356589147292,27.11864406779661,False,-4.0,3.3482,1,1,1,100.0,25.609756097560986,25.609756097560986,12.67441860465116,2.325581395348839,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
14,78.09698693096132,73.25313526853603,002339,积成电子,bottom_area,2024-12-24,7.69,2024-12-24,7.39,4.059539918809212,10.013531799729378,30.61032863849766,False,0.5229,15.9518,4,6,4,66.66666666666666,40.44204095029229,82.94930875576038,10.940460081190787,4.059539918809212,历史4/6次成功; 当前距低点4.06%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
15,77.57925106128287,70.37019710838646,002313,日海智能,bottom_area,2024-12-24,8.59,2024-12-24,8.4,2.261904761904756,7.380952380952372,31.70731707317073,False,-3.0474,5.4731,3,4,3,75.0,17.5394621802651,20.08238928939237,12.738095238095243,2.261904761904756,历史3/4次成功; 当前距低点2.26%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
16,77.4096829967199,69.02819235996539,600198,大唐电信,bottom_area,2024-12-24,9.78,2024-12-24,9.65,1.3471502590673472,7.357512953367866,31.994362226920366,False,-7.5614,12.3736,3,5,3,60.0,31.611263175478182,43.60189573459716,13.652849740932652,1.3471502590673472,历史3/5次成功; 当前距低点1.35%; 最新日涨幅-7.56%; 状态bottom_area; 底部未确认
17,76.83527407637108,69.4327469112785,002682,龙洲股份,bottom_area,2024-12-24,4.46,2024-12-24,4.37,2.0594965675057177,5.263157894736832,32.248062015503876,False,-1.5453,5.7444,2,3,2,66.66666666666666,34.52544311034879,42.121212121212146,12.940503432494282,2.0594965675057177,历史2/3次成功; 当前距低点2.06%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
18,76.31768656894326,70.84618147645403,000564,供销大集,bottom_area,2024-12-24,3.25,2024-12-24,3.14,3.503184713375792,8.280254777070056,28.310502283105016,False,-4.1298,5.5906,1,1,1,100.0,31.147540983606568,31.147540983606568,11.496815286624207,3.503184713375792,历史1/1次成功; 当前距低点3.50%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
19,76.18930535076063,69.56800468328805,603256,宏和科技,bottom_area,2024-12-24,9.02,2024-12-24,8.79,2.6166097838452838,4.436860068259393,27.83251231527094,False,0.2222,1.1603,2,3,2,66.66666666666666,19.608646902089383,22.318339100346023,12.383390216154716,2.6166097838452838,历史2/3次成功; 当前距低点2.62%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
20,76.06781806953879,68.33383255343854,300651,金陵体育,bottom_area,2024-12-24,13.43,2024-12-24,13.2,1.7424242424242458,5.000000000000002,30.121757543673905,False,-1.6117,8.7975,3,5,3,60.0,22.508386162181807,25.720461095100855,13.257575757575754,1.7424242424242458,历史3/5次成功; 当前距低点1.74%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
21,75.66746488240929,69.22887375214701,002148,北纬科技,bottom_area,2024-12-24,6.79,2024-12-23,6.61,2.7231467473524917,10.136157337367624,31.71487603305785,False,2.1053,11.8725,2,3,2,66.66666666666666,19.09129929808615,19.756097560975626,12.276853252647507,2.7231467473524917,历史2/3次成功; 当前距低点2.72%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
22,75.20483390387074,69.19502797743866,000668,荣丰控股,bottom_area,2024-12-24,7.15,2024-12-24,6.94,3.0259365994236305,8.64553314121037,29.75708502024292,False,-6.658,6.0782,1,1,1,100.0,16.420233463035032,16.420233463035032,11.97406340057637,3.0259365994236305,历史1/1次成功; 当前距低点3.03%; 最新日涨幅-6.66%; 状态bottom_area; 底部未确认
23,74.51473193626299,67.52806228825719,000620,盈新发展,bottom_area,2024-12-24,2.31,2024-12-24,2.26,2.2123893805309858,3.539823008849561,27.795527156549525,False,-0.431,1.161,4,7,4,57.14285714285714,30.12762713600226,58.4192439862543,12.787610619469014,2.2123893805309858,历史4/7次成功; 当前距低点2.21%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
