rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.06520751090557,79.37744914470643,688303,大全能源,bottom_area,2023-12-07,29.53,2023-12-07,28.8,2.5347222222222237,2.8124999999999956,32.10749646393211,False,0.2036,1.4974,1,1,1,100.0,32.45492371705965,32.45492371705965,12.465277777777775,2.5347222222222237,历史1/1次成功; 当前距低点2.53%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
2,85.53529275001542,74.7509883767866,300538,同益股份,bottom_area,2023-12-07,18.76,2023-12-07,18.71,0.2672367717798007,1.2827365045430166,28.587786259541982,False,-0.2128,3.5391,2,2,2,100.0,25.431657077658826,30.150753768844226,14.7327632282202,0.2672367717798007,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
3,84.38506500611145,75.94385009429867,002142,宁波银行,bottom_area,2023-12-07,21.03,2023-12-07,20.65,1.8401937046004968,2.32445520581114,28.988995873452545,False,-0.4733,0.6449,1,1,1,100.0,27.95425667090217,27.95425667090217,13.159806295399504,1.8401937046004968,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
4,83.36526424812917,76.24157263467323,688282,理工导航,bottom_area,2023-12-07,38.39,2023-12-06,37.38,2.7019796682717976,4.842161583734604,32.62436914203315,False,1.8302,6.2887,1,1,1,100.0,17.645625152327572,17.645625152327572,12.298020331728202,2.7019796682717976,历史1/1次成功; 当前距低点2.70%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
5,82.43084151159889,74.04702177737039,300683,海特生物,bottom_area,2023-12-07,36.83,2023-12-06,36.2,1.7403314917126944,5.220994475138123,29.89930286599535,False,-1.7867,1.431,1,1,1,100.0,16.532137518684582,16.532137518684582,13.259668508287307,1.7403314917126944,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
6,77.55119353384518,67.86172395856092,603353,和顺石油,bottom_area,2023-12-07,26.81,2023-12-07,26.72,0.3368263473053887,11.639221556886225,27.391304347826086,False,-9.7002,5.6653,3,4,3,75.0,20.294021668909693,27.079174983366617,14.663173652694612,0.3368263473053887,历史3/4次成功; 当前距低点0.34%; 最新日涨幅-9.70%; 状态bottom_area; 底部未确认
7,73.2428741613954,69.86751773049644,002137,实益达,bottom_area,2023-12-07,7.4,2023-11-30,7.05,4.964539007092206,5.6737588652482325,27.31958762886598,False,0.8174,9.3696,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,10.035460992907794,4.964539007092206,历史2/3次成功; 当前距低点4.96%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
8,67.5108784595234,63.88937154799223,300511,雪榕生物,bottom_area,2023-12-07,5.76,2023-10-30,5.51,4.537205081669692,8.34845735027223,27.212681638044923,True,-1.0309,1.9721,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,10.462794918330308,4.537205081669692,历史2/3次成功; 当前距低点4.54%; 最新日涨幅-1.03%; 状态bottom_area; 底部已确认
9,64.98906884528999,61.123562348710145,600328,中盐化工,bottom_area,2023-12-07,7.93,2023-10-26,7.61,4.204993429697758,8.147174770039422,28.207547169811313,True,0.507,0.7806,1,2,1,50.0,37.26315789473683,37.26315789473683,10.79500657030224,4.204993429697758,历史1/2次成功; 当前距低点4.20%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
10,63.26979035976664,58.29971822715754,605086,龙高股份,bottom_area,2023-12-07,27.56,2023-11-30,26.73,3.105125327347543,6.808829031051254,32.889781571679634,False,0.0,6.1728,1,2,1,50.0,17.79249448123621,17.79249448123621,11.894874672652456,3.105125327347543,历史1/2次成功; 当前距低点3.11%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,51.46570273849632,45.57335343057807,603211,晋拓股份,bottom_area,2023-12-07,18.69,2023-12-07,18.51,0.9724473257698525,6.050783360345744,28.200155159038008,False,-5.4628,35.1652,1,3,1,33.33333333333333,15.200000000000008,15.200000000000008,14.027552674230147,0.9724473257698525,历史1/3次成功; 当前距低点0.97%; 最新日涨幅-5.46%; 状态bottom_area; 底部未确认
