rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.30398167136634,75.07707254550118,300359,全通教育,bottom_area,2022-08-03,4.76,2022-08-02,4.7,1.2765957446808427,8.51063829787233,30.882352941176467,False,-0.4184,1.3415,1,1,1,100.0,16.38554216867469,16.38554216867469,13.723404255319158,1.2765957446808427,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
2,83.5475,72.65,002150,正泰电源,bottom_area,2022-08-03,9.01,2022-08-03,9.01,0.0,5.105438401775815,32.102486812358705,False,-9.99,13.645,1,1,1,100.0,164.87025948103792,164.87025948103792,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
3,81.02170706518193,70.94398886827456,002110,三钢闽光,bottom_area,2022-08-03,5.41,2022-08-03,5.39,0.37105751391466535,2.968460111317257,27.456258411843876,False,-1.9928,0.5864,1,1,1,100.0,22.90322580645161,22.90322580645161,14.628942486085334,0.37105751391466535,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
4,80.65973362469016,70.50970751479032,000619,海螺新材,bottom_area,2022-08-03,7.11,2022-08-03,7.09,0.28208744710861017,6.488011283497884,29.592850049652437,False,-3.0014,4.0418,1,1,1,100.0,29.692832764505106,29.692832764505106,14.717912552891388,0.28208744710861017,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
5,79.4826411070532,70.18429418858577,000715,中兴商业,bottom_area,2022-08-03,4.91,2022-08-03,4.87,0.8213552361396311,4.928131416837787,27.421758569299552,False,-1.6032,2.524,1,1,1,100.0,24.33862433862435,24.33862433862435,14.178644763860367,0.8213552361396311,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
6,79.38925275611442,70.65085725368496,002761,浙江建投,bottom_area,2022-08-03,24.51,2022-08-02,24.21,1.239157372986372,8.756712102437,31.93702558335676,False,-2.0775,3.299,2,3,2,66.66666666666666,31.018652674339886,43.73730534867976,13.760842627013629,1.239157372986372,历史2/3次成功; 当前距低点1.24%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
7,77.47379483020754,68.5095694313406,600248,陕建股份,bottom_area,2022-08-03,4.49,2022-08-03,4.45,0.8988764044943828,4.044943820224713,28.2258064516129,False,-1.7505,1.5044,1,1,1,100.0,16.28498727735369,16.28498727735369,14.101123595505616,0.8988764044943828,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
8,76.98765463406444,67.60320458303804,601007,金陵饭店,bottom_area,2022-08-03,7.69,2022-08-03,7.65,0.5228758169934644,5.88235294117646,31.574239713774592,False,-3.6341,1.235,1,1,1,100.0,17.018072289156624,17.018072289156624,14.477124183006534,0.5228758169934644,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-3.63%; 状态bottom_area; 底部未确认
9,76.81190929831386,67.42481973386256,002379,宏桥控股,bottom_area,2022-08-03,3.99,2022-08-03,3.97,0.5037783375314866,8.81612090680101,28.725314183123878,False,-7.4246,8.9753,1,1,1,100.0,15.824915824915816,15.824915824915816,14.496221662468514,0.5037783375314866,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-7.42%; 状态bottom_area; 底部未确认
10,63.966974449525466,58.82064811217902,688185,康希诺,bottom_area,2022-08-03,153.06,2022-08-02,148.61,2.994414911513349,6.76266738442903,31.827148034313495,False,1.1499,2.5359,1,2,1,50.0,19.236097367900253,19.236097367900253,12.00558508848665,2.994414911513349,历史1/2次成功; 当前距低点2.99%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
11,62.85640649382889,55.04462264150942,601015,陕西黑猫,bottom_area,2022-08-03,5.32,2022-08-02,5.3,0.3773584905660465,5.094339622641518,27.1978021978022,False,-1.4815,0.7388,1,4,1,25.0,65.6514382402707,65.6514382402707,14.622641509433954,0.3773584905660465,历史1/4次成功; 当前距低点0.38%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
12,58.19441811405472,53.391654470989394,603069,海汽集团,bottom_area,2022-08-03,25.78,2022-08-02,25.06,2.8731045490822127,8.180367118914608,28.029867892016085,True,-2.5699,4.4292,1,3,1,33.33333333333333,21.284943599803825,21.284943599803825,12.126895450917786,2.8731045490822127,历史1/3次成功; 当前距低点2.87%; 最新日涨幅-2.57%; 状态bottom_area; 底部已确认
