rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
39,74.82693586954265,70.08501366816473,002298,中电鑫龙,bottom_area,2024-01-29,4.7,2024-01-24,4.52,3.982300884955766,9.955752212389385,29.59501557632399,True,-3.8855,1.5304,1,1,1,100.0,23.734729493891784,23.734729493891784,11.017699115044232,3.982300884955766,历史1/1次成功; 当前距低点3.98%; 最新日涨幅-3.89%; 状态bottom_area; 底部已确认
40,74.0449691142588,69.56316331837355,002439,启明星辰,bottom_area,2024-01-29,20.1,2024-01-23,19.3,4.145077720207258,10.82901554404145,29.070194781330393,True,-4.1945,1.1458,1,1,1,100.0,22.924411400247834,22.924411400247834,10.854922279792742,4.145077720207258,历史1/1次成功; 当前距低点4.15%; 最新日涨幅-4.19%; 状态bottom_area; 底部已确认
41,73.8871420282095,64.41812772853285,603305,旭升集团,bottom_area,2024-01-29,14.3,2024-01-29,14.28,0.14005602240897305,3.7815126050420234,29.09632571996028,False,-1.9877,0.9959,2,3,2,66.66666666666666,23.875208564293793,32.41061130334487,14.859943977591024,0.14005602240897305,历史2/3次成功; 当前距低点0.14%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
42,73.87434462047312,70.40459612137478,300517,海波重科,bottom_area,2024-01-29,10.46,2024-01-23,9.97,4.914744232698096,12.036108324974917,31.098825155494126,True,-4.0367,1.7959,1,1,1,100.0,36.88286544046467,36.88286544046467,10.085255767301904,4.914744232698096,历史1/1次成功; 当前距低点4.91%; 最新日涨幅-4.04%; 状态bottom_area; 底部已确认
43,73.61255646219847,68.85122333278112,002338,奥普光电,bottom_area,2024-01-29,25.53,2024-01-24,24.57,3.9072039072039106,10.7041107041107,27.564858490566042,True,-3.2955,1.3895,1,1,1,100.0,16.18090452261308,16.18090452261308,11.092796092796089,3.9072039072039106,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-3.30%; 状态bottom_area; 底部已确认
44,73.05348359595678,69.02254478667089,600416,湘电股份,bottom_area,2024-01-29,12.44,2024-01-23,11.91,4.4500419815281225,11.586901763224173,29.149315883402732,True,-4.6743,0.9916,1,1,1,100.0,23.756131744919415,23.756131744919415,10.549958018471878,4.4500419815281225,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-4.67%; 状态bottom_area; 底部已确认
45,72.79377197047805,65.98056178604908,002843,泰嘉股份,bottom_area,2024-01-29,19.32,2024-01-29,18.9,2.222222222222231,9.947089947089962,29.080675422138842,False,-6.5312,2.2584,2,3,2,66.66666666666666,28.175063365855337,31.56626506024095,12.777777777777768,2.222222222222231,历史2/3次成功; 当前距低点2.22%; 最新日涨幅-6.53%; 状态bottom_area; 底部未确认
46,71.53444741334174,62.80602091671157,300530,领湃科技,bottom_area,2024-01-29,19.5,2024-01-29,19.4,0.5154639175257806,6.1340206185567085,28.676470588235297,False,-5.9334,1.5125,3,5,3,60.0,27.802573379948058,34.07510431154381,14.48453608247422,0.5154639175257806,历史3/5次成功; 当前距低点0.52%; 最新日涨幅-5.93%; 状态bottom_area; 底部未确认
47,70.26540409659378,65.02568046202335,002806,华锋股份,bottom_area,2024-01-29,10.53,2024-01-24,10.19,3.336604514229636,10.402355250245344,27.266238401142047,True,-4.0984,2.6962,2,3,2,66.66666666666666,27.507914450538966,34.66407010710809,11.663395485770364,3.336604514229636,历史2/3次成功; 当前距低点3.34%; 最新日涨幅-4.10%; 状态bottom_area; 底部已确认
48,70.24451039057631,61.74949338195985,688095,福昕软件,bottom_area,2024-01-29,51.9,2024-01-29,51.6,0.5813953488372038,6.511627906976742,27.892677473448856,False,-3.8711,2.277,2,3,2,66.66666666666666,25.152731777645194,31.679509356817103,14.418604651162795,0.5813953488372038,历史2/3次成功; 当前距低点0.58%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
49,67.35644799710467,59.773943782684235,301512,智信精密,bottom_area,2024-01-29,48.3,2024-01-24,47.78,1.0883214734198325,7.785684386772705,28.225927595012763,True,-3.1288,8.4915,1,2,1,50.0,24.490950226244347,24.490950226244347,13.911678526580168,1.0883214734198325,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-3.13%; 状态bottom_area; 底部已确认
50,66.17040421973017,59.1534821148094,688321,微芯生物,bottom_area,2024-01-29,17.13,2024-01-24,16.88,1.481042654028436,7.760663507109018,29.987557030277895,True,-2.5597,0.5407,1,2,1,50.0,15.754082612872244,15.754082612872244,13.518957345971563,1.481042654028436,历史1/2次成功; 当前距低点1.48%; 最新日涨幅-2.56%; 状态bottom_area; 底部已确认
51,65.4655041277007,60.53285705086958,600418,江淮汽车,bottom_area,2024-01-29,13.18,2024-01-23,12.76,3.2915360501567394,8.620689655172411,30.0438596491228,True,-3.2305,1.7979,2,4,2,50.0,22.244942178639526,24.365079365079367,11.708463949843258,3.2915360501567394,历史2/4次成功; 当前距低点3.29%; 最新日涨幅-3.23%; 状态bottom_area; 底部已确认
