rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.95882639620424,75.14881603976349,688328,深科达,bottom_area,2023-08-11,22.57,2023-08-11,22.54,0.13309671694765368,3.238686779059452,28.376231331426755,False,-2.883,3.3188,2,2,2,100.0,25.92621803443088,29.170984455958543,19.86690328305235,0.13309671694765368,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
2,88.71530740251782,76.95537130497476,600935,华塑股份,bottom_area,2023-08-11,3.73,2023-06-27,3.65,2.1917808219178103,7.671232876712336,28.571428571428577,True,-2.0997,0.315,1,1,1,100.0,28.50877192982458,28.50877192982458,17.80821917808219,2.1917808219178103,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-2.10%; 状态bottom_area; 底部已确认
3,87.41101764232576,77.06459080148498,002045,国光电器,bottom_area,2023-08-11,13.72,2023-07-28,13.31,3.0803906836964696,6.536438767843721,27.937195452084456,False,0.8082,3.1335,3,4,3,75.0,30.875707313510432,33.77563329312426,16.91960931630353,3.0803906836964696,历史3/4次成功; 当前距低点3.08%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
4,86.80721703480332,73.35674605586104,688300,联瑞新材,bottom_area,2023-08-11,42.3,2023-08-08,41.98,0.7622677465459751,6.479275845640796,28.239316239316242,False,-1.0295,0.2346,2,2,2,100.0,24.003852247235756,26.809910956252438,19.237732253454027,0.7622677465459751,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
5,85.24830019761114,71.34126817384829,603015,弘讯科技,bottom_area,2023-08-11,8.69,2023-08-11,8.67,0.23068050749711155,2.6528258362168446,27.629382303839733,False,-1.0251,0.9098,1,1,1,100.0,23.318385650224208,23.318385650224208,19.76931949250289,0.23068050749711155,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
6,84.46775041727925,75.70544718116068,002864,盘龙药业,bottom_area,2023-08-11,35.51,2023-08-08,34.15,3.9824304538799398,7.349926793557827,27.340425531914896,True,0.1128,6.6219,1,1,1,100.0,21.26553019358567,21.26553019358567,16.01756954612006,3.9824304538799398,历史1/1次成功; 当前距低点3.98%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
7,84.0918987341772,70.07658227848101,688143,长盈通,bottom_area,2023-08-11,28.98,2023-08-11,28.98,0.0,5.866114561766733,30.65326633165829,False,-2.1607,1.6996,1,1,1,100.0,25.949367088607595,25.949367088607595,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
8,78.03496236263452,70.0737085625914,002219,新里程,bottom_area,2023-08-11,3.82,2023-08-07,3.67,4.087193460490461,6.267029972752043,29.42307692307693,False,-0.2611,0.5528,1,1,1,100.0,23.938223938223942,23.938223938223942,15.912806539509539,4.087193460490461,历史1/1次成功; 当前距低点4.09%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
9,77.64774266973262,70.31094808676576,002755,奥赛康,bottom_area,2023-08-11,8.05,2023-08-08,7.7,4.545454545454552,6.363636363636354,31.00358422939068,False,-0.3713,0.2919,1,1,1,100.0,30.831099195710454,30.831099195710454,15.454545454545448,4.545454545454552,历史1/1次成功; 当前距低点4.55%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
10,66.13702273023245,55.2369716422878,688262,国芯科技,bottom_area,2023-08-11,32.99,2023-08-11,32.95,0.12139605462822198,3.0955993930197145,28.83369330453563,False,-2.4253,0.9966,1,2,1,50.0,27.063197026022312,27.063197026022312,19.87860394537178,0.12139605462822198,历史1/2次成功; 当前距低点0.12%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
11,64.76715009976373,55.29122336390158,002829,星网宇达,bottom_area,2023-08-11,30.75,2023-08-10,30.35,1.3179571663920875,3.0642504118616136,32.209068572704936,False,-0.7744,1.9017,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,18.682042833607916,1.3179571663920875,历史1/3次成功; 当前距低点1.32%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
12,63.43985823665099,54.50269171255688,002403,爱仕达,bottom_area,2023-08-11,8.55,2023-07-28,8.41,1.664684898929852,6.658739595719387,32.61217948717949,False,-1.0417,1.2356,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,18.335315101070147,1.664684898929852,历史1/3次成功; 当前距低点1.66%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
13,63.06647792562557,56.09812985399192,000792,盐湖股份,bottom_area,2023-08-11,19.16,2023-05-30,18.5,3.5675675675675684,10.486486486486493,29.49695121951219,True,-2.4936,0.3936,1,2,1,50.0,24.904214559386965,24.904214559386965,16.43243243243243,3.5675675675675684,历史1/2次成功; 当前距低点3.57%; 最新日涨幅-2.49%; 状态bottom_area; 底部已确认
14,62.61009009009008,52.17507507507507,300473,德尔股份,bottom_area,2023-08-11,16.35,2023-08-11,16.35,0.0,2.5688073394495294,27.171492204899767,False,-1.9196,1.4154,1,2,1,50.0,21.37137137137137,21.37137137137137,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
15,61.830793477612424,51.61393132533914,300342,天银机电,bottom_area,2023-08-11,10.72,2023-08-11,10.71,0.09337068160597373,2.2408963585434023,30.947775628626683,False,-1.3799,2.1004,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,19.906629318394028,0.09337068160597373,历史1/3次成功; 当前距低点0.09%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
16,59.062697674418594,49.218914728682165,603033,三维股份,bottom_area,2023-08-11,15.0,2023-08-11,15.0,0.0,1.0666666666666678,30.45897079276773,False,-0.4645,0.1106,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
