rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.70188181286393,77.70015600553455,002678,珠江钢琴,bottom_area,2025-11-04,5.03,2025-11-03,4.92,2.235772357723584,2.235772357723584,29.613733905579405,False,0.1992,1.6296,3,4,3,75.0,23.939338608302766,35.5191256830601,12.764227642276415,2.235772357723584,历史3/4次成功; 当前距低点2.24%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
2,85.28681146880658,76.41396052137,301117,佳缘科技,bottom_area,2025-11-04,32.36,2025-11-03,31.85,1.6012558869701665,4.207221350078481,28.426966292134832,False,-1.1908,5.8682,1,1,1,100.0,27.552816901408463,27.552816901408463,13.398744113029833,1.6012558869701665,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
3,83.8229570740595,75.56010938833981,605488,福莱新材,bottom_area,2025-11-04,30.68,2025-10-23,30.1,1.9269102990033167,8.239202657807299,27.64423076923077,True,-3.0648,2.2077,1,1,1,100.0,27.975617581007374,27.975617581007374,13.073089700996682,1.9269102990033167,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-3.06%; 状态bottom_area; 底部已确认
4,82.11487519042296,72.4051620402295,603173,福斯达,bottom_area,2025-11-04,39.22,2025-11-04,38.93,0.7449267916773674,3.955818135114306,29.07633448715613,False,-2.9928,6.7572,1,1,1,100.0,35.34190927555856,35.34190927555856,14.255073208322633,0.7449267916773674,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
5,75.95615575468513,71.79251336898393,601619,嘉泽新能,bottom_area,2025-11-04,4.44,2025-10-29,4.25,4.470588235294127,6.588235294117653,28.451178451178453,False,-0.8929,3.5468,1,1,1,100.0,37.878787878787875,37.878787878787875,10.529411764705873,4.470588235294127,历史1/1次成功; 当前距低点4.47%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
6,71.90968873410776,66.66088501505641,002123,梦网科技,bottom_area,2025-11-04,12.37,2025-10-31,11.96,3.428093645484936,4.682274247491628,31.066282420749282,False,-0.8814,1.6048,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,11.571906354515063,3.428093645484936,历史2/3次成功; 当前距低点3.43%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
7,70.56972274536207,65.93019080016526,002767,先锋电子,bottom_area,2025-11-04,19.71,2025-10-31,18.98,3.8461538461538485,4.583772391991575,27.47420710737486,False,-0.6552,3.8877,3,5,3,60.0,35.37323424406471,52.04379562043795,11.15384615384615,3.8461538461538485,历史3/5次成功; 当前距低点3.85%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
8,62.75262299768099,58.684296781547474,300563,神宇股份,bottom_area,2025-11-04,38.11,2025-10-23,36.68,3.8985823336968366,6.27044711014176,28.776699029126213,False,-0.574,2.8089,2,4,2,50.0,18.72615323858206,20.477137176938378,11.101417666303162,3.8985823336968366,历史2/4次成功; 当前距低点3.90%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
9,60.93080480455493,55.96755054499438,601669,中国电建,bottom_area,2025-11-04,5.61,2025-09-29,5.45,2.935779816513764,9.174311926605503,30.484693877551017,True,-0.5319,0.8063,1,2,1,50.0,16.457680250783696,16.457680250783696,12.064220183486235,2.935779816513764,历史1/2次成功; 当前距低点2.94%; 最新日涨幅-0.53%; 状态bottom_area; 底部已确认
10,60.28379445593095,52.42069083124431,603192,汇得科技,bottom_area,2025-11-04,27.98,2025-11-04,27.98,0.0,3.2165832737669717,27.078446703153496,False,-10.0032,2.7001,2,5,2,40.0,21.240273286259704,25.562817719680464,15.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
11,55.252216604823346,52.558263992058805,000096,广聚能源,bottom_area,2025-11-04,11.54,2025-09-23,11.01,4.813805631244318,10.808356039963666,28.039215686274517,True,-0.9442,1.075,1,2,1,50.0,21.149144254278735,21.149144254278735,10.186194368755682,4.813805631244318,历史1/2次成功; 当前距低点4.81%; 最新日涨幅-0.94%; 状态bottom_area; 底部已确认
12,55.00968001874381,47.95637138041582,688036,传音控股,bottom_area,2025-11-04,73.57,2025-11-04,73.47,0.1361099768612962,3.6205253845106804,29.961868446139185,False,-3.0443,0.7621,1,4,1,25.0,19.148936170212753,19.148936170212753,14.863890023138705,0.1361099768612962,历史1/4次成功; 当前距低点0.14%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
