rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.62641238349879,81.33907535862429,002386,天原股份,bottom_area,2023-09-08,5.78,2023-08-31,5.67,1.9400352733686126,5.996472663139327,31.604342581423396,False,-0.6873,0.338,3,3,3,100.0,24.851375171530723,48.85290148448042,6.059964726631388,1.9400352733686126,历史3/3次成功; 当前距低点1.94%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
2,83.49793724824785,78.77881955509254,002069,獐子岛,bottom_area,2023-09-08,4.14,2023-09-08,4.1,0.9756097560975618,1.4634146341463536,27.561837455830396,False,0.2421,1.4462,3,3,3,100.0,16.6301602096504,30.967741935483854,7.024390243902438,0.9756097560975618,历史3/3次成功; 当前距低点0.98%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,83.10739753443062,80.75749783217358,688248,南网科技,confirmed_rebound,2023-09-08,29.83,2023-08-25,29.1,2.508591065292085,9.175257731958757,32.29409027454629,True,-0.6329,1.4977,3,3,3,100.0,29.715513231395445,49.406593406593416,5.491408934707915,2.508591065292085,历史3/3次成功; 当前距低点2.51%; 最新日涨幅-0.63%; 状态confirmed_rebound; 底部已确认
4,81.73192502060678,78.42602146237476,300561,汇金科技,bottom_area,2023-09-08,13.19,2023-09-08,12.95,1.853281853281855,3.0115830115830162,29.886302111532213,False,-0.6029,6.0624,2,2,2,100.0,24.79303273041607,27.62128325508607,6.146718146718146,1.853281853281855,历史2/2次成功; 当前距低点1.85%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
5,81.32198986830585,79.78138383561804,601778,晶科科技,bottom_area,2023-09-08,3.77,2023-08-29,3.66,3.005464480874313,7.377049180327869,28.79377431906614,True,-1.0499,1.5061,3,3,3,100.0,20.34324113984674,42.344827586206904,4.994535519125687,3.005464480874313,历史3/3次成功; 当前距低点3.01%; 最新日涨幅-1.05%; 状态bottom_area; 底部已确认
6,80.61727483597996,78.3671708616509,601777,千里科技,confirmed_rebound,2023-09-08,3.65,2023-08-25,3.56,2.5280898876404456,8.146067415730338,27.93522267206478,True,0.2747,0.5046,1,1,1,100.0,27.96352583586626,27.96352583586626,5.471910112359554,2.5280898876404456,历史1/1次成功; 当前距低点2.53%; 最新日涨幅0.27%; 状态confirmed_rebound; 底部已确认
7,80.02995951542705,78.11169453371937,300614,百川畅银,bottom_area,2023-09-08,22.51,2023-09-01,21.91,2.7384755819260675,4.472843450479235,29.775641025641026,False,1.4878,1.4327,2,2,2,100.0,11.480746561886047,11.8614931237721,5.2615244180739325,2.7384755819260675,历史2/2次成功; 当前距低点2.74%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
8,79.88341303329415,75.31089461082998,002755,奥赛康,bottom_area,2023-09-08,7.55,2023-08-24,7.48,0.9358288770053396,6.550802139037423,32.97491039426523,False,0.1326,0.1336,1,1,1,100.0,30.831099195710454,30.831099195710454,7.0641711229946615,0.9358288770053396,历史1/1次成功; 当前距低点0.94%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
9,78.36152339651079,79.69110071267707,688185,康希诺,confirmed_rebound,2023-09-08,72.5,2023-08-29,69.13,4.874873426876905,9.764212353536815,29.61718590918347,True,0.4294,0.7861,6,6,6,100.0,13.848452290088234,19.236097367900253,3.125126573123095,4.874873426876905,历史6/6次成功; 当前距低点4.87%; 最新日涨幅0.43%; 状态confirmed_rebound; 底部已确认
10,76.63393842566458,74.68579065310338,688068,热景生物,confirmed_rebound,2023-09-08,36.65,2023-08-25,35.7,2.661064425770296,9.047619047619037,31.05446118192352,True,0.164,0.4047,1,1,1,100.0,9.80116959064327,9.80116959064327,5.338935574229704,2.661064425770296,历史1/1次成功; 当前距低点2.66%; 最新日涨幅0.16%; 状态confirmed_rebound; 底部已确认
11,76.59881772664984,77.05060560788901,000411,英特集团,confirmed_rebound,2023-09-08,11.87,2023-08-24,11.38,4.305799648506137,9.490333919156415,27.974683544303797,True,-0.0842,1.5782,3,3,3,100.0,31.816283905822544,47.98426745329401,3.694200351493863,4.305799648506137,历史3/3次成功; 当前距低点4.31%; 最新日涨幅-0.08%; 状态confirmed_rebound; 底部已确认
12,75.28230038926765,70.89817032273868,000028,国药一致,bottom_area,2023-09-08,30.92,2023-09-08,30.65,0.8809135399673839,2.0554649265905467,30.577576443941112,False,-0.0323,0.6766,2,2,2,100.0,12.240070934754426,14.150943396226415,7.119086460032617,0.8809135399673839,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
13,75.15420811519414,70.50849251603707,603106,恒银科技,bottom_area,2023-09-08,7.37,2023-09-08,7.32,0.683060109289615,6.284153005464479,28.585365853658534,False,-7.1788,9.2303,1,1,1,100.0,34.60144927536232,34.60144927536232,7.316939890710385,0.683060109289615,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-7.18%; 状态bottom_area; 底部未确认
14,74.58208265859584,69.16187316305833,603301,振德医疗,bottom_area,2023-09-08,25.52,2023-09-08,25.5,0.07843137254901794,0.9019607843137273,31.211222012408957,False,-0.5068,0.4249,1,1,1,100.0,9.734928454140272,9.734928454140272,7.9215686274509824,0.07843137254901794,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
15,74.48141867896328,75.53497717095368,688339,亿华通,bottom_area,2023-09-08,53.8,2023-08-29,51.37,4.730387385633638,7.416780221919413,27.392226148409897,True,1.4138,0.538,2,2,2,100.0,12.850862420421358,14.0971239981141,3.269612614366362,4.730387385633638,历史2/2次成功; 当前距低点4.73%; 最新日涨幅1.41%; 状态bottom_area; 底部已确认
16,74.2389500366352,75.00613608610031,000572,海马汽车,confirmed_rebound,2023-09-08,4.38,2023-08-29,4.19,4.534606205250585,11.455847255369916,31.42389525368248,True,0.0,1.5536,2,2,2,100.0,17.82278620468623,22.92191435768261,3.4653937947494153,4.534606205250585,历史2/2次成功; 当前距低点4.53%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
17,73.60704756424332,72.83019218097955,688247,宣泰医药,confirmed_rebound,2023-09-08,10.8,2023-08-31,10.44,3.4482758620689773,8.716475095785443,28.247422680412377,True,1.3133,1.2605,1,1,1,100.0,9.474522292993626,9.474522292993626,4.551724137931023,3.4482758620689773,历史1/1次成功; 当前距低点3.45%; 最新日涨幅1.31%; 状态confirmed_rebound; 底部已确认
18,72.9406645769987,67.85102420051857,600129,太极集团,bottom_area,2023-09-08,37.53,2023-09-08,37.44,0.2403846153846245,3.4722222222222334,28.52233676975946,False,-3.1983,1.6909,1,1,1,100.0,14.887640449438196,14.887640449438196,7.759615384615376,0.2403846153846245,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
19,67.17991417417302,67.41522035341707,002121,科陆电子,confirmed_rebound,2023-09-08,5.73,2023-08-25,5.5,4.18181818181819,9.090909090909092,29.03225806451613,True,-0.6932,0.719,1,1,1,100.0,11.826697892271683,11.826697892271683,3.818181818181811,4.18181818181819,历史1/1次成功; 当前距低点4.18%; 最新日涨幅-0.69%; 状态confirmed_rebound; 底部已确认
