rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.14434017717963,76.76755572446729,605399,晨光新材,bottom_area,2024-01-30,11.93,2024-01-30,11.92,0.08389261744966264,6.375838926174494,29.00536033353186,False,-9.8943,4.6896,2,2,2,100.0,44.24102630243285,52.857533497402244,14.916107382550337,0.08389261744966264,历史2/2次成功; 当前距低点0.08%; 最新日涨幅-9.89%; 状态bottom_area; 底部未确认
2,87.04556029249095,76.48155825900774,300354,东华测试,bottom_area,2024-01-30,36.21,2024-01-30,36.01,0.555401277422946,6.16495417939461,29.846093902201442,False,-0.2479,3.0015,2,2,2,100.0,38.26813533081753,39.34343434343434,14.444598722577053,0.555401277422946,历史2/2次成功; 当前距低点0.56%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
3,86.35319302210814,78.81329313714646,000723,美锦能源,bottom_area,2024-01-30,5.54,2024-01-22,5.4,2.592592592592587,9.07407407407406,28.28685258964143,True,-2.1201,0.5751,2,2,2,100.0,26.74410886159975,30.434782608695667,12.407407407407414,2.592592592592587,历史2/2次成功; 当前距低点2.59%; 最新日涨幅-2.12%; 状态bottom_area; 底部已确认
4,84.94630024967663,78.42299786763395,688017,绿的谐波,bottom_area,2024-01-30,109.4,2024-01-30,106.0,3.2075471698113263,9.999999999999995,31.3915857605178,False,0.3762,1.3815,2,2,2,100.0,18.90433018711707,22.08643815201191,11.792452830188674,3.2075471698113263,历史2/2次成功; 当前距低点3.21%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
5,83.8950041352261,76.39509670235493,002151,北斗星通,bottom_area,2024-01-30,25.72,2024-01-24,25.1,2.4701195219123404,8.804780876494013,31.13854595336077,True,-1.7571,1.2642,1,1,1,100.0,28.90843662534986,28.90843662534986,12.52988047808766,2.4701195219123404,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
6,83.65920051538576,77.63260228733007,605158,华达新材,bottom_area,2024-01-30,7.13,2024-01-24,6.89,3.4833091436865056,10.59506531204645,28.15432742440042,True,0.8487,3.3441,1,1,1,100.0,25.5083179297597,25.5083179297597,11.516690856313494,3.4833091436865056,历史1/1次成功; 当前距低点3.48%; 最新日涨幅0.85%; 状态bottom_area; 底部已确认
7,82.75267145396371,72.07663492583234,300682,朗新科技,bottom_area,2024-01-30,11.44,2024-01-30,11.43,0.08748906386701476,5.686789151356083,30.936555891238676,False,-3.0508,1.2414,2,2,2,100.0,19.0651074809093,21.503593145384194,14.912510936132986,0.08748906386701476,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
8,81.47941340837926,71.47123166380338,000516,国际医学,bottom_area,2024-01-30,6.47,2024-01-30,6.44,0.46583850931676024,4.347826086956511,31.995776135163673,False,-2.9985,0.9755,1,1,1,100.0,26.89969604863221,26.89969604863221,14.534161490683239,0.46583850931676024,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
9,80.87943026854691,70.59211775387901,301525,儒竞科技,bottom_area,2024-01-30,65.44,2024-01-30,65.31,0.19905068136578694,4.516919307916097,29.402226786293372,False,-4.7175,3.9231,1,1,1,100.0,29.118028534370954,29.118028534370954,14.800949318634213,0.19905068136578694,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
10,80.45585491960972,69.96161297357368,605577,龙版传媒,bottom_area,2024-01-30,22.46,2024-01-30,22.46,0.0,5.431878895814776,30.785824345146384,False,-9.98,12.7378,3,4,3,75.0,39.71297297620256,80.80939947780678,15.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
11,80.2405378292231,75.07058261162973,601069,西部黄金,bottom_area,2024-01-30,10.6,2024-01-24,10.2,3.921568627450984,8.921568627450982,27.246790299572044,True,-2.3041,0.424,1,1,1,100.0,39.579349904397695,39.579349904397695,11.078431372549016,3.921568627450984,历史1/1次成功; 当前距低点3.92%; 最新日涨幅-2.30%; 状态bottom_area; 底部已确认
