rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
13,69.0930099360851,62.64276293964368,002622,皓宸医疗,bottom_area,2025-09-30,3.2,2025-09-29,3.13,2.2364217252396257,8.945686900958474,27.03962703962704,False,-0.3115,6.3945,3,6,3,50.0,19.63335738274207,20.819112627986343,12.763578274760373,2.2364217252396257,历史3/6次成功; 当前距低点2.24%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
14,68.62218585704271,62.08654735462773,000679,大连友谊,bottom_area,2025-09-30,7.69,2025-09-30,7.53,2.1248339973439596,2.3904382470119483,28.693181818181817,False,1.0512,2.1794,3,8,3,37.5,19.88531649769868,24.94061757719715,12.87516600265604,2.1248339973439596,历史3/8次成功; 当前距低点2.12%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
15,67.5000115275863,59.048644747393766,002097,山河智能,bottom_area,2025-09-30,12.51,2025-09-30,12.47,0.32076984763431554,2.566158781074567,28.33333333333332,False,-1.8824,5.0251,1,2,1,50.0,50.210970464135016,50.210970464135016,14.679230152365683,0.32076984763431554,历史1/2次成功; 当前距低点0.32%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
16,66.78000133202727,59.57991953106924,002059,云南旅游,bottom_area,2025-09-30,5.9,2025-09-29,5.82,1.3745704467353963,6.013745704467348,28.0593325092707,False,-2.9605,6.8529,1,2,1,50.0,25.935162094763093,25.935162094763093,13.625429553264604,1.3745704467353963,历史1/2次成功; 当前距低点1.37%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
17,65.65650725924738,59.69259641655403,601669,中国电建,bottom_area,2025-09-30,5.58,2025-09-29,5.45,2.3853211009174293,3.302752293577976,30.484693877551017,False,0.0,1.2921,1,2,1,50.0,16.457680250783696,16.457680250783696,12.614678899082572,2.3853211009174293,历史1/2次成功; 当前距低点2.39%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,64.66883010030234,60.03108988546651,000545,金浦钛业,bottom_area,2025-09-30,2.66,2025-09-29,2.57,3.5019455252918408,5.058365758754877,32.36842105263158,False,-0.7463,5.3138,3,6,3,50.0,21.104976791031703,24.6875,11.498054474708159,3.5019455252918408,历史3/6次成功; 当前距低点3.50%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
19,63.345367858406554,58.54869995936125,000096,广聚能源,bottom_area,2025-09-30,11.37,2025-09-23,11.01,3.2697547683923656,5.812897366030886,28.039215686274517,False,0.7979,1.4751,1,2,1,50.0,21.149144254278735,21.149144254278735,11.730245231607633,3.2697547683923656,历史1/2次成功; 当前距低点3.27%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
20,61.45507842865971,53.57969053513618,002453,华软科技,bottom_area,2025-09-30,7.13,2025-09-30,7.12,0.1404494382022442,6.741573033707858,27.04918032786885,False,-9.7468,26.3321,1,2,1,50.0,28.60169491525425,28.60169491525425,14.859550561797755,0.1404494382022442,历史1/2次成功; 当前距低点0.14%; 最新日涨幅-9.75%; 状态bottom_area; 底部未确认
21,61.111919241291815,53.38589503249618,301551,无线传媒,bottom_area,2025-09-30,36.65,2025-09-30,36.56,0.24617067833697018,4.595185995623631,30.2689300019073,False,-3.73,7.2374,1,2,1,50.0,28.855721393034813,28.855721393034813,14.753829321663028,0.24617067833697018,历史1/2次成功; 当前距低点0.25%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
22,60.678398546050076,55.98432797009589,000926,福星股份,bottom_area,2025-09-30,2.6,2025-09-29,2.52,3.174603174603177,4.761904761904765,27.79369627507164,False,-0.3831,2.3435,1,2,1,50.0,28.668941979522177,28.668941979522177,11.825396825396822,3.174603174603177,历史1/2次成功; 当前距低点3.17%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
23,59.5140270190049,54.106205544039355,603057,紫燕食品,bottom_area,2025-09-30,19.33,2025-09-23,18.88,2.383474576271183,8.050847457627116,28.267477203647424,True,-1.3272,0.4012,1,3,1,33.33333333333333,19.124700239808163,19.124700239808163,12.616525423728817,2.383474576271183,历史1/3次成功; 当前距低点2.38%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
