rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.59478952495074,84.85017497631904,600268,国电南自,bottom_area,2024-07-03,5.52,2024-06-28,5.46,1.0989010989010917,8.424908424908423,30.08962868117797,True,-2.4735,1.2563,3,3,3,100.0,24.22402947211577,34.43298969072165,13.901098901098907,1.0989010989010917,历史3/3次成功; 当前距低点1.10%; 最新日涨幅-2.47%; 状态bottom_area; 底部已确认
22,81.7572915450636,71.94555846876106,002779,中坚科技,bottom_area,2024-07-03,26.83,2024-07-03,26.66,0.6376594148537065,3.9009752438109495,30.645161290322577,False,-3.4545,1.0282,2,2,2,100.0,25.1044190033737,29.818594104308378,14.362340585146294,0.6376594148537065,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
23,81.47189234290079,73.75233335471866,600295,鄂尔多斯,bottom_area,2024-07-03,9.96,2024-06-27,9.75,2.1538461538461626,4.5128205128205074,27.61692650334076,False,-1.2884,0.2283,1,1,1,100.0,20.016680567139286,20.016680567139286,12.846153846153838,2.1538461538461626,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
24,81.25808958836598,75.18326808362103,000034,神州数码,bottom_area,2024-07-03,22.37,2024-06-25,21.65,3.3256351039261083,7.990762124711319,30.985017532674537,True,-1.886,2.5711,2,2,2,100.0,16.213527529960025,16.910866910866908,11.674364896073891,3.3256351039261083,历史2/2次成功; 当前距低点3.33%; 最新日涨幅-1.89%; 状态bottom_area; 底部已确认
25,80.78412657964805,70.50501909854852,002572,索菲亚,bottom_area,2024-07-03,15.33,2024-06-28,15.3,0.1960784313725448,5.163398692810452,28.96935933147632,False,-1.0329,0.8848,1,1,1,100.0,18.398268398268392,18.398268398268392,14.803921568627453,0.1960784313725448,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
26,80.19458716197917,74.47002092742223,688200,华峰测控,bottom_area,2024-07-03,88.2,2024-07-03,85.2,3.5211267605633805,5.845070422535216,27.674023769100163,False,1.17,0.8162,1,1,1,100.0,18.16231151347698,18.16231151347698,11.478873239436618,3.5211267605633805,历史1/1次成功; 当前距低点3.52%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
27,79.65037451767648,74.24047447206628,601388,怡球资源,bottom_area,2024-07-03,2.23,2024-06-26,2.15,3.720930232558143,5.116279069767436,27.609427609427616,False,0.0,0.6209,3,4,3,75.0,23.544061302681985,35.632183908045974,11.279069767441857,3.720930232558143,历史3/4次成功; 当前距低点3.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
28,79.42349885670957,70.39717510259916,002068,黑猫股份,bottom_area,2024-07-03,6.91,2024-07-03,6.84,1.0233918128655013,2.192982456140356,30.204081632653068,False,0.0,1.2456,2,4,2,50.0,23.9812281501748,32.77777777777777,13.976608187134499,1.0233918128655013,历史2/4次成功; 当前距低点1.02%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
29,78.38042084301091,73.69574178010474,605089,味知香,bottom_area,2024-07-03,21.89,2024-07-01,21.01,4.188481675392665,5.568776772965245,28.170940170940167,False,2.2419,0.3715,1,1,1,100.0,22.180000000000007,22.180000000000007,10.811518324607334,4.188481675392665,历史1/1次成功; 当前距低点4.19%; 最新日涨幅2.24%; 状态bottom_area; 底部未确认
30,78.35867065914924,68.91298649597928,688017,绿的谐波,bottom_area,2024-07-03,76.47,2024-07-03,76.01,0.6051835284830861,3.9073806078147597,32.633164938402906,False,-1.4181,1.6304,3,4,3,75.0,19.02045667161674,22.08643815201191,14.394816471516913,0.6051835284830861,历史3/4次成功; 当前距低点0.61%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
31,77.54786023436407,68.0434155384293,603185,弘元绿能,bottom_area,2024-07-03,16.67,2024-07-03,16.59,0.48221820373720226,2.2905364677516515,27.586206896551722,False,-0.8328,0.8762,4,6,4,66.66666666666666,30.893582668190593,43.51028702057404,14.517781796262796,0.48221820373720226,历史4/6次成功; 当前距低点0.48%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
32,77.18869587627869,71.9612386516461,002761,浙江建投,bottom_area,2024-07-03,8.06,2024-07-01,7.77,3.7323037323037447,8.622908622908621,32.434782608695656,False,0.0,1.173,4,6,4,66.66666666666666,29.485077928128906,43.73730534867976,11.267696267696255,3.7323037323037447,历史4/6次成功; 当前距低点3.73%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
33,76.87436706802765,72.61253638253638,001218,丽臣实业,bottom_area,2024-07-03,15.07,2024-06-24,14.43,4.435204435204439,6.1677061677061715,27.121212121212125,False,-0.79,0.8332,2,2,2,100.0,25.18711018711019,29.999999999999993,10.56479556479556,4.435204435204439,历史2/2次成功; 当前距低点4.44%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
34,75.76596342835283,70.96316372152441,001308,康冠科技,bottom_area,2024-07-03,22.2,2024-06-24,21.35,3.9812646370023317,6.557377049180321,28.66688940862011,False,-0.4484,1.2574,1,1,1,100.0,27.421758569299566,27.421758569299566,11.018735362997667,3.9812646370023317,历史1/1次成功; 当前距低点3.98%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
35,74.63921452092033,69.04374492902089,002129,TCL中环,bottom_area,2024-07-03,8.73,2024-06-25,8.45,3.313609467455635,5.68047337278107,29.110738255033564,False,0.1147,1.0432,2,3,2,66.66666666666666,25.33391316211329,31.12759643916912,11.686390532544364,3.313609467455635,历史2/3次成功; 当前距低点3.31%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
36,73.8538362519416,69.91915212946448,002624,完美世界,bottom_area,2024-07-03,7.57,2024-06-25,7.24,4.558011049723758,8.011049723756907,29.503407984420637,True,-0.7864,0.7796,1,1,1,100.0,19.685039370078737,19.685039370078737,10.441988950276242,4.558011049723758,历史1/1次成功; 当前距低点4.56%; 最新日涨幅-0.79%; 状态bottom_area; 底部已确认
37,73.19013261442862,68.3016262806324,002326,永太科技,bottom_area,2024-07-03,7.95,2024-06-26,7.66,3.7859007832898173,6.2663185378590125,27.393364928909957,False,0.3788,0.7475,2,3,2,66.66666666666666,27.133405375626396,29.837587006960554,11.214099216710183,3.7859007832898173,历史2/3次成功; 当前距低点3.79%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
38,72.97374728053954,69.56067431563316,603180,金牌家居,bottom_area,2024-07-03,19.81,2024-06-24,18.88,4.925847457627118,7.521186440677975,28.403488813045136,True,-0.1512,0.4503,3,4,3,75.0,26.433368381844026,31.366822429906527,10.074152542372882,4.925847457627118,历史3/4次成功; 当前距低点4.93%; 最新日涨幅-0.15%; 状态bottom_area; 底部已确认
39,72.69147794107347,63.844886021592195,002317,众生药业,bottom_area,2024-07-03,11.28,2024-07-03,11.22,0.5347593582887586,2.228163992869875,27.9383429672447,False,-1.4847,1.1594,2,4,2,50.0,45.076007303712714,58.31999999999999,14.46524064171124,0.5347593582887586,历史2/4次成功; 当前距低点0.53%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
40,72.52882545324854,67.90032574016467,002218,拓日新能,bottom_area,2024-07-03,2.89,2024-06-25,2.78,3.956834532374112,6.474820143884898,32.850241545893724,False,0.3472,0.9396,2,3,2,66.66666666666666,27.07119251242463,39.04109589041095,11.043165467625887,3.956834532374112,历史2/3次成功; 当前距低点3.96%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
41,72.36167937369835,67.50613997598438,000002,万科A,bottom_area,2024-07-03,7.16,2024-07-01,6.9,3.7681159420289823,6.521739130434772,30.44354838709677,False,0.4208,1.6712,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,11.231884057971017,3.7681159420289823,历史2/3次成功; 当前距低点3.77%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
42,72.11951658403962,63.08467648217593,600416,湘电股份,bottom_area,2024-07-03,9.51,2024-07-03,9.48,0.3164556962025249,3.4810126582278484,29.359165424739192,False,-3.2553,1.2312,2,3,2,66.66666666666666,29.083488187371074,34.41084462982274,14.683544303797474,0.3164556962025249,历史2/3次成功; 当前距低点0.32%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
43,71.990240379969,63.19133284701758,600933,爱柯迪,bottom_area,2024-07-03,13.99,2024-07-03,13.92,0.5028735632183928,3.8793103448275925,30.60817547357926,False,-1.6174,0.6206,2,3,2,66.66666666666666,21.726977981122847,24.722838137472287,14.497126436781608,0.5028735632183928,历史2/3次成功; 当前距低点0.50%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
44,71.92124201000654,65.77870525776545,688286,敏芯股份,bottom_area,2024-07-03,43.29,2024-07-03,42.15,2.7046263345195745,5.029655990510094,28.071672354948813,False,-0.0462,2.3033,3,5,3,60.0,20.56587795951654,25.016501650165008,12.295373665480424,2.7046263345195745,历史3/5次成功; 当前距低点2.70%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
45,71.73553291165118,63.06825772695297,603197,保隆科技,bottom_area,2024-07-03,30.78,2024-07-02,30.6,0.5882352941176461,3.8888888888888813,28.55475134251692,False,0.0976,1.5673,2,4,2,50.0,19.08297955667312,20.16154085119603,14.411764705882355,0.5882352941176461,历史2/4次成功; 当前距低点0.59%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
46,69.95216179990295,64.85274473466671,000723,美锦能源,bottom_area,2024-07-03,4.82,2024-06-24,4.66,3.433476394849788,6.223175965665237,27.187500000000004,False,-0.6186,0.3739,2,3,2,66.66666666666666,26.74410886159975,30.434782608695667,11.566523605150211,3.433476394849788,历史2/3次成功; 当前距低点3.43%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
47,68.7502406311849,61.12966874219637,688185,康希诺,bottom_area,2024-07-03,40.73,2024-07-01,40.25,1.192546583850924,4.993788819875771,27.136133236784943,False,-0.9966,0.63,3,8,3,37.5,25.785886846110113,36.75601999091322,13.807453416149077,1.192546583850924,历史3/8次成功; 当前距低点1.19%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
48,68.4074004241954,65.27275997481212,002172,澳洋健康,bottom_area,2024-07-03,2.53,2024-06-24,2.41,4.979253112033181,6.224066390041489,27.627627627627625,False,0.3968,0.8387,3,5,3,60.0,23.255145538966428,29.824561403508774,10.02074688796682,4.979253112033181,历史3/5次成功; 当前距低点4.98%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
49,67.58185006418869,61.390208986415885,600223,福瑞达,bottom_area,2024-07-03,7.0,2024-07-01,6.84,2.3391812865497097,4.093567251461992,27.15654952076678,False,-0.5682,0.5529,1,2,1,50.0,47.49216300940439,47.49216300940439,12.66081871345029,2.3391812865497097,历史1/2次成功; 当前距低点2.34%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
50,66.25013816699807,59.30738817281074,002810,山东赫达,bottom_area,2024-07-03,11.75,2024-07-01,11.57,1.555747623163351,4.58081244598098,31.335311572700302,False,-1.2605,0.6641,1,3,1,33.33333333333333,46.13526570048308,46.13526570048308,13.44425237683665,1.555747623163351,历史1/3次成功; 当前距低点1.56%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
51,65.44918270935042,57.41629290400181,688156,路德科技,bottom_area,2024-07-03,12.78,2024-07-03,12.72,0.4716981132075371,2.279874213836471,28.739495798319332,False,-1.0836,0.7896,2,5,2,40.0,31.407336570510736,44.22535211267606,14.528301886792464,0.4716981132075371,历史2/5次成功; 当前距低点0.47%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
52,64.26155367475044,57.744976907150814,002612,朗姿股份,bottom_area,2024-07-03,13.89,2024-07-01,13.65,1.7582417582417595,3.150183150183148,28.38405036726127,False,-0.1438,0.93,1,2,1,50.0,20.77294685990338,20.77294685990338,13.24175824175824,1.7582417582417595,历史1/2次成功; 当前距低点1.76%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
53,64.01371287315156,56.230454367735504,605098,行动教育,bottom_area,2024-07-03,38.98,2024-07-03,38.77,0.54165591952539,4.436419912303324,29.174278407014974,False,0.2572,2.6917,1,2,1,50.0,15.082956259426847,15.082956259426847,14.458344080474609,0.54165591952539,历史1/2次成功; 当前距低点0.54%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
54,63.2457618379816,59.46693690551974,300769,德方纳米,bottom_area,2024-07-03,28.35,2024-06-26,27.21,4.189636163175305,10.694597574421168,27.323717948717942,True,2.0151,3.8435,2,6,2,33.33333333333333,30.946096904441454,41.300000000000004,10.810363836824694,4.189636163175305,历史2/6次成功; 当前距低点4.19%; 最新日涨幅2.02%; 状态bottom_area; 底部已确认
55,62.906392156416075,56.676752496427405,603060,国检集团,bottom_area,2024-07-03,5.9,2024-06-26,5.79,1.8998272884283303,5.354058721934363,27.71535580524344,False,-1.1725,0.2014,1,3,1,33.33333333333333,36.2098138747885,36.2098138747885,13.10017271157167,1.8998272884283303,历史1/3次成功; 当前距低点1.90%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
56,61.57814160882742,53.88694909927971,601966,玲珑轮胎,bottom_area,2024-07-03,17.74,2024-07-03,17.68,0.3393665158370968,1.640271493212665,28.565656565656568,False,-1.0045,0.6927,1,2,1,50.0,22.476907287033857,22.476907287033857,14.660633484162902,0.3393665158370968,历史1/2次成功; 当前距低点0.34%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
57,60.96934422079337,56.779184173555066,000597,东北制药,bottom_area,2024-07-03,3.95,2024-06-24,3.81,3.6745406824147016,5.511811023622035,27.290076335877867,False,0.0,0.5336,1,2,1,50.0,16.59751037344398,16.59751037344398,11.325459317585299,3.6745406824147016,历史1/2次成功; 当前距低点3.67%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
58,60.9651727392643,55.60116037904521,600975,新五丰,bottom_area,2024-07-03,7.23,2024-06-28,7.05,2.5531914893617107,6.950354609929081,31.94980694980695,False,-2.0325,2.2617,1,2,1,50.0,18.99159663865546,18.99159663865546,12.446808510638288,2.5531914893617107,历史1/2次成功; 当前距低点2.55%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
59,60.93807737219048,58.15777426954234,000404,长虹华意,bottom_area,2024-07-03,5.47,2024-06-28,5.21,4.990403071017271,6.525911708253357,30.067114093959734,False,0.0,1.1733,1,2,1,50.0,40.139211136890964,40.139211136890964,10.009596928982727,4.990403071017271,历史1/2次成功; 当前距低点4.99%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
60,60.14831615564821,54.727957665710925,688161,威高骨科,bottom_area,2024-07-03,19.83,2024-07-01,19.36,2.4276859504132173,5.216942148760339,29.446064139941697,False,-0.1511,0.2385,1,4,1,25.0,33.591836734693864,33.591836734693864,12.572314049586783,2.4276859504132173,历史1/4次成功; 当前距低点2.43%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
61,58.79008899505431,54.86086488819697,688262,国芯科技,bottom_area,2024-07-03,15.91,2024-07-03,15.33,3.7834311806914553,5.870841487279846,30.095759233926128,False,0.9518,2.6562,1,3,1,33.33333333333333,27.063197026022312,27.063197026022312,11.216568819308545,3.7834311806914553,历史1/3次成功; 当前距低点3.78%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
62,57.49936132538215,50.38117060513309,300693,盛弘股份,bottom_area,2024-07-03,19.74,2024-07-03,19.66,0.4069175991861561,4.883011190233981,29.634931997136725,False,-2.9975,3.1616,1,5,1,20.0,36.12334801762114,36.12334801762114,14.593082400813842,0.4069175991861561,历史1/5次成功; 当前距低点0.41%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
63,57.318036208621315,53.58128695439247,688108,赛诺医疗,bottom_area,2024-07-03,8.84,2024-06-26,8.51,3.877790834312574,9.753231492361929,28.427249789739285,True,-1.8868,0.8005,1,2,1,50.0,15.175537938844846,15.175537938844846,11.122209165687424,3.877790834312574,历史1/2次成功; 当前距低点3.88%; 最新日涨幅-1.89%; 状态bottom_area; 底部已确认
64,56.87243845913521,50.08798879289381,300558,贝达药业,bottom_area,2024-07-03,32.51,2024-07-01,32.29,0.6813254877671071,4.738309074016727,27.795169946332738,False,-1.455,0.8956,1,3,1,33.33333333333333,25.688589094997194,25.688589094997194,14.318674512232892,0.6813254877671071,历史1/3次成功; 当前距低点0.68%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
65,56.85240818075447,53.02144300144298,603217,元利科技,bottom_area,2024-07-03,14.38,2024-06-24,13.86,3.7518037518037617,4.9783549783549885,32.5875486381323,False,-0.622,0.3282,1,2,1,50.0,19.81481481481482,19.81481481481482,11.248196248196237,3.7518037518037617,历史1/2次成功; 当前距低点3.75%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
66,56.76932334841983,52.84854287556415,000779,甘咨询,bottom_area,2024-07-03,7.09,2024-06-26,6.84,3.654970760233918,5.116959064327493,29.26577042399173,False,-0.7003,0.9827,1,2,1,50.0,17.69825918762089,17.69825918762089,11.345029239766081,3.654970760233918,历史1/2次成功; 当前距低点3.65%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
67,55.23535020612692,51.24609454919372,688111,金山办公,bottom_area,2024-07-03,198.15,2024-07-03,191.5,3.4725848563968693,4.710182767624026,30.02776965799474,False,-0.9349,1.226,1,4,1,25.0,27.68058076225045,27.68058076225045,11.52741514360313,3.4725848563968693,历史1/4次成功; 当前距低点3.47%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
68,54.057889122459734,47.40821596270918,300689,澄天伟业,bottom_area,2024-07-03,13.25,2024-07-03,13.19,0.454890068233514,4.700530705079613,30.870020964360585,False,-5.0179,4.2933,1,3,1,33.33333333333333,18.720602069614284,18.720602069614284,14.545109931766486,0.454890068233514,历史1/3次成功; 当前距低点0.45%; 最新日涨幅-5.02%; 状态bottom_area; 底部未确认
69,53.84106323990582,51.027070387645935,002145,钛能化学,bottom_area,2024-07-03,3.4,2024-07-01,3.25,4.615384615384613,5.230769230769228,31.72268907563025,False,1.4925,0.8575,1,3,1,33.33333333333333,16.649537512846855,16.649537512846855,10.384615384615387,4.615384615384613,历史1/3次成功; 当前距低点4.62%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
70,53.78639607475872,49.88501934235976,603326,我乐家居,bottom_area,2024-07-03,5.69,2024-06-27,5.5,3.4545454545454617,5.636363636363629,32.34932349323494,False,-0.8711,0.7601,1,4,1,25.0,20.141843971631218,20.141843971631218,11.545454545454538,3.4545454545454617,历史1/4次成功; 当前距低点3.45%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
71,53.75554900640415,50.69285564454616,000705,浙江震元,bottom_area,2024-07-03,7.2,2024-06-24,6.9,4.347826086956519,6.666666666666665,29.01234567901235,False,-1.3699,1.7693,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,10.65217391304348,4.347826086956519,历史1/3次成功; 当前距低点4.35%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
72,49.12155889875097,46.6417150417597,002555,三七互娱,bottom_area,2024-07-03,13.1,2024-06-25,12.51,4.716227018385291,6.7146282973621085,28.391528334287347,False,-0.0763,1.2026,1,3,1,33.33333333333333,16.78160919540231,16.78160919540231,10.283772981614709,4.716227018385291,历史1/3次成功; 当前距低点4.72%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
