rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.59478952495074,84.85017497631904,600268,国电南自,bottom_area,2024-07-03,5.52,2024-06-28,5.46,1.0989010989010917,8.424908424908423,30.08962868117797,True,-2.4735,1.2563,3,3,3,100.0,24.22402947211577,34.43298969072165,13.901098901098907,1.0989010989010917,历史3/3次成功; 当前距低点1.10%; 最新日涨幅-2.47%; 状态bottom_area; 底部已确认
2,93.74996920747411,83.7405097511124,603368,柳药集团,bottom_area,2024-07-03,17.64,2024-06-28,17.39,1.437607820586544,4.945370902817707,27.842323651452283,False,-0.7874,1.4002,3,3,3,100.0,31.603524634675978,42.85714285714285,13.562392179413454,1.437607820586544,历史3/3次成功; 当前距低点1.44%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
3,89.96152419347536,79.8879454072548,300450,先导智能,bottom_area,2024-07-03,16.19,2024-07-03,16.01,1.1242973141786365,2.5608994378513437,30.270034843205572,False,0.3098,1.034,1,1,1,100.0,17.91044776119403,17.91044776119403,13.875702685821361,1.1242973141786365,历史1/1次成功; 当前距低点1.12%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
4,89.21057718373089,79.36295398798427,001212,中旗新材,bottom_area,2024-07-03,19.91,2024-06-25,19.67,1.2201321809862655,6.659888154550068,31.103327495621713,False,-1.9212,1.1098,3,4,3,75.0,42.90244817544601,82.06521739130437,13.779867819013733,1.2201321809862655,历史3/4次成功; 当前距低点1.22%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
5,89.09755824794372,80.72160659579899,688102,斯瑞新材,bottom_area,2024-07-03,8.37,2024-07-03,8.19,2.1978021978021944,4.761904761904769,29.940119760479046,False,-0.7117,1.0601,3,3,3,100.0,24.691374230042936,37.1943371943372,12.802197802197805,2.1978021978021944,历史3/3次成功; 当前距低点2.20%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
6,88.91594156320318,79.65824134816152,301332,德尔玛,bottom_area,2024-07-03,8.91,2024-06-24,8.77,1.5963511972634046,4.332953249714946,30.507131537242472,False,-0.224,0.7998,1,1,1,100.0,44.935064935064936,44.935064935064936,13.403648802736596,1.5963511972634046,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
7,88.658606526984,80.17989235279869,300393,中来股份,bottom_area,2024-07-03,5.83,2024-06-26,5.71,2.101576182136604,5.078809106830123,29.766297662976637,False,0.3442,1.037,4,5,4,80.0,24.792935742312604,36.516853932584276,12.898423817863394,2.101576182136604,历史4/5次成功; 当前距低点2.10%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
8,87.96753092038156,80.24743670737679,300765,新诺威,bottom_area,2024-07-03,23.18,2024-07-03,22.6,2.5663716814159216,7.079646017699106,28.997800816839455,False,-2.605,1.2816,3,3,3,100.0,26.66002226346828,28.947368421052634,12.433628318584077,2.5663716814159216,历史3/3次成功; 当前距低点2.57%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
9,86.7415074298702,77.57838277005916,000862,银星能源,bottom_area,2024-07-03,4.72,2024-06-26,4.65,1.5053763440860084,4.731182795698919,27.34375,False,-1.6667,0.9141,1,1,1,100.0,32.63785394932937,32.63785394932937,13.49462365591399,1.5053763440860084,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
10,86.5007736914014,77.03734415189962,603233,大参林,bottom_area,2024-07-03,14.25,2024-07-01,14.07,1.2793176972281428,6.7519545131485375,30.859950859950864,False,-2.863,1.0026,4,5,4,80.0,20.29133602999884,27.64192139737992,13.720682302771856,1.2793176972281428,历史4/5次成功; 当前距低点1.28%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
11,86.45326132404178,78.67902439024388,002687,乔治白,bottom_area,2024-07-03,4.2,2024-06-24,4.1,2.4390243902439157,4.390243902439039,29.914529914529915,False,-1.1765,0.9926,1,1,1,100.0,64.00000000000001,64.00000000000001,12.560975609756083,2.4390243902439157,历史1/1次成功; 当前距低点2.44%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
12,85.92859052107737,77.58993374218005,002557,洽洽食品,bottom_area,2024-07-03,28.31,2024-07-01,27.75,2.0180180180180134,2.990990990990985,27.82834850455137,False,0.2479,0.5985,1,1,1,100.0,16.510832383124292,16.510832383124292,12.981981981981985,2.0180180180180134,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
13,83.75080486005199,75.79761676927197,002345,潮宏基,bottom_area,2024-07-03,4.77,2024-07-01,4.67,2.141327623126331,4.49678800856531,28.919330289193308,False,-1.2422,0.8032,1,1,1,100.0,30.859375,30.859375,12.85867237687367,2.141327623126331,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
14,83.59528308791009,78.34694524975107,601908,京运通,bottom_area,2024-07-03,2.59,2024-06-24,2.49,4.0160642570280976,6.827309236947787,28.857142857142854,False,0.7782,0.6511,2,2,2,100.0,28.406299762231964,40.33898305084744,10.983935742971902,4.0160642570280976,历史2/2次成功; 当前距低点4.02%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
15,83.35198138867439,78.67300776874383,002219,新里程,bottom_area,2024-07-03,1.9,2024-07-01,1.82,4.395604395604387,6.043956043956037,30.26819923371647,False,1.0638,0.5655,2,2,2,100.0,34.81175156302061,45.685279187817265,10.604395604395613,4.395604395604387,历史2/2次成功; 当前距低点4.40%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
16,83.26133397116973,76.89358404263871,603305,旭升集团,bottom_area,2024-07-03,10.56,2024-07-01,10.23,3.225806451612904,9.188660801564023,30.170648464163826,True,2.4248,2.7274,3,4,3,75.0,22.545283614602845,32.41061130334487,11.774193548387096,3.225806451612904,历史3/4次成功; 当前距低点3.23%; 最新日涨幅2.42%; 状态bottom_area; 底部已确认
17,83.218665039053,76.86613195342821,002015,协鑫能科,bottom_area,2024-07-03,7.98,2024-06-25,7.73,3.2341526520051747,4.915912031047853,27.349624060150372,False,-0.6227,0.3236,1,1,1,100.0,65.95380667236954,65.95380667236954,11.765847347994825,3.2341526520051747,历史1/1次成功; 当前距低点3.23%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
18,82.8627434671777,72.13323969767775,600345,长江通信,bottom_area,2024-07-03,17.14,2024-07-03,17.13,0.05837711617047031,2.7437244600116895,30.337535583570563,False,-2.2248,3.8322,1,1,1,100.0,25.46419098143237,25.46419098143237,14.941622883829528,0.05837711617047031,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
19,82.35991051985265,74.05420000000001,600976,健民集团,bottom_area,2024-07-03,48.86,2024-07-02,48.0,1.7916666666666654,5.52083333333333,28.143712574850294,False,-2.7081,1.491,1,1,1,100.0,17.200000000000006,17.200000000000006,13.208333333333332,1.7916666666666654,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
20,82.32306264114052,78.1252860758699,002481,双塔食品,bottom_area,2024-07-03,4.02,2024-06-28,3.84,4.687499999999993,7.552083333333334,27.819548872180455,True,-0.2481,1.284,3,3,3,100.0,32.057989655214385,54.6583850931677,10.312500000000007,4.687499999999993,历史3/3次成功; 当前距低点4.69%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
21,81.94833230433811,74.76531760330121,002838,道恩股份,bottom_area,2024-07-03,9.17,2024-06-26,8.94,2.572706935123047,5.369127516778528,28.934817170111295,False,-0.3261,0.4224,4,5,4,80.0,23.930588254740684,38.59649122807017,12.427293064876952,2.572706935123047,历史4/5次成功; 当前距低点2.57%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
