rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.151888428929,78.82739012874332,000426,兴业银锡,bottom_area,2021-09-30,7.81,2021-09-29,7.61,2.6281208935610945,4.073587385019706,30.628988149498632,False,2.4934,2.0286,1,1,1,100.0,30.64250411861613,30.64250411861613,17.371879106438907,2.6281208935610945,历史1/1次成功; 当前距低点2.63%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
2,89.43506390090978,75.22442569999141,001212,中旗新材,bottom_area,2021-09-30,31.74,2021-09-30,31.58,0.5066497783407224,0.7916402786573782,29.11335578002245,False,0.2527,2.4436,1,1,1,100.0,25.105307497893843,25.105307497893843,19.493350221659277,0.5066497783407224,历史1/1次成功; 当前距低点0.51%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
3,89.43347293901813,78.08664517662886,000902,新洋丰,bottom_area,2021-09-30,17.7,2021-09-29,17.26,2.54924681344147,6.141367323290838,30.17799352750808,False,1.6657,1.4824,1,1,1,100.0,25.693160813308673,25.693160813308673,17.450753186558533,2.54924681344147,历史1/1次成功; 当前距低点2.55%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
4,88.33339283969268,73.77657903839501,688355,明志科技,bottom_area,2021-09-30,24.53,2021-09-29,24.5,0.12244897959184137,4.081632653061225,29.658340511053687,False,-0.1628,2.8963,1,1,1,100.0,35.08474576271185,35.08474576271185,19.87755102040816,0.12244897959184137,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
5,87.57764949377629,77.66765053893495,002805,丰元股份,bottom_area,2021-09-30,23.7,2021-09-27,22.92,3.4031413612565333,11.692844677137868,27.924528301886788,False,2.954,2.9085,1,1,1,100.0,33.907595927956166,33.907595927956166,16.596858638743466,3.4031413612565333,历史1/1次成功; 当前距低点3.40%; 最新日涨幅2.95%; 状态bottom_area; 底部未确认
6,85.38074426839101,76.20422603417111,300447,全信股份,bottom_area,2021-09-30,17.14,2021-09-29,16.52,3.7530266343825724,9.564164648910422,28.17391304347826,False,2.8194,2.4662,1,1,1,100.0,30.328638497652584,30.328638497652584,16.24697336561743,3.7530266343825724,历史1/1次成功; 当前距低点3.75%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
7,84.57229004532267,76.57673959882985,601127,赛力斯,bottom_area,2021-09-30,59.38,2021-09-29,56.8,4.542253521126771,6.9894366197183215,30.630190522716173,False,1.9749,1.5573,2,2,2,100.0,25.33912702687572,27.74461028192372,15.45774647887323,4.542253521126771,历史2/2次成功; 当前距低点4.54%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
8,84.34565246518434,75.22875325242818,601020,华钰矿业,bottom_area,2021-09-30,13.12,2021-09-30,12.65,3.715415019762837,4.822134387351774,28.81260551491277,False,0.4594,3.2124,1,1,1,100.0,24.62311557788946,24.62311557788946,16.284584980237167,3.715415019762837,历史1/1次成功; 当前距低点3.72%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
9,83.57269990069514,74.61848205419209,603169,兰石重装,bottom_area,2021-09-30,5.5,2021-09-29,5.3,3.7735849056603805,9.056603773584913,28.086838534599735,False,3.7736,1.8401,1,1,1,100.0,22.055137844611526,22.055137844611526,16.226415094339618,3.7735849056603805,历史1/1次成功; 当前距低点3.77%; 最新日涨幅3.77%; 状态bottom_area; 底部未确认
10,82.14275990137098,73.9557738646895,002114,罗平锌电,bottom_area,2021-09-30,8.13,2021-09-29,7.8,4.230769230769243,6.153846153846148,30.23255813953488,False,3.9642,3.9818,1,1,1,100.0,24.096385542168683,24.096385542168683,15.769230769230758,4.230769230769243,历史1/1次成功; 当前距低点4.23%; 最新日涨幅3.96%; 状态bottom_area; 底部未确认
11,81.77377802878543,73.5490697491843,688329,艾隆科技,bottom_area,2021-09-30,35.43,2021-09-29,34.01,4.175242575713031,7.233166715671864,30.4214402618658,False,4.114,4.7595,1,1,1,100.0,21.229154955967783,21.229154955967783,15.82475742428697,4.175242575713031,历史1/1次成功; 当前距低点4.18%; 最新日涨幅4.11%; 状态bottom_area; 底部未确认
12,79.86259692140837,72.55276906111553,300665,飞鹿股份,bottom_area,2021-09-30,9.31,2021-09-29,8.89,4.724409448818897,5.399325084364439,27.723577235772357,False,4.7244,3.2793,1,1,1,100.0,22.6044226044226,22.6044226044226,15.275590551181104,4.724409448818897,历史1/1次成功; 当前距低点4.72%; 最新日涨幅4.72%; 状态bottom_area; 底部未确认
13,78.57066541946772,71.64157608209774,300437,清水源,bottom_area,2021-09-30,19.81,2021-09-30,18.88,4.925847457627118,13.347457627118642,30.58823529411765,False,-2.4618,24.8791,2,2,2,100.0,25.98122734133097,30.330330330330323,15.074152542372884,4.925847457627118,历史2/2次成功; 当前距低点4.93%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
