rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.02264836051593,82.35702757237307,300056,中创环保,bottom_area,2025-10-23,10.54,2025-10-15,10.38,1.5414258188824506,8.188824662813097,29.001367989056074,True,0.1901,2.1718,1,1,1,100.0,27.10472279260781,27.10472279260781,13.45857418111755,1.5414258188824506,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.19%; 状态bottom_area; 底部已确认
2,84.16866966068594,75.48555695007353,688039,当虹科技,bottom_area,2025-10-23,49.8,2025-10-23,48.99,1.653398652786273,4.000816493161871,30.970832746230798,False,-1.8526,2.1021,5,7,5,71.42857142857143,35.1053311436126,79.31638913234006,13.346601347213728,1.653398652786273,历史5/7次成功; 当前距低点1.65%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
3,82.3218472997827,75.01374012832851,300141,和顺电气,bottom_area,2025-10-23,11.45,2025-10-23,11.17,2.5067144136078725,2.9543419874664285,27.935483870967744,False,-0.5213,7.5563,1,1,1,100.0,31.123919308357333,31.123919308357333,12.493285586392128,2.5067144136078725,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
4,81.71869358895064,74.33256795105999,301190,善水科技,bottom_area,2025-10-23,22.08,2025-10-23,21.56,2.4118738404452675,3.3858998144712453,27.91708458709462,False,-0.8977,3.1649,1,1,1,100.0,26.299141436963403,26.299141436963403,12.588126159554733,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
5,81.07246294863724,74.08366420561556,605488,福莱新材,bottom_area,2025-10-23,30.9,2025-10-23,30.1,2.65780730897009,2.923588039867106,27.64423076923077,False,-0.675,1.5344,1,1,1,100.0,27.975617581007374,27.975617581007374,12.34219269102991,2.65780730897009,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
6,79.4618265511472,71.37435677340935,603305,旭升集团,bottom_area,2025-10-23,14.65,2025-10-23,14.4,1.7361111111111112,3.680555555555551,29.064039408867,False,-2.4634,3.1898,4,6,4,66.66666666666666,24.333459355247438,32.41061130334487,13.26388888888889,1.7361111111111112,历史4/6次成功; 当前距低点1.74%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
7,79.25851860690415,72.48972541200796,002123,梦网科技,bottom_area,2025-10-23,12.53,2025-10-17,12.2,2.704918032786886,2.8688524590164053,29.68299711815563,False,0.6426,1.828,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,12.295081967213113,2.704918032786886,历史2/3次成功; 当前距低点2.70%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
8,78.55896697334991,74.22562441180825,002674,兴业科技,bottom_area,2025-10-23,14.08,2025-10-20,13.48,4.451038575667654,6.824925816023739,27.52688172043011,False,-0.7752,1.0854,2,2,2,100.0,34.05372238887374,36.52849740932641,10.548961424332346,4.451038575667654,历史2/2次成功; 当前距低点4.45%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
9,72.697541361173,64.71374062015161,300563,神宇股份,bottom_area,2025-10-23,37.14,2025-10-23,36.68,1.2540894220283558,3.0261723009814596,28.776699029126213,False,-1.4593,3.7174,2,4,2,50.0,18.72615323858206,20.477137176938378,13.745910577971642,1.2540894220283558,历史2/4次成功; 当前距低点1.25%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
10,72.64137060008508,66.13642281844764,600353,旭光电子,bottom_area,2025-10-23,15.82,2025-10-23,15.44,2.461139896373062,6.735751295336794,27.81673679289388,False,-4.4109,5.2212,2,3,2,66.66666666666666,31.941694169416934,41.11111111111111,12.538860103626936,2.461139896373062,历史2/3次成功; 当前距低点2.46%; 最新日涨幅-4.41%; 状态bottom_area; 底部未确认
11,68.60332337423542,62.16243660418965,000700,模塑科技,bottom_area,2025-10-23,9.27,2025-10-23,9.07,2.205071664829099,2.4255788313120052,30.974124809741248,False,-0.3226,1.6637,1,2,1,50.0,52.926829268292686,52.926829268292686,12.7949283351709,2.205071664829099,历史1/2次成功; 当前距低点2.21%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
