rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.4526697728362,81.90335325670499,601136,首创证券,bottom_area,2026-05-19,15.91,21.55,2026-05-19,15.66,1.5964240102171137,1.9157088122605408,27.331786542923435,26.17169373549884,False,0.4419,0.3149,1,1,1,100.0,34.53333333333333,34.53333333333333,18.40357598978289,1.5964240102171137,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
2,93.9786748111691,80.38309318848663,603277,银都股份,bottom_area,2026-05-19,12.83,17.69,2026-05-18,12.65,1.4229249011857685,2.6877470355731212,28.49067269643867,27.473148671565863,False,0.1561,0.1713,1,1,1,100.0,24.23312883435582,24.23312883435582,18.577075098814234,1.4229249011857685,历史1/1次成功; 当前距低点1.42%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
3,91.72291258963452,79.07561407191152,601186,中国铁建,bottom_area,2026-05-19,6.59,8.93,2026-05-18,6.47,1.8547140649149938,2.318392581143746,27.547592385218366,26.203807390817467,False,1.3846,0.5687,1,1,1,100.0,22.496570644718787,22.496570644718787,18.145285935085006,1.8547140649149938,历史1/1次成功; 当前距低点1.85%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
4,90.82576133536676,77.22243906466518,600338,西藏珠峰,bottom_area,2026-05-19,20.3,28.28,2026-05-19,20.08,1.0956175298804902,5.478087649402398,28.995756718529,28.21782178217822,False,-4.3806,7.671,3,4,3,75.0,40.08304856340157,59.223300970873794,18.90438247011951,1.0956175298804902,历史3/4次成功; 当前距低点1.10%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
5,89.97570051133971,78.26309936993523,002773,康弘药业,bottom_area,2026-05-19,21.85,30.6,2026-05-18,21.35,2.34192037470726,3.51288056206089,30.22875816993464,28.594771241830063,False,1.6752,0.9404,1,1,1,100.0,24.10041841004185,24.10041841004185,17.658079625292743,2.34192037470726,历史1/1次成功; 当前距低点2.34%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
6,89.0834177901287,77.92974175085335,688819,天能股份,bottom_area,2026-05-19,26.69,36.54,2026-05-18,26.0,2.6538461538461586,2.7307692307692344,28.845101258894363,26.9567597153804,False,1.5215,0.4237,1,1,1,100.0,26.131779471089207,26.131779471089207,17.346153846153843,2.6538461538461586,历史1/1次成功; 当前距低点2.65%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
7,88.47517042767491,75.91697955495313,603399,永杉锂业,bottom_area,2026-05-19,18.45,25.52,2026-05-19,18.16,1.5969162995594668,8.039647577092515,28.84012539184953,27.703761755485896,False,-5.5783,15.386,1,1,1,100.0,35.04273504273506,35.04273504273506,18.403083700440533,1.5969162995594668,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-5.58%; 状态bottom_area; 底部未确认
8,86.02469547633851,75.69823152292247,002866,传艺科技,bottom_area,2026-05-19,22.49,30.0,2026-05-19,21.84,2.9761904761904696,3.2509157509157545,27.200000000000003,25.033333333333342,False,-0.0444,6.9755,1,1,1,100.0,40.55884843353091,40.55884843353091,17.02380952380953,2.9761904761904696,历史1/1次成功; 当前距低点2.98%; 最新日涨幅-0.04%; 状态bottom_area; 底部未确认
9,85.47913561789031,75.73323761665469,000007,全新好,bottom_area,2026-05-19,12.34,17.79,2026-05-19,11.94,3.3500837520938056,4.020100502512566,32.88364249578415,30.63518830803822,False,0.817,2.7821,1,1,1,100.0,22.85714285714285,22.85714285714285,16.649916247906198,3.3500837520938056,历史1/1次成功; 当前距低点3.35%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
10,80.8996255525364,72.54796238016486,603319,美湖股份,bottom_area,2026-05-19,31.88,42.06,2026-05-18,30.65,4.0130505709624815,6.688417618270813,27.127912505943897,24.2035187826914,False,-0.1879,3.868,4,5,4,80.0,29.665148827738342,43.981481481481474,15.98694942903752,4.0130505709624815,历史4/5次成功; 当前距低点4.01%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
11,76.39573261615948,69.11786816330573,688326,经纬恒润,bottom_area,2026-05-19,91.76,125.0,2026-05-06,87.81,4.498348707436514,7.7212162623846945,29.752000000000002,26.59199999999999,True,1.258,1.8244,2,3,2,66.66666666666666,31.061486825775873,34.48938586529221,15.501651292563487,4.498348707436514,历史2/3次成功; 当前距低点4.50%; 最新日涨幅1.26%; 状态bottom_area; 底部已确认
12,76.11700641044574,67.44902853015533,300449,汉邦高科,bottom_area,2026-05-19,9.54,12.83,2026-05-19,9.23,3.3586132177681334,6.8255687973997725,28.05923616523772,25.64302416212004,False,-3.5389,14.5211,2,3,2,66.66666666666666,50.919184909469436,71.7557251908397,16.64138678223187,3.3586132177681334,历史2/3次成功; 当前距低点3.36%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
13,75.88692326057166,65.0771837713766,601808,中海油服,bottom_area,2026-05-19,14.28,20.55,2026-05-18,14.06,1.5647226173541882,2.347083926031295,31.581508515815088,30.510948905109498,False,0.4219,0.7548,1,2,1,50.0,35.34812547819435,35.34812547819435,18.43527738264581,1.5647226173541882,历史1/2次成功; 当前距低点1.56%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
14,75.78217765204006,65.72943980023884,000012,南玻A,bottom_area,2026-05-19,3.74,5.27,2026-05-18,3.66,2.1857923497267775,2.459016393442619,30.550284629981018,29.03225806451612,False,0.8086,0.6827,1,2,1,50.0,46.467991169977914,46.467991169977914,17.81420765027322,2.1857923497267775,历史1/2次成功; 当前距低点2.19%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
15,75.4004224266967,66.3872613911147,000723,美锦能源,bottom_area,2026-05-19,4.11,5.67,2026-05-18,3.99,3.0075187969924837,3.0075187969924837,29.629629629629623,27.513227513227505,False,0.9828,0.9847,2,4,2,50.0,26.74410886159975,30.434782608695667,16.992481203007518,3.0075187969924837,历史2/4次成功; 当前距低点3.01%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
16,74.79480974619652,63.45852886209427,002083,孚日股份,bottom_area,2026-05-19,10.3,14.53,2026-05-19,10.2,0.9803921568627592,2.450980392156863,29.80041293874742,29.112181693048854,False,-1.6237,2.7613,2,3,2,66.66666666666666,29.01696942513269,31.79487179487179,19.019607843137244,0.9803921568627592,历史2/3次成功; 当前距低点0.98%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
17,74.70079921270298,67.58990442085047,000973,佛塑科技,bottom_area,2026-05-19,16.71,22.25,2026-05-19,15.99,4.502814258911824,6.0662914321450945,28.13483146067416,24.898876404494377,False,1.1501,6.4229,2,3,2,66.66666666666666,32.09491540055248,32.421875,15.497185741088176,4.502814258911824,历史2/3次成功; 当前距低点4.50%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
18,73.62828021778925,63.108589519659766,300651,金陵体育,bottom_area,2026-05-19,26.42,35.7,2026-05-19,26.02,1.5372790161414378,6.802459646425825,27.11484593837536,25.994397759103645,False,-7.7836,18.9251,3,6,3,50.0,23.782718690657177,25.720461095100855,18.462720983858564,1.5372790161414378,历史3/6次成功; 当前距低点1.54%; 最新日涨幅-7.78%; 状态bottom_area; 底部未确认
19,73.03556780155938,63.93228069735356,002676,顺威股份,bottom_area,2026-05-19,6.11,8.23,2026-05-18,5.95,2.6890756302521033,5.042016806722685,27.703523693803163,25.759416767922232,False,1.495,2.1511,2,5,2,40.0,31.308457711442777,39.33333333333333,17.310924369747898,2.6890756302521033,历史2/5次成功; 当前距低点2.69%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
20,72.73909727806645,63.40936453018685,603113,金能科技,bottom_area,2026-05-19,5.41,7.5,2026-05-18,5.28,2.46212121212121,2.46212121212121,29.599999999999998,27.866666666666667,False,1.6917,1.0337,2,5,2,40.0,25.71505856894199,31.03448275862069,17.537878787878793,2.46212121212121,历史2/5次成功; 当前距低点2.46%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
21,72.04115320800581,63.02629476989503,603101,汇嘉时代,bottom_area,2026-05-19,8.11,11.38,2026-05-18,7.9,2.658227848101254,4.3037974683544284,30.579964850615116,28.734622144112485,False,0.8706,2.1744,1,2,1,50.0,37.72609819121447,37.72609819121447,17.34177215189875,2.658227848101254,历史1/2次成功; 当前距低点2.66%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
22,71.71711328701736,62.23509622083942,002379,宏桥控股,bottom_area,2026-05-19,20.78,29.92,2026-05-19,20.33,2.2134776192818637,3.44318740777178,32.052139037433165,30.548128342245988,False,0.2896,2.0757,1,2,1,50.0,28.020565552699235,28.020565552699235,17.786522380718136,2.2134776192818637,历史1/2次成功; 当前距低点2.21%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
23,71.38681385834603,62.01311845030168,688336,三生国健,bottom_area,2026-05-19,64.41,91.44,2026-05-19,62.98,2.270562083201016,4.477611940298508,31.124234470691164,29.560367454068242,False,-0.5097,0.7486,1,2,1,50.0,51.08359133126935,51.08359133126935,17.729437916798986,2.270562083201016,历史1/2次成功; 当前距低点2.27%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
24,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-19,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
25,67.08843238758925,58.25182777501248,001203,大中矿业,bottom_area,2026-05-19,40.08,54.65,2026-05-19,39.2,2.2448979591836618,4.8724489795918275,28.270814272644092,26.660567246111622,False,-2.7421,2.5511,1,2,1,50.0,29.46341463414634,29.46341463414634,17.75510204081634,2.2448979591836618,历史1/2次成功; 当前距低点2.24%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
26,66.85881351889672,59.18383250055934,300072,海新能科,bottom_area,2026-05-19,4.38,5.92,2026-05-18,4.24,3.3018867924528226,6.132075471698108,28.378378378378372,26.013513513513516,False,-1.7937,1.9041,1,2,1,50.0,47.4308300395257,47.4308300395257,16.698113207547177,3.3018867924528226,历史1/2次成功; 当前距低点3.30%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
27,65.63129152524084,56.44512424599129,002828,贝肯能源,bottom_area,2026-05-19,11.22,15.17,2026-05-15,11.03,1.7225747960108913,4.079782411604724,27.290705339485832,26.038233355306524,False,-2.1796,5.873,1,3,1,33.33333333333333,32.79172821270311,32.79172821270311,18.277425203989107,1.7225747960108913,历史1/3次成功; 当前距低点1.72%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
28,63.80399652083966,56.18560887656031,301076,新瀚新材,bottom_area,2026-05-19,32.45,45.03,2026-05-18,31.5,3.015873015873025,6.1904761904762,30.046635576282483,27.936930934932263,False,0.3712,4.4632,1,3,1,33.33333333333333,24.776699029126224,24.776699029126224,16.984126984126977,3.015873015873025,历史1/3次成功; 当前距低点3.02%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
29,63.602725954901096,56.140188679245306,002320,海峡股份,bottom_area,2026-05-19,8.2,11.0,2026-05-15,7.95,3.1446540880503036,4.276729559748415,27.727272727272727,25.454545454545464,False,1.99,1.013,1,3,1,33.33333333333333,26.111111111111097,26.111111111111097,16.855345911949698,3.1446540880503036,历史1/3次成功; 当前距低点3.14%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
30,55.33230360445703,49.379956681656864,000925,众合科技,bottom_area,2026-05-19,8.86,11.84,2026-05-19,8.54,3.747072599531619,6.206088992974252,27.871621621621628,25.168918918918926,False,-1.8826,14.0279,1,4,1,25.0,21.01226993865031,21.01226993865031,16.25292740046838,3.747072599531619,历史1/4次成功; 当前距低点3.75%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
