rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.07549672605037,81.24878550606063,000070,特发信息,bottom_area,2024-01-12,7.4,2024-01-10,7.3,1.3698630136986376,3.2876712328767157,29.604628736740597,False,-1.4647,0.8903,2,2,2,100.0,34.04340417899739,50.60532687651331,13.63013698630136,1.3698630136986376,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
2,88.19125224257469,79.63534883720928,603013,亚普股份,bottom_area,2024-01-12,16.67,2024-01-10,16.34,2.0195838433292645,3.671970624235015,28.175824175824175,False,-0.6555,0.3993,1,1,1,100.0,53.30739299610896,53.30739299610896,12.980416156670735,2.0195838433292645,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
3,87.05943589723829,77.14322140876614,002355,兴民智通,bottom_area,2024-01-12,5.01,2024-01-10,4.96,1.0080645161290287,3.83064516129033,28.427128427128423,False,-1.9569,2.0903,4,5,4,80.0,17.535529599679155,21.138211382113823,13.991935483870972,1.0080645161290287,历史4/5次成功; 当前距低点1.01%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
4,84.8748383475795,75.50551405470061,603186,华正新材,bottom_area,2024-01-12,30.7,2024-01-10,30.33,1.2199142762941015,3.6267721727662425,30.911161731207294,False,-1.413,1.0813,1,1,1,100.0,17.994186046511643,17.994186046511643,13.780085723705898,1.2199142762941015,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
5,84.60840436448657,77.65040462427746,600172,黄河旋风,bottom_area,2024-01-12,3.56,2024-01-08,3.46,2.890173410404627,4.913294797687859,29.098360655737704,False,-1.1111,1.2586,1,1,1,100.0,51.074589127686465,51.074589127686465,12.109826589595372,2.890173410404627,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
6,84.0821408446373,75.39661367570088,600006,东风股份,bottom_area,2024-01-12,5.56,2024-01-10,5.47,1.6453382084095038,3.2906764168190237,27.645502645502646,False,-1.0676,0.4882,1,1,1,100.0,22.6235741444867,22.6235741444867,13.354661791590495,1.6453382084095038,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
7,83.49051790218202,76.72064418298339,002385,大北农,bottom_area,2024-01-12,5.57,2024-01-09,5.41,2.957486136783736,4.251386321626609,27.38255033557047,False,0.0,0.7037,1,1,1,100.0,23.353293413173663,23.353293413173663,12.042513863216262,2.957486136783736,历史1/1次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,81.91444844152991,76.22017831090942,002413,雷科防务,bottom_area,2024-01-12,5.14,2024-01-10,4.96,3.6290322580645102,4.032258064516133,27.906976744186046,False,0.7843,1.934,1,1,1,100.0,28.894472361809044,28.894472361809044,11.37096774193549,3.6290322580645102,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
9,80.91947730067095,73.27968079251512,002195,岩山科技,bottom_area,2024-01-12,2.82,2024-01-11,2.76,2.173913043478263,4.347826086956526,29.230769230769234,False,-1.7422,1.2495,1,1,1,100.0,17.72151898734177,17.72151898734177,12.826086956521737,2.173913043478263,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
10,80.59664300207132,74.86175177661384,300745,欣锐科技,bottom_area,2024-01-12,24.9,2024-01-10,24.05,3.5343035343035254,6.320166320166318,27.777777777777768,False,1.1784,2.705,3,4,3,75.0,24.596579757128456,36.150000000000006,11.465696465696473,3.5343035343035254,历史3/4次成功; 当前距低点3.53%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
11,80.56581916216484,70.52478970582176,600981,苏豪汇鸿,bottom_area,2024-01-12,2.82,2024-01-10,2.81,0.35587188612098886,2.8469750889679744,27.948717948717945,False,-1.7422,0.8912,1,1,1,100.0,20.463320463320475,20.463320463320475,14.64412811387901,0.35587188612098886,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
