rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.3750797138328,86.1383490635938,002658,雪迪龙,bottom_area,2025-07-21,8.1,2025-07-17,7.98,1.5037593984962307,2.1303258145363397,30.36649214659686,False,0.7463,4.1632,3,3,3,100.0,22.83290587185592,34.81481481481481,6.49624060150377,1.5037593984962307,历史3/3次成功; 当前距低点1.50%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
2,86.49435415285154,82.08988604293546,603928,兴业股份,bottom_area,2025-07-21,15.79,2025-07-18,15.59,1.2828736369467564,2.4374599101988506,30.058322117541497,False,0.5732,3.7416,1,1,1,100.0,31.69267707082834,31.69267707082834,6.717126363053244,1.2828736369467564,历史1/1次成功; 当前距低点1.28%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
3,85.70123872853137,81.94263449014186,603022,新通联,bottom_area,2025-07-21,10.36,2025-07-15,10.19,1.668302257114818,2.2571148184494643,32.202262142381905,False,0.5825,2.9894,2,2,2,100.0,18.958944281524914,26.099706744868023,6.331697742885183,1.668302257114818,历史2/2次成功; 当前距低点1.67%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
4,82.84562458052396,82.0899183628562,002636,金安国纪,bottom_area,2025-07-21,12.34,2025-07-16,11.92,3.523489932885906,5.956375838926182,28.192771084337352,False,2.1523,6.8115,2,2,2,100.0,42.49180327868853,69.0,4.476510067114094,3.523489932885906,历史2/2次成功; 当前距低点3.52%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
5,77.85646007124788,76.71789589911803,301348,蓝箭电子,bottom_area,2025-07-21,20.43,2025-07-15,19.79,3.233956543708947,3.4360788276907512,29.92209631728045,False,0.1962,3.5191,1,1,1,100.0,26.727509778357234,26.727509778357234,4.766043456291054,3.233956543708947,历史1/1次成功; 当前距低点3.23%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
6,76.76882395690114,73.61615270121027,002371,北方华创,bottom_area,2025-07-21,320.05,2025-07-17,314.33,1.8197435815862397,5.090191836604842,29.91527313266444,False,-1.5806,0.831,1,1,1,100.0,15.189075630252091,15.189075630252091,6.1802564184137605,1.8197435815862397,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
7,75.87214681501156,75.93654529865707,600241,时代万恒,bottom_area,2025-07-21,8.49,2025-07-15,8.16,4.044117647058824,4.044117647058824,30.25641025641025,False,1.1919,2.6858,2,2,2,100.0,15.79104050511391,22.50673854447439,3.9558823529411757,4.044117647058824,历史2/2次成功; 当前距低点4.04%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
8,75.74831726648618,76.03622886824309,002041,登海种业,bottom_area,2025-07-21,9.93,2025-06-23,9.53,4.197271773347328,4.931794333683113,29.719764011799416,False,0.6079,1.2872,2,2,2,100.0,18.2043468358871,21.395106715252467,3.802728226652672,4.197271773347328,历史2/2次成功; 当前距低点4.20%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
9,75.39398929945479,75.66588562605435,000637,茂化实华,bottom_area,2025-07-21,4.23,2025-07-07,4.06,4.187192118226622,5.665024630541883,27.370304114490168,False,1.6827,4.5373,2,2,2,100.0,16.089697073177668,22.627737226277358,3.8128078817733786,4.187192118226622,历史2/2次成功; 当前距低点4.19%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
10,75.20334340940103,74.65009902071955,000999,华润三九,bottom_area,2025-07-21,31.52,2025-07-15,30.42,3.616042077580532,5.0295857988165595,30.036798528058867,False,0.1271,0.5848,1,1,1,100.0,20.293951384963254,20.293951384963254,4.383957922419468,3.616042077580532,历史1/1次成功; 当前距低点3.62%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
11,70.98261619450416,71.23790883221643,688157,松井股份,bottom_area,2025-07-21,30.36,2025-07-17,29.14,4.186684969114615,6.280027453671923,30.701545778834717,False,0.9644,0.9654,1,1,1,100.0,8.943820224719094,8.943820224719094,3.813315030885385,4.186684969114615,历史1/1次成功; 当前距低点4.19%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
