rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.67779454274223,87.42844232699976,002157,正邦科技,bottom_area,2023-04-28,2.65,2023-04-28,2.61,1.5325670498084305,1.9157088122605466,27.500000000000007,False,0.3788,1.5158,4,4,4,100.0,13.455350540661076,16.780045351473927,6.4674329501915695,1.5325670498084305,历史4/4次成功; 当前距低点1.53%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
2,88.56613091881837,84.66302210321265,688259,创耀科技,bottom_area,2023-04-28,61.36,2023-04-27,60.36,1.656726308813784,4.042412193505629,31.796610169491522,False,1.2541,2.6265,3,3,3,100.0,16.776118748968262,19.50136612021858,6.343273691186216,1.656726308813784,历史3/3次成功; 当前距低点1.66%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
3,86.44624882620536,83.45691451533736,002156,通富微电,bottom_area,2023-04-28,17.89,2023-04-27,17.51,2.170188463735003,5.653912050256986,29.395161290322573,False,0.5621,2.8638,3,3,3,100.0,16.585721573404154,21.92170818505337,5.829811536264998,2.170188463735003,历史3/3次成功; 当前距低点2.17%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
4,85.9482489524101,82.4807966109698,688107,安路科技,bottom_area,2023-04-28,53.15,2023-04-28,52.18,1.858949789191259,4.139517056343434,29.780648634100395,False,-0.5799,1.7184,3,3,3,100.0,29.995710378096113,67.95615731785945,6.141050210808741,1.858949789191259,历史3/3次成功; 当前距低点1.86%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
5,85.53296217015091,81.2334065934066,605133,嵘泰股份,bottom_area,2023-04-28,27.66,2023-04-25,27.3,1.3186813186813167,5.567765567765566,28.79499217527387,False,-1.2848,5.9932,1,1,1,100.0,60.01483679525222,60.01483679525222,6.681318681318683,1.3186813186813167,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
6,83.25942688866553,82.85543649851475,001896,豫能控股,bottom_area,2023-04-28,4.43,2023-04-24,4.27,3.747072599531619,5.85480093676815,27.993254637436767,False,2.0737,0.5729,4,4,4,100.0,16.014849599176554,34.93975903614456,4.252927400468381,3.747072599531619,历史4/4次成功; 当前距低点3.75%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
7,82.39964361280865,80.66053203755561,000935,四川双马,bottom_area,2023-04-28,19.22,2023-04-25,18.68,2.8907922912205524,4.014989293361884,30.609212481426457,False,1.2112,0.3905,1,1,1,100.0,43.71794871794874,43.71794871794874,5.109207708779448,2.8907922912205524,历史1/1次成功; 当前距低点2.89%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
8,81.95520360884339,79.95835991158063,601369,陕鼓动力,bottom_area,2023-04-28,9.45,2023-04-27,9.2,2.717391304347826,4.456521739130437,31.189229618548993,False,-0.3165,0.7596,3,3,3,100.0,26.957054223084292,55.572755417956664,5.282608695652175,2.717391304347826,历史3/3次成功; 当前距低点2.72%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
9,81.60412332585189,76.93993824936844,300454,深信服,bottom_area,2023-04-28,119.14,2023-04-27,118.03,0.9404388714733538,3.3466067948826597,29.534328358208956,False,0.1261,1.558,2,2,2,100.0,22.979241270579003,29.49391262831224,7.059561128526647,0.9404388714733538,历史2/2次成功; 当前距低点0.94%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
10,80.58438270204796,78.7844074119867,300530,领湃科技,bottom_area,2023-04-28,22.2,2023-04-25,21.59,2.8253821213524755,7.596109309865681,32.6365054602184,True,0.498,0.4449,3,4,3,75.0,27.802573379948058,34.07510431154381,5.174617878647525,2.8253821213524755,历史3/4次成功; 当前距低点2.83%; 最新日涨幅0.50%; 状态bottom_area; 底部已确认
11,79.36146704294559,79.51815305882504,002455,百川股份,bottom_area,2023-04-28,8.12,2023-04-25,7.8,4.102564102564095,6.923076923076923,27.102803738317753,False,0.1233,0.7285,3,3,3,100.0,19.096769960597644,35.42600896860987,3.8974358974359053,4.102564102564095,历史3/3次成功; 当前距低点4.10%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
12,78.73505030050215,76.8496716884131,300353,东土科技,bottom_area,2023-04-28,11.25,2023-04-27,10.95,2.7397260273972672,3.744292237442924,29.354838709677423,False,2.3658,3.2525,1,1,1,100.0,21.377672209026137,21.377672209026137,5.260273972602733,2.7397260273972672,历史1/1次成功; 当前距低点2.74%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
13,78.64580627522065,78.53280942712408,002245,蔚蓝锂芯,confirmed_rebound,2023-04-28,11.12,2023-04-26,10.7,3.925233644859813,8.317757009345799,29.512516469038214,False,1.4599,1.5917,3,3,3,100.0,21.840549125830286,25.653923541247494,4.074766355140187,3.925233644859813,历史3/3次成功; 当前距低点3.93%; 最新日涨幅1.46%; 状态confirmed_rebound; 底部未确认
14,77.86708901675112,79.11629365338351,000980,众泰汽车,bottom_area,2023-04-28,3.04,2023-04-26,2.9,4.827586206896556,6.206896551724143,32.24299065420561,False,0.9967,1.3642,3,3,3,100.0,25.823603253266942,43.49775784753364,3.1724137931034444,4.827586206896556,历史3/3次成功; 当前距低点4.83%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
15,77.30420183372914,76.141084837624,002385,大北农,bottom_area,2023-04-28,7.07,2023-04-25,6.85,3.211678832116798,4.817518248175183,30.73811931243681,False,0.7123,1.257,1,1,1,100.0,23.353293413173663,23.353293413173663,4.788321167883202,3.211678832116798,历史1/1次成功; 当前距低点3.21%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
16,77.22262993431389,74.19868358445679,002146,荣盛发展,bottom_area,2023-04-28,1.59,2023-04-26,1.56,1.9230769230769247,3.2051282051282075,30.973451327433622,False,-0.625,1.2956,1,1,1,100.0,19.587628865979376,19.587628865979376,6.076923076923076,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
17,77.12301676287906,75.56846547314578,000629,钒钛股份,confirmed_rebound,2023-04-28,4.2,2023-04-25,4.08,2.9411764705882377,9.803921568627459,31.08108108108108,False,0.9615,0.6182,1,1,1,100.0,27.173913043478265,27.173913043478265,5.058823529411763,2.9411764705882377,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态confirmed_rebound; 底部未确认
18,76.77990113457528,77.37082884833167,688168,安博通,bottom_area,2023-04-28,41.06,2023-04-27,39.33,4.398677854055439,5.110602593440135,32.849581697114566,False,2.6243,2.0512,3,3,3,100.0,11.181797610634721,12.015306122448962,3.601322145944561,4.398677854055439,历史3/3次成功; 当前距低点4.40%; 最新日涨幅2.62%; 状态bottom_area; 底部未确认
19,76.75960711262691,76.03868825607366,688049,炬芯科技,bottom_area,2023-04-28,33.33,2023-04-27,32.2,3.5093167701863206,5.372670807453406,28.761061946902654,False,2.3334,1.9549,2,2,2,100.0,9.784572538163834,11.287895076327672,4.490683229813679,3.5093167701863206,历史2/2次成功; 当前距低点3.51%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
20,76.74686643279001,76.42270116371203,300661,圣邦股份,bottom_area,2023-04-28,124.1,2023-04-25,119.58,3.7798963037297177,6.790433182806494,30.20079383609619,False,0.0,1.0078,1,1,1,100.0,31.832606108687024,31.832606108687024,4.220103696270282,3.7798963037297177,历史1/1次成功; 当前距低点3.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
21,76.40706688184565,75.08740351160567,688127,蓝特光学,confirmed_rebound,2023-04-28,16.66,2023-04-25,16.16,3.094059405940594,9.282178217821782,28.08188696039163,False,0.5432,1.3574,2,2,2,100.0,9.794940629839962,10.789881259679916,4.905940594059406,3.094059405940594,历史2/2次成功; 当前距低点3.09%; 最新日涨幅0.54%; 状态confirmed_rebound; 底部未确认
22,75.92648627788398,76.18948708113152,300582,英飞特,bottom_area,2023-04-28,13.21,2023-04-27,12.68,4.17981072555206,4.337539432176662,32.40938166311301,False,3.2031,3.3056,1,1,1,100.0,35.48094373865699,35.48094373865699,3.8201892744479404,4.17981072555206,历史1/1次成功; 当前距低点4.18%; 最新日涨幅3.20%; 状态bottom_area; 底部未确认
23,75.67428189073561,76.35696809724155,002095,生意宝,bottom_area,2023-04-28,20.58,2023-04-27,19.7,4.467005076142127,6.345177664974619,29.617720614505178,False,2.7459,4.5218,2,2,2,100.0,23.235159520675253,33.84030418250951,3.5329949238578733,4.467005076142127,历史2/2次成功; 当前距低点4.47%; 最新日涨幅2.75%; 状态bottom_area; 底部未确认
24,75.4111832278771,73.96278092552994,688157,松井股份,bottom_area,2023-04-28,78.15,2023-04-27,75.88,2.991565629942027,5.152872957301017,28.361027190332333,False,1.9038,1.7717,1,1,1,100.0,8.943820224719094,8.943820224719094,5.008434370057974,2.991565629942027,历史1/1次成功; 当前距低点2.99%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
25,75.34214871249398,75.81940966028404,000059,华锦股份,bottom_area,2023-04-28,6.99,2023-04-25,6.7,4.328358208955224,4.626865671641785,29.916317991631804,False,1.3043,0.5998,2,2,2,100.0,18.645518154311638,25.41603630862328,3.671641791044776,4.328358208955224,历史2/2次成功; 当前距低点4.33%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
26,75.24284079929568,74.24704222123164,000970,中科三环,bottom_area,2023-04-28,11.87,2023-04-27,11.49,3.3072236727589117,3.7423846823324607,27.140139505389975,False,1.0213,1.0047,1,1,1,100.0,14.341463414634154,14.341463414634154,4.692776327241088,3.3072236727589117,历史1/1次成功; 当前距低点3.31%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
27,74.46360938349635,73.68867941000458,605358,立昂微,bottom_area,2023-04-28,46.1,2023-04-27,44.56,3.4560143626570894,4.353680430879708,27.094240837696326,False,2.8788,3.1813,1,1,1,100.0,13.16339869281045,13.16339869281045,4.543985637342911,3.4560143626570894,历史1/1次成功; 当前距低点3.46%; 最新日涨幅2.88%; 状态bottom_area; 底部未确认
