rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.58888331068871,83.15443023861991,001328,登康口腔,bottom_area,2026-04-07,31.65,44.35,2026-04-07,31.27,1.2152222577550336,2.078669651423096,29.492671927846676,28.63585118376551,False,0.1582,1.3113,1,1,1,100.0,36.58675799086758,36.58675799086758,18.78477774224497,1.2152222577550336,历史1/1次成功; 当前距低点1.22%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
2,96.18584094490797,82.28656655134398,600843,上工申贝,bottom_area,2026-04-07,9.2,12.64,2026-04-07,9.07,1.4332965821389085,1.5435501653803811,28.24367088607595,27.215189873417728,False,1.2101,0.8641,1,1,1,100.0,34.59399332591768,34.59399332591768,18.566703417861092,1.4332965821389085,历史1/1次成功; 当前距低点1.43%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
3,95.73632408339778,83.03825612363558,000567,海德股份,bottom_area,2026-04-07,5.14,7.02,2026-03-23,5.03,2.1868787276341837,7.355864811133203,28.347578347578338,26.780626780626783,True,1.9841,0.4073,1,1,1,100.0,38.67924528301886,38.67924528301886,17.813121272365816,2.1868787276341837,历史1/1次成功; 当前距低点2.19%; 最新日涨幅1.98%; 状态bottom_area; 底部已确认
4,94.55758089961782,79.65853556485355,300100,双林股份,bottom_area,2026-04-07,28.85,39.36,2026-04-07,28.68,0.5927475592747619,2.998605299860528,27.134146341463417,26.702235772357717,False,0.4526,0.8401,1,1,1,100.0,56.845609654598405,56.845609654598405,19.40725244072524,0.5927475592747619,历史1/1次成功; 当前距低点0.59%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
5,93.49233061317544,81.87924091908103,001256,炜冈科技,bottom_area,2026-04-07,21.18,28.55,2026-04-07,20.62,2.7158098933074624,3.394762366634332,27.775831873905428,25.814360770577938,False,1.9249,2.9099,2,2,2,100.0,31.458534816247578,42.897727272727266,17.284190106692538,2.7158098933074624,历史2/2次成功; 当前距低点2.72%; 最新日涨幅1.92%; 状态bottom_area; 底部未确认
6,91.90661437579043,81.26790660238703,300993,玉马科技,bottom_area,2026-04-07,12.1,16.22,2026-03-23,11.72,3.2423208191126194,7.679180887372001,27.74352651048088,25.40073982737361,True,2.1097,0.8441,1,1,1,100.0,42.09891435464416,42.09891435464416,16.75767918088738,3.2423208191126194,历史1/1次成功; 当前距低点3.24%; 最新日涨幅2.11%; 状态bottom_area; 底部已确认
7,91.85738367556131,80.82461754542219,002564,天沃科技,bottom_area,2026-04-07,5.89,8.27,2026-04-07,5.72,2.9720279720279708,3.8461538461538574,30.83434099153567,28.778718258766627,False,1.3769,1.2829,2,2,2,100.0,28.92925441745143,29.903536977491967,17.02797202797203,2.9720279720279708,历史2/2次成功; 当前距低点2.97%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
8,91.4463317229226,79.08588825980132,603848,好太太,bottom_area,2026-04-07,15.1,21.38,2026-04-03,14.8,2.0270270270270196,3.445945945945944,30.776426566884936,29.37324602432179,False,1.6835,0.307,1,1,1,100.0,24.664031620553352,24.664031620553352,17.972972972972983,2.0270270270270196,历史1/1次成功; 当前距低点2.03%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
9,91.1394691974018,76.48682141646901,001391,国货航,bottom_area,2026-04-07,5.22,7.73,2026-04-03,5.2,0.3846153846153764,1.5384615384615397,32.729624838292374,32.470892626131956,False,0.3846,0.5781,1,1,1,100.0,30.39647577092513,30.39647577092513,19.615384615384624,0.3846153846153764,历史1/1次成功; 当前距低点0.38%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
10,91.13874278371411,80.44182835566049,688584,上海合晶,bottom_area,2026-04-07,18.71,25.28,2026-03-23,18.14,3.142227122381479,7.4972436604189605,28.24367088607595,25.98892405063291,True,0.0535,0.6355,1,1,1,100.0,36.43067846607669,36.43067846607669,16.857772877618523,3.142227122381479,历史1/1次成功; 当前距低点3.14%; 最新日涨幅0.05%; 状态bottom_area; 底部已确认
11,90.57234503230316,78.60995983935746,600611,大众交通,bottom_area,2026-04-07,4.6,6.6,2026-04-07,4.5,2.2222222222222143,2.8888888888888866,31.818181818181813,30.303030303030305,False,0.2179,0.7691,1,1,1,100.0,24.497991967871478,24.497991967871478,17.777777777777786,2.2222222222222143,历史1/1次成功; 当前距低点2.22%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
12,88.23270566823021,77.22885564782163,600163,中闽能源,bottom_area,2026-04-07,6.12,8.82,2026-04-07,5.96,2.684563758389264,4.194630872483222,32.426303854875286,30.612244897959183,False,1.157,2.7261,1,1,1,100.0,22.740112994350277,22.740112994350277,17.315436241610737,2.684563758389264,历史1/1次成功; 当前距低点2.68%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
13,87.707719683773,74.65577230582157,000966,长源电力,bottom_area,2026-04-07,4.37,5.95,2026-04-03,4.32,1.1574074074074032,4.86111111111111,27.394957983193276,26.554621848739497,False,0.6912,1.7016,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,18.842592592592595,1.1574074074074032,历史2/3次成功; 当前距低点1.16%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
14,87.66718597247237,77.36327092900032,300080,易成新能,bottom_area,2026-04-07,4.61,6.38,2026-04-03,4.47,3.1319910514541514,7.382550335570472,29.93730407523511,27.742946708463943,False,2.6726,1.8432,1,1,1,100.0,28.947368421052627,28.947368421052627,16.86800894854585,3.1319910514541514,历史1/1次成功; 当前距低点3.13%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
15,86.71890600439055,78.04816232771823,688007,光峰科技,bottom_area,2026-04-07,13.61,19.18,2026-03-23,13.06,4.21133231240428,7.963246554364464,31.9082377476538,29.040667361835247,True,1.4914,0.9489,1,1,1,100.0,36.66666666666667,36.66666666666667,15.78866768759572,4.21133231240428,历史1/1次成功; 当前距低点4.21%; 最新日涨幅1.49%; 状态bottom_area; 底部已确认
16,85.5865973252527,73.01847537568858,603000,人民网,bottom_area,2026-04-07,18.94,27.18,2026-03-23,18.7,1.2834224598930588,7.27272727272727,31.199411331861665,30.316409124356134,True,0.7447,0.9625,3,6,3,50.0,32.068164431423405,48.493150684931514,18.716577540106943,1.2834224598930588,历史3/6次成功; 当前距低点1.28%; 最新日涨幅0.74%; 状态bottom_area; 底部已确认
17,85.5440582029562,73.31469930756231,002590,万安科技,bottom_area,2026-04-07,11.93,16.25,2026-04-07,11.75,1.531914893617019,1.7021276595744619,27.692307692307693,26.584615384615383,False,0.7601,0.7203,2,3,2,66.66666666666666,26.45590644270131,30.204778156996575,18.46808510638298,1.531914893617019,历史2/3次成功; 当前距低点1.53%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
18,85.14603177933442,74.41207503702485,301075,多瑞医药,bottom_area,2026-04-07,62.35,83.57,2026-04-03,60.77,2.5999670890241866,5.2822116175744505,27.28251764987435,25.391887040804107,False,-1.5474,1.4433,1,1,1,100.0,29.03225806451612,29.03225806451612,17.400032910975817,2.5999670890241866,历史1/1次成功; 当前距低点2.60%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
19,84.66309482557533,76.3013076823086,002506,协鑫集成,bottom_area,2026-04-07,4.38,5.98,2026-04-03,4.2,4.2857142857142785,7.142857142857138,29.76588628762542,26.755852842809368,False,4.038,10.0995,2,2,2,100.0,20.713635772780442,21.019108280254766,15.714285714285722,4.2857142857142785,历史2/2次成功; 当前距低点4.29%; 最新日涨幅4.04%; 状态bottom_area; 底部未确认
20,84.60387845374511,71.16120904068069,601628,中国人寿,bottom_area,2026-04-07,35.69,50.7,2026-04-07,35.51,0.5068994649394529,1.8867924528301934,29.960552268244584,29.605522682445766,False,-1.1083,0.0816,1,1,1,100.0,25.736235595390532,25.736235595390532,19.49310053506055,0.5068994649394529,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
21,84.58909614131866,73.0789693985227,002150,正泰电源,bottom_area,2026-04-07,28.99,39.51,2026-04-07,28.43,1.9697502638058344,3.060147731269789,28.043533282713234,26.62617058972412,False,0.0345,4.0758,2,4,2,50.0,103.59229727074349,164.87025948103792,18.03024973619417,1.9697502638058344,历史2/4次成功; 当前距低点1.97%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
22,84.10287383730957,70.78914335302743,300059,东方财富,bottom_area,2026-04-07,18.45,25.71,2026-04-07,18.35,0.5449591280653835,1.4168937329700162,28.626993387786847,28.238039673278887,False,-0.1623,0.9249,1,1,1,100.0,24.202420242024196,24.202420242024196,19.455040871934617,0.5449591280653835,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
