rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.28965315808685,85.12666666666664,002584,西陇科学,bottom_area,2022-01-26,9.13,2022-01-25,9.0,1.444444444444453,11.444444444444438,27.942353883106485,False,1.4444,11.4149,1,1,1,100.0,68.08510638297875,68.08510638297875,13.555555555555546,1.444444444444453,历史1/1次成功; 当前距低点1.44%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
2,90.95114101407498,80.60015844620494,603368,柳药集团,bottom_area,2022-01-26,16.94,2022-01-26,16.77,1.0137149672033494,4.114490161001797,28.27202737382378,False,-1.2821,1.9765,1,1,1,100.0,42.85714285714285,42.85714285714285,13.98628503279665,1.0137149672033494,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
3,90.4213950482081,81.96334849127136,300511,雪榕生物,bottom_area,2022-01-26,6.89,2022-01-26,6.74,2.22551928783382,2.9673590504451064,30.371900826446275,False,1.3235,2.9998,2,2,2,100.0,25.900712191034756,29.220779220779214,12.77448071216618,2.22551928783382,历史2/2次成功; 当前距低点2.23%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
4,90.03857707892202,79.99272990335089,001216,华瓷股份,bottom_area,2022-01-26,14.97,2022-01-25,14.8,1.1486486486486482,10.4054054054054,27.093596059113302,False,0.4024,6.3268,1,1,1,100.0,18.77230549607424,18.77230549607424,13.85135135135135,1.1486486486486482,历史1/1次成功; 当前距低点1.15%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
5,88.28469602802984,80.39743083098965,600217,中再资环,bottom_area,2022-01-26,5.8,2022-01-26,5.66,2.473498233215542,3.1802120141342707,28.894472361809044,False,1.0453,1.1956,1,1,1,100.0,37.18820861678004,37.18820861678004,12.526501766784456,2.473498233215542,历史1/1次成功; 当前距低点2.47%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
6,88.00725201174455,77.47743077817515,605162,新中港,bottom_area,2022-01-26,10.68,2022-01-25,10.61,0.6597549481621139,5.843543826578709,28.067796610169495,False,0.565,2.0135,2,2,2,100.0,22.428344408520275,26.46502835538753,14.340245051837886,0.6597549481621139,历史2/2次成功; 当前距低点0.66%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
7,87.38194374809964,79.20489091885547,600391,航发科技,bottom_area,2022-01-26,21.61,2022-01-26,21.14,2.22327341532639,3.831598864711441,28.38753387533875,False,1.1704,1.8056,1,1,1,100.0,27.709431751611014,27.709431751611014,12.776726584673609,2.22327341532639,历史1/1次成功; 当前距低点2.22%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
8,87.02384860233794,78.3307042063027,300567,精测电子,bottom_area,2022-01-26,55.1,2022-01-26,54.1,1.8484288354898335,3.807763401109048,30.64102564102564,False,0.3826,1.991,1,1,1,100.0,18.414634146341452,18.414634146341452,13.151571164510168,1.8484288354898335,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
9,86.83547901478944,78.2927588173639,600032,浙江新能,bottom_area,2022-01-26,12.62,2022-01-25,12.38,1.93861066235863,6.300484652665585,32.052689352360034,False,1.7742,3.7235,1,1,1,100.0,19.31608133086876,19.31608133086876,13.06138933764137,1.93861066235863,历史1/1次成功; 当前距低点1.94%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
10,86.47784083914381,76.60638833971451,300658,延江股份,bottom_area,2022-01-26,10.17,2022-01-26,10.07,0.9930486593843062,3.7735849056603676,30.359612724757955,False,0.5935,1.718,2,2,2,100.0,21.830856360810415,26.72018348623853,14.006951340615693,0.9930486593843062,历史2/2次成功; 当前距低点0.99%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
11,84.98607426105852,77.0100349291145,300533,冰川网络,bottom_area,2022-01-26,18.06,2022-01-26,17.67,2.207130730050917,4.244482173174872,27.87755102040816,False,0.5008,2.9161,1,1,1,100.0,15.711252653927819,15.711252653927819,12.792869269949083,2.207130730050917,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
12,83.71874439211979,78.0630565279957,300491,通合科技,bottom_area,2022-01-26,16.08,2022-01-25,15.5,3.741935483870957,11.870967741935482,27.093132643461903,False,3.2092,5.7348,2,2,2,100.0,23.51972812484664,27.26480836236933,11.258064516129043,3.741935483870957,历史2/2次成功; 当前距低点3.74%; 最新日涨幅3.21%; 状态bottom_area; 底部未确认
13,83.44212089572721,73.43760396190252,002603,以岭药业,bottom_area,2022-01-26,20.3,2022-01-26,20.17,0.6445215666831878,5.89985126425383,27.757879656160455,False,-2.4038,2.8487,1,1,1,100.0,39.661898569570866,39.661898569570866,14.355478433316812,0.6445215666831878,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
14,81.03107234053407,71.5412893088824,603348,文灿股份,bottom_area,2022-01-26,50.8,2022-01-26,50.39,0.8136535026790962,5.9337170073427306,29.028169014084504,False,-1.7408,1.4038,1,1,1,100.0,31.539888682745836,31.539888682745836,14.186346497320903,0.8136535026790962,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
15,80.84530482611797,75.28336543606207,600418,江淮汽车,bottom_area,2022-01-26,13.84,2022-01-26,13.35,3.670411985018728,4.119850187265923,28.72397223705286,False,0.9482,2.2145,1,1,1,100.0,24.365079365079367,24.365079365079367,11.32958801498127,3.670411985018728,历史1/1次成功; 当前距低点3.67%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
16,80.7579842693773,74.69038576678754,000848,承德露露,bottom_area,2022-01-26,9.38,2022-01-26,9.08,3.3039647577092586,5.1762114537445,27.06827309236947,False,0.0,1.7357,1,1,1,100.0,16.685082872928174,16.685082872928174,11.69603524229074,3.3039647577092586,历史1/1次成功; 当前距低点3.30%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
17,78.87946887505558,72.04447976878613,300436,广生堂,bottom_area,2022-01-26,36.27,2022-01-26,35.34,2.63157894736842,7.498585172608937,29.09309791332263,False,-2.2372,4.5066,1,1,1,100.0,16.690751445086697,16.690751445086697,12.36842105263158,2.63157894736842,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
18,77.85031297781292,68.28853176097644,001296,长江材料,bottom_area,2022-01-26,34.47,2022-01-26,34.31,0.46633634508888544,6.033226464587584,31.65338645418327,False,-5.198,14.0432,1,1,1,100.0,20.009562514941443,20.009562514941443,14.533663654911114,0.46633634508888544,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-5.20%; 状态bottom_area; 底部未确认
19,76.27295834604128,67.4186118490542,002806,华锋股份,bottom_area,2022-01-26,12.67,2022-01-26,12.56,0.8757961783439445,4.93630573248407,28.676888131743322,False,-3.1346,2.0755,1,1,1,100.0,20.35175879396985,20.35175879396985,14.124203821656057,0.8757961783439445,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
20,70.55597724406957,64.27117453425556,601778,晶科科技,bottom_area,2022-01-26,7.0,2022-01-25,6.83,2.4890190336749622,4.831625183016106,29.948717948717945,False,2.1898,1.386,1,2,1,50.0,42.344827586206904,42.344827586206904,12.510980966325036,2.4890190336749622,历史1/2次成功; 当前距低点2.49%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
