rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.32242949994561,82.43837635318678,688320,禾川科技,bottom_area,2023-08-01,35.42,2023-07-31,34.86,1.6064257028112514,4.67584624211131,31.3374039787276,False,0.6822,2.3539,2,2,2,100.0,20.865736320411,33.54902936784469,6.393574297188749,1.6064257028112514,历史2/2次成功; 当前距低点1.61%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
2,83.58211574387389,79.9108880451449,002403,爱仕达,bottom_area,2023-08-01,8.55,2023-07-28,8.41,1.664684898929852,3.091557669441139,32.61217948717949,False,-1.1561,1.3516,3,3,3,100.0,13.797686100564366,21.63892445582587,6.335315101070147,1.664684898929852,历史3/3次成功; 当前距低点1.66%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
3,82.94407226277885,79.69217580997419,603033,三维股份,bottom_area,2023-08-01,15.39,2023-08-01,15.1,1.9205298013245096,2.7814569536423837,29.995363931386187,False,-0.4528,0.2853,3,3,3,100.0,15.757977188140112,24.922480620155024,6.079470198675491,1.9205298013245096,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
4,81.89053350382247,81.1555399346034,002045,国光电器,bottom_area,2023-08-01,13.78,2023-07-28,13.31,3.531179564237407,6.386175807663408,27.937195452084456,False,-1.2186,2.1073,4,4,4,100.0,26.70230828529398,33.77563329312426,4.468820435762593,3.531179564237407,历史4/4次成功; 当前距低点3.53%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
5,81.73987897318206,79.30903610896358,300342,天银机电,bottom_area,2023-08-01,11.38,2023-07-28,11.11,2.4302430243024427,4.230423042304237,28.368794326241137,False,-0.8711,3.7137,3,3,3,100.0,19.9461838944793,26.68539325842696,5.569756975697557,2.4302430243024427,历史3/3次成功; 当前距低点2.43%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
6,81.30480014227457,78.77411824768976,688027,国盾量子,bottom_area,2023-08-01,139.9,2023-07-28,136.68,2.3558677202224163,3.7167105648229324,27.096223597183695,False,-0.759,0.6029,3,3,3,100.0,16.15858413869275,26.382393397524062,5.644132279777583,2.3558677202224163,历史3/3次成功; 当前距低点2.36%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
7,79.66145120661506,79.56211353884402,688322,奥比中光,bottom_area,2023-08-01,34.6,2023-07-28,33.29,3.9351156503454563,5.407029137879256,27.6304347826087,False,0.1157,1.2921,3,3,3,100.0,17.28052269694434,28.749462827675128,4.064884349654544,3.9351156503454563,历史3/3次成功; 当前距低点3.94%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
8,79.32803028442844,75.04449857512647,688287,退市观典,bottom_area,2023-08-01,10.89,2023-08-01,10.77,1.114206128133714,3.899721448467966,28.00802139037434,False,-1.8034,0.9843,1,1,1,100.0,14.219830899308223,14.219830899308223,6.885793871866285,1.114206128133714,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
9,79.28285529237645,78.68134100210844,688095,福昕软件,bottom_area,2023-08-01,100.04,2023-08-01,96.56,3.6039768019884053,5.903065451532728,28.474074074074075,False,0.6236,3.5586,2,2,2,100.0,25.152731777645194,31.679509356817103,4.396023198011595,3.6039768019884053,历史2/2次成功; 当前距低点3.60%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
10,78.81925203776306,74.37140857355803,002829,星网宇达,bottom_area,2023-08-01,30.9,2023-07-28,30.6,0.9803921568627357,2.7450980392156854,31.6506589233862,False,-0.5151,1.793,3,3,3,100.0,15.4661435011025,21.628131021194598,7.019607843137264,0.9803921568627357,历史3/3次成功; 当前距低点0.98%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
11,76.85980587295823,74.62366044651958,600081,东风科技,bottom_area,2023-08-01,11.64,2023-07-28,11.36,2.4647887323943762,4.5774647887324065,31.27646702964308,False,-0.4277,2.442,2,2,2,100.0,11.84612234612234,13.923013923013915,5.535211267605624,2.4647887323943762,历史2/2次成功; 当前距低点2.46%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
12,76.74639299195796,71.37270186862649,300515,三德科技,bottom_area,2023-08-01,13.25,2023-07-28,13.22,0.22692889561270316,2.7987897125567263,27.162534435261698,False,-1.2668,1.3488,1,1,1,100.0,23.441396508728182,23.441396508728182,7.773071104387297,0.22692889561270316,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
